key,t_start_h,t_mid_h,live_s,chi2ndf,Pb-214_bq,Pb-214_err,Pb-214_z,Pb-214_lim,Pb-214_det,Pb-214_tied,Bi-214_bq,Bi-214_err,Bi-214_z,Bi-214_lim,Bi-214_det,Bi-214_tied,Ra-226_bq,Ra-226_err,Ra-226_z,Ra-226_lim,Ra-226_det,Ra-226_tied,Rn-222_bq,Rn-222_err,Rn-222_z,Rn-222_lim,Rn-222_det,Rn-222_tied,Pb-210_bq,Pb-210_err,Pb-210_z,Pb-210_lim,Pb-210_det,Pb-210_tied,Pb-212_bq,Pb-212_err,Pb-212_z,Pb-212_lim,Pb-212_det,Pb-212_tied,Bi-212_bq,Bi-212_err,Bi-212_z,Bi-212_lim,Bi-212_det,Bi-212_tied,Tl-208_bq,Tl-208_err,Tl-208_z,Tl-208_lim,Tl-208_det,Tl-208_tied,Ac-228_bq,Ac-228_err,Ac-228_z,Ac-228_lim,Ac-228_det,Ac-228_tied,Ra-224_bq,Ra-224_err,Ra-224_z,Ra-224_lim,Ra-224_det,Ra-224_tied,Th-228_bq,Th-228_err,Th-228_z,Th-228_lim,Th-228_det,Th-228_tied,Rn-220_bq,Rn-220_err,Rn-220_z,Rn-220_lim,Rn-220_det,Rn-220_tied,Th-232_bq,Th-232_err,Th-232_z,Th-232_lim,Th-232_det,Th-232_tied,Ra-228_bq,Ra-228_err,Ra-228_z,Ra-228_lim,Ra-228_det,Ra-228_tied,K-40_bq,K-40_err,K-40_z,K-40_lim,K-40_det,K-40_tied
coal_t20m,0.33340,0.53916,1481.457,0.9992,67.1892,2.059,32.625,4.6794,1,-,60.22,2.223,27.095,4.5509,1,-,0,nan,0.000,57.953,0,-,0,nan,0.000,3279.5,0,-,0,nan,0.000,33.835,0,-,7.82126,1.071,7.301,3.3523,1,-,0,nan,0.000,46.17,0,-,0,nan,0.000,8.658,0,-,0,nan,0.000,10.083,0,-,7.82126,1.071,7.301,3.3523,1,Pb-212,7.82126,1.071,7.301,3.3523,1,Pb-212,0,nan,0.000,2613.1,0,-,1182.74,260,4.549,821.86,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_t2h,1.42801,1.91816,3529.053,1.2050,54.2938,1.285,42.242,3.0666,1,-,53.5037,1.529,34.984,3.2167,1,-,0,nan,0.000,36.843,0,-,0,nan,0.000,2282.3,0,-,29.01,5.761,5.036,18.178,1,-,5.53856,0.6741,8.216,2.1228,1,-,0,nan,0.000,33.069,0,-,0,nan,0.000,5.6209,0,-,0,nan,0.000,6.7576,0,-,5.53856,0.6741,8.216,2.1228,1,Pb-212,5.53856,0.6741,8.216,2.1228,1,Pb-212,0,nan,0.000,1815.7,0,-,1906.37,112.9,16.882,307.73,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_t3h,2.42735,2.92735,3600.001,1.0814,56.5722,1.309,43.220,3.0444,1,-,55.5777,1.237,44.927,2.5198,1,-,0,nan,0.000,36.371,0,-,0,nan,0.000,2101.6,0,-,0,nan,0.000,21.442,0,-,7.49287,0.6883,10.886,2.1316,1,-,37.9332,5.746,6.602,17.661,1,-,0,nan,0.000,5.0158,0,-,0,nan,0.000,6.4057,0,-,7.49287,0.6883,10.886,2.1316,1,Pb-212,7.49287,0.6883,10.886,2.1316,1,Pb-212,0,nan,0.000,1665.3,0,-,1141.29,166.8,6.844,522.76,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e01,3.48842,5.48842,14400.001,1.4365,54.4075,0.6998,77.744,1.6254,1,-,52.0215,0.876,59.388,1.8994,1,-,0,nan,0.000,19.691,0,-,0,nan,0.000,1224.9,0,-,12.7734,3.448,3.704,11.107,1,-,5.82903,0.3684,15.822,1.135,1,-,18.6603,5.301,3.520,17.152,1,-,3.86266,0.9015,4.285,2.8705,1,-,0,nan,0.000,3.6098,0,-,5.82903,0.3684,15.822,1.135,1,Pb-212,5.82903,0.3684,15.822,1.135,1,Pb-212,0,nan,0.000,956.36,0,-,1607.42,63.2,25.436,170.01,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e02,7.49104,9.49104,14400.001,1.3975,53.0386,0.6818,77.794,1.5999,1,-,50.2214,0.8558,58.681,1.8737,1,-,0,nan,0.000,19.356,0,-,0,nan,0.000,1204.3,0,-,12.5644,3.512,3.577,11.325,1,-,5.90981,0.3577,16.521,1.1091,1,-,19.7111,5.195,3.795,16.778,1,-,5.35434,0.8981,5.962,2.8066,1,-,0,nan,0.000,3.5288,0,-,5.90981,0.3577,16.521,1.1091,1,Pb-212,5.90981,0.3577,16.521,1.1091,1,Pb-212,0,nan,0.000,943.42,0,-,1363.67,59.76,22.819,163.59,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e03,11.49368,13.49368,14400.001,1.5245,51.7817,0.7005,73.919,1.651,1,-,49.3054,0.8786,56.115,1.9226,1,-,0,nan,0.000,19.984,0,-,0,nan,0.000,1253.1,0,-,0,nan,0.000,9.8582,0,-,5.98294,0.3737,16.009,1.1512,1,-,27.9779,5.159,5.423,16.356,1,-,5.36784,0.8241,6.513,2.5223,1,-,0,nan,0.000,3.6622,0,-,5.98294,0.3737,16.009,1.1512,1,Pb-212,5.98294,0.3737,16.009,1.1512,1,Pb-212,0,nan,0.000,973.58,0,-,1560.61,62.3,25.052,169.81,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e04,15.49462,17.49462,14400.001,1.5014,49.7741,0.6985,71.259,1.645,1,-,48.767,0.88,55.418,1.9329,1,-,0,nan,0.000,19.625,0,-,0,nan,0.000,1248.3,0,-,14.4436,3.247,4.448,10.402,1,-,4.69879,0.369,12.733,1.1451,1,-,21.36,5.333,4.005,17.171,1,-,5.18155,0.9593,5.401,3.0209,1,-,0,nan,0.000,3.6528,0,-,4.69879,0.369,12.733,1.1451,1,Pb-212,4.69879,0.369,12.733,1.1451,1,Pb-212,0,nan,0.000,964.42,0,-,1721.68,68.34,25.192,172.93,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e05,19.49721,21.49721,14400.001,1.3889,47.7067,0.663,71.958,1.5754,1,-,46.9686,0.8348,56.262,1.8476,1,-,0,nan,0.000,18.778,0,-,0,nan,0.000,1187.4,0,-,14.4467,3.139,4.602,9.9931,1,-,5.08266,0.356,14.276,1.0933,1,-,22.6027,5.126,4.409,16.45,1,-,3.75346,0.8878,4.228,2.8344,1,-,0,nan,0.000,3.4727,0,-,5.08266,0.356,14.276,1.0933,1,Pb-212,5.08266,0.356,14.276,1.0933,1,Pb-212,0,nan,0.000,927.22,0,-,1632.84,62.32,26.202,162.9,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e06,23.49986,25.49986,14400.001,1.4341,48.5042,0.6667,72.755,1.5865,1,-,47.1971,0.8441,55.916,1.8486,1,-,0,nan,0.000,19.13,0,-,0,nan,0.000,1187.1,0,-,0,nan,0.000,10.965,0,-,5.8579,0.3563,16.442,1.0957,1,-,23.6752,4.933,4.799,15.718,1,-,4.74995,0.9273,5.123,2.9331,1,-,0,nan,0.000,3.499,0,-,5.8579,0.3563,16.442,1.0957,1,Pb-212,5.8579,0.3563,16.442,1.0957,1,Pb-212,0,nan,0.000,932.5,0,-,1318.74,58.51,22.539,161.38,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e07,27.50242,29.50242,14400.001,1.4131,45.8619,0.6595,69.539,1.5691,1,-,43.8194,0.8203,53.416,1.8429,1,-,0,nan,0.000,18.626,0,-,0,nan,0.000,1182.2,0,-,17.3829,3.28,5.299,10.423,1,-,5.62464,0.35,16.071,1.075,1,-,17.7867,5.098,3.489,16.415,1,-,6.05655,0.7941,7.627,2.4054,1,-,0,nan,0.000,3.451,0,-,5.62464,0.35,16.071,1.075,1,Pb-212,5.62464,0.35,16.071,1.075,1,Pb-212,0,nan,0.000,925.49,0,-,1310.19,58.92,22.238,160.41,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
