t_mid_h,value,err
5.48842,66.6796,0.8592
9.49104,65.0114,0.8367
13.49368,63.5092,0.8602
17.49462,61.007,0.8574
21.49721,58.4868,0.813
25.49986,59.5162,0.8178
29.50242,56.2343,0.8086
33.50510,55.2623,0.8023
37.50759,54.2222,0.7736
41.51003,53.4284,0.8784
45.51249,53.7742,0.8504
49.51522,52.542,0.8128
53.51744,49.6528,0.7479
57.51988,48.1606,0.767
61.52234,46.8069,0.7504
65.52481,45.2979,0.7247
69.52744,45.4146,0.7725
73.53015,42.6783,0.7086
77.53264,43.1692,0.7717
81.53505,42.3174,0.7576
85.53760,41.0114,0.7517
89.54027,39.0776,0.7552
93.54291,38.9131,0.7733
97.54554,37.9568,0.7392
101.54796,37.0413,0.7149
105.55040,37.0081,0.7417
109.55292,36.9942,0.7264
113.55544,35.3104,0.7126
117.55787,33.238,0.7228
121.56052,34.5799,0.7052
