t_mid_h,value,err
5.48842,52.0215,0.876
9.49104,50.2214,0.8558
13.49368,49.3054,0.8786
17.49462,48.767,0.88
21.49721,46.9686,0.8348
25.49986,47.1971,0.8441
29.50242,43.8194,0.8203
33.50510,43.3422,0.7954
37.50759,42.819,0.7973
41.51003,40.2429,0.8129
45.51249,40.3324,0.7997
49.51522,38.9972,0.7316
53.51744,39.2367,0.7709
57.51988,36.3959,0.7647
61.52234,35.4839,0.7479
65.52481,35.6731,0.7512
69.52744,34.7132,0.7398
73.53015,34.9621,0.7361
77.53264,32.864,0.7469
81.53505,31.5186,0.7218
85.53760,31.4506,0.7192
89.54027,31.6695,0.7312
93.54291,29.197,0.727
97.54554,29.853,0.6836
101.54796,29.3458,0.6968
105.55040,27.3576,0.6659
109.55292,26.8878,0.6735
113.55544,26.6385,0.6529
117.55787,25.7964,0.6663
121.56052,24.24,0.6763
