t_mid_h,value,err
5.48842,1607.42,63.2
9.49104,1363.67,59.76
13.49368,1560.61,62.3
17.49462,1721.68,68.34
21.49721,1632.84,62.32
25.49986,1318.74,58.51
29.50242,1310.19,58.92
33.50510,1413.64,60.68
37.50759,1318.94,56.11
41.51003,430.138,96.15
45.51249,1044.74,56.63
49.51522,586.962,84.83
53.51744,1047.24,51.6
57.51988,1240.49,57.48
61.52234,1263.51,56.47
65.52481,1218.16,53.68
69.52744,1030.6,87.11
73.53015,1019.31,52.77
77.53264,987.873,82.72
81.53505,440.004,80.66
85.53760,328.22,80.5
89.54027,766.195,85.76
97.54554,236.42,78.73
105.55040,316.492,79.38
