t_mid_h,value,err
5.48842,22.9619,6.495
9.49104,24.2,6.361
13.49368,34.9652,6.318
17.49462,26.2226,6.53
21.49721,27.724,6.271
25.49986,29.7883,6.036
29.50242,21.7848,6.239
37.50759,28.4176,6.006
41.51003,21.3136,6.021
45.51249,23.9337,5.938
49.51522,19.3211,5.716
53.51744,27.3053,5.886
65.52481,27.0731,5.818
69.52744,28.4732,5.663
73.53015,24.9638,5.745
77.53264,29.5716,5.693
81.53505,18.2394,5.427
85.53760,21.8634,5.435
89.54027,28.1898,5.649
93.54291,25.8281,5.606
97.54554,30.6419,5.392
101.54796,20.4644,5.28
105.55040,24.6005,5.43
109.55292,19.985,5.357
113.55544,33.4328,5.289
117.55787,32.5948,5.436
121.56052,22.4643,5.282
