t_mid_h,value,err
5.48842,4.60691,1.088
9.49104,6.41138,1.083
13.49368,6.4537,0.9957
17.49462,6.22274,1.159
21.49721,4.48424,1.07
25.49986,5.72951,1.12
29.50242,7.25905,0.9586
33.50510,4.5453,1.059
37.50759,6.86656,1.049
41.51003,5.60437,1.064
45.51249,6.98252,1.069
49.51522,7.14088,1.017
53.51744,5.53602,1.023
57.51988,4.16598,1.057
61.52234,4.94994,1.042
65.52481,5.25447,1.02
69.52744,7.26856,0.9023
73.53015,5.73947,0.8871
77.53264,7.13444,1.027
81.53505,6.9771,0.8454
85.53760,6.63954,0.9898
89.54027,5.53651,1.005
93.54291,7.20553,1.046
97.54554,7.32582,0.8099
101.54796,5.69848,0.9734
105.55040,6.59053,0.8779
109.55292,7.74948,0.8129
113.55544,6.70194,0.9623
117.55787,7.1748,0.8887
121.56052,7.98371,0.7156
