key,ratio,err
coal_t20m,1.00000,0.03755
coal_t2h,1.00000,0.03118
coal_t3h,1.00000,0.02961
coal_e01,1.00000,0.01799
#weighted_mean_eq,1.00000,0.01799
#chi2,0.000,0
