t_mid_h,value,err
5.48842,54.4075,0.6998
9.49104,53.0386,0.6818
13.49368,51.7817,0.7005
17.49462,49.7741,0.6985
21.49721,47.7067,0.663
25.49986,48.5042,0.6667
29.50242,45.8619,0.6595
33.50510,45.0933,0.6536
37.50759,44.2311,0.6312
41.51003,43.5921,0.7167
45.51249,43.1946,0.6383
49.51522,42.9059,0.6624
53.51744,40.824,0.6054
57.51988,39.3176,0.6257
61.52234,38.1865,0.6118
65.52481,36.9596,0.5907
69.52744,37.0821,0.6296
73.53015,34.7973,0.5781
77.53264,35.2486,0.6293
81.53505,34.5096,0.6175
85.53760,33.4654,0.6127
89.54027,31.8997,0.6162
93.54291,31.5439,0.6152
97.54554,30.9823,0.6031
101.54796,30.248,0.583
105.55040,30.2074,0.6047
109.55292,30.2271,0.5922
113.55544,28.6105,0.5678
117.55787,27.068,0.589
121.56052,28.2419,0.5752
