t_mid_h,value,err
5.48842,3.86266,0.9015
9.49104,5.35434,0.8981
13.49368,5.36784,0.8241
17.49462,5.18155,0.9593
21.49721,3.75346,0.8878
25.49986,4.74995,0.9273
29.50242,6.05655,0.7941
33.50510,3.80902,0.8775
37.50759,5.7023,0.8704
41.51003,4.69665,0.8822
45.51249,5.75955,0.8792
49.51522,5.96911,0.8339
53.51744,4.6402,0.8528
57.51988,3.47222,0.8767
61.52234,4.12678,0.8641
65.52481,4.38006,0.8454
69.52744,6.02787,0.7465
73.53015,4.76772,0.7351
77.53264,5.93326,0.8518
81.53505,5.73254,0.6955
85.53760,5.54479,0.8206
89.54027,4.61302,0.8336
93.54291,5.9375,0.7331
97.54554,5.90337,0.6643
101.54796,4.77768,0.8071
105.55040,5.46099,0.7236
109.55292,6.28149,0.6667
113.55544,5.5489,0.798
117.55787,5.93907,0.7358
121.56052,6.53901,0.5879
