key,ratio,err
coal_t20m,0.88806,0.04263
coal_t2h,0.97708,0.03626
coal_t3h,0.97272,0.03194
coal_e01,0.94781,0.02013
coal_e02,0.93859,0.02007
coal_e03,0.94378,0.02115
coal_e04,0.97095,0.02224
coal_e05,0.97574,0.02203
coal_e06,0.96397,0.02176
coal_e07,0.94698,0.02237
coal_e08,0.95250,0.02231
coal_e09,0.95940,0.02251
coal_e10,0.91498,0.02384
coal_e11,0.91531,0.02330
coal_e12,0.90253,0.02258
coal_e13,0.95550,0.02372
coal_e14,0.91791,0.02421
coal_e15,0.92072,0.02440
coal_e16,0.95663,0.02533
coal_e17,0.92811,0.02535
coal_e18,0.99502,0.02669
coal_e19,0.92442,0.02676
coal_e20,0.90426,0.02631
coal_e21,0.93148,0.02732
coal_e22,0.98429,0.02966
coal_e23,0.91187,0.02913
coal_e24,0.95750,0.02879
coal_e25,0.96226,0.02947
coal_e26,0.89920,0.02928
coal_e27,0.88510,0.02818
coal_e28,0.92035,0.02917
coal_e29,0.94569,0.03192
coal_e30,0.85023,0.02943
#weighted_mean_eq,0.93815,0.00451
#chi2,40.627,29
