model,hl_d,hl_err_d,B,B_err,C,C_err,chi2,ndf
exp,76.47000,248.20688,26.4055,1.14,0,0,16.041,25
fixed,3.82350,0.00000,0.777814,6.57,25.2512,4.18,15.957,25
free,0.62100,1.71595,1.72776,5.59,25.4993,1.33,15.876,24
#i,t_mid_h,value,err,res_exp,res_fixed,res_free
#1,5.4884,22.9619,6.495,-0.522,-0.467,-0.597
#2,9.4910,24.2,6.361,-0.332,-0.279,-0.379
#3,13.4937,34.9652,6.318,1.376,1.426,1.352
#4,17.4946,26.2226,6.53,-0.001,0.044,-0.007
#5,21.4972,27.724,6.271,0.244,0.289,0.253
#6,25.4999,29.7883,6.036,0.602,0.645,0.623
#7,29.5024,21.7848,6.239,-0.694,-0.655,-0.666
#8,37.5076,28.4176,6.006,0.397,0.430,0.436
#9,41.5100,21.3136,6.021,-0.777,-0.748,-0.737
#10,45.5125,23.9337,5.938,-0.340,-0.315,-0.299
#11,49.5152,19.3211,5.716,-1.154,-1.131,-1.111
#12,53.5174,27.3053,5.886,0.243,0.261,0.282
#13,65.5248,27.0731,5.818,0.226,0.232,0.256
#14,69.5274,28.4732,5.663,0.486,0.488,0.513
#15,73.5302,24.9638,5.745,-0.125,-0.128,-0.103
#16,77.5326,29.5716,5.693,0.690,0.683,0.707
#17,81.5350,18.2394,5.427,-1.357,-1.369,-1.345
#18,85.5376,21.8634,5.435,-0.681,-0.698,-0.675
#19,89.5403,28.1898,5.649,0.471,0.450,0.472
#20,93.5429,25.8281,5.606,0.061,0.034,0.055
#21,97.5455,30.6419,5.392,0.963,0.931,0.950
#22,101.5480,20.4644,5.28,-0.937,-0.975,-0.956
#23,105.5504,24.6005,5.43,-0.142,-0.184,-0.168
#24,109.5529,19.985,5.357,-0.999,-1.047,-1.031
#25,113.5554,33.4328,5.289,1.538,1.485,1.498
#26,117.5579,32.5948,5.436,1.350,1.292,1.304
#27,121.5605,22.4643,5.282,-0.522,-0.586,-0.576
