model,hl_d,hl_err_d,B,B_err,C,C_err,chi2,ndf
exp,76.47000,58.76118,6.32518,0.0633,0,0,82.334,28
fixed,3.82350,0.00000,-1.86557,0.378,7.34192,0.245,43.668,28
free,2.96383,3.64949,-1.63788,0.332,7.08037,0.194,43.634,27
#i,t_mid_h,value,err,res_exp,res_fixed,res_free
#1,5.4884,5.82903,0.3684,-1.311,0.752,0.818
#2,9.4910,5.90981,0.3577,-1.098,0.851,0.902
#3,13.4937,5.98294,0.3737,-0.830,0.872,0.906
#4,17.4946,4.69879,0.369,-4.295,-2.733,-2.711
#5,21.4972,5.08266,0.356,-3.347,-1.891,-1.880
#6,25.4999,5.8579,0.3563,-1.141,0.154,0.155
#7,29.5024,5.62464,0.35,-1.801,-0.641,-0.649
#8,33.5051,5.93637,0.3476,-0.890,0.123,0.108
#9,37.5076,6.11925,0.3352,-0.349,0.545,0.523
#10,41.5100,6.85839,0.391,1.615,2.250,2.228
#11,45.5125,6.16672,0.3409,-0.149,0.433,0.403
#12,49.5152,6.97695,0.3549,2.167,2.588,2.557
#13,53.5174,6.05485,0.3268,-0.440,-0.128,-0.163
#14,57.5199,5.79186,0.3339,-1.190,-1.024,-1.058
#15,61.5223,5.80653,0.3275,-1.140,-1.109,-1.144
#16,65.5248,5.62912,0.3154,-1.717,-1.825,-1.859
#17,69.5274,6.22487,0.3386,0.188,-0.040,-0.070
#18,73.5302,6.02266,0.3101,-0.417,-0.802,-0.831
#19,77.5326,6.53605,0.3374,1.166,0.690,0.667
#20,81.5350,6.45793,0.3357,0.967,0.369,0.350
#21,85.5376,6.98877,0.3351,2.580,1.864,1.850
#22,89.5403,5.84044,0.3332,-0.824,-1.659,-1.667
#23,93.5429,6.36948,0.3346,0.789,-0.156,-0.157
#24,97.5455,7.07606,0.3318,2.953,1.890,1.895
#25,101.5480,6.69524,0.3165,1.921,0.694,0.707
#26,105.5504,6.47412,0.3321,1.193,-0.082,-0.062
#27,109.5529,6.4644,0.3227,1.226,-0.192,-0.164
#28,113.5554,6.47812,0.3112,1.345,-0.233,-0.195
#29,117.5579,6.47935,0.3267,1.313,-0.291,-0.245
#30,121.5605,6.37283,0.3151,1.052,-0.712,-0.655
