model,hl_d,hl_err_d,B,B_err,C,C_err,chi2,ndf
exp,4.60776,0.08201,53.6832,0.202,0,0,23.099,28
fixed,3.82350,0.00000,48.0543,0.85,6.13883,0.538,23.815,28
free,4.41774,0.78057,52.2864,0.925,1.49848,0.618,23.043,27
#i,t_mid_h,value,err,res_exp,res_fixed,res_free
#1,5.4884,52.0215,0.876,0.175,-0.251,0.091
#2,9.4910,50.2214,0.8558,-0.422,-0.756,-0.488
#3,13.4937,49.3054,0.8786,-0.027,-0.263,-0.073
#4,17.4946,48.767,0.88,0.749,0.594,0.719
#5,21.4972,46.9686,0.8348,0.063,-0.026,0.047
#6,25.4999,47.1971,0.8441,1.710,1.686,1.707
#7,29.5024,43.8194,0.8203,-0.976,-0.944,-0.968
#8,33.5051,43.3422,0.7954,-0.216,-0.133,-0.198
#9,37.5076,42.819,0.7973,0.480,0.604,0.507
#10,41.5100,40.2429,0.8129,-1.405,-1.250,-1.372
#11,45.5125,40.3324,0.7997,-0.034,0.149,0.005
#12,49.5152,38.9972,0.7316,-0.495,-0.275,-0.449
#13,53.5174,39.2367,0.7709,1.105,1.327,1.152
#14,57.5199,36.3959,0.7647,-1.357,-1.128,-1.309
#15,61.5223,35.4839,0.7479,-1.367,-1.134,-1.318
#16,65.5248,35.6731,0.7512,0.095,0.320,0.142
#17,69.5274,34.7132,0.7398,-0.009,0.206,0.036
#18,73.5302,34.9621,0.7361,1.498,1.696,1.539
#19,77.5326,32.864,0.7469,-0.210,-0.039,-0.175
#20,81.5350,31.5186,0.7218,-0.947,-0.800,-0.918
#21,85.5376,31.4506,0.7192,0.064,0.177,0.086
#22,89.5403,31.6695,0.7312,1.426,1.500,1.440
#23,93.5429,29.197,0.727,-0.923,-0.892,-0.918
#24,97.5455,29.853,0.6836,1.061,1.044,1.055
#25,101.5480,29.3458,0.6968,1.349,1.279,1.331
#26,105.5504,27.3576,0.6659,-0.518,-0.649,-0.549
#27,109.5529,26.8878,0.6735,-0.190,-0.382,-0.234
#28,113.5554,26.6385,0.6529,0.447,0.182,0.387
#29,117.5579,25.7964,0.6663,0.154,-0.174,0.080
#30,121.5605,24.24,0.6763,-1.209,-1.602,-1.297
