key,t_start_h,t_mid_h,live_s,chi2ndf,Pb-214_bq,Pb-214_err,Pb-214_z,Pb-214_lim,Pb-214_det,Pb-214_tied,Bi-214_bq,Bi-214_err,Bi-214_z,Bi-214_lim,Bi-214_det,Bi-214_tied,Ra-226_bq,Ra-226_err,Ra-226_z,Ra-226_lim,Ra-226_det,Ra-226_tied,Rn-222_bq,Rn-222_err,Rn-222_z,Rn-222_lim,Rn-222_det,Rn-222_tied,Pb-210_bq,Pb-210_err,Pb-210_z,Pb-210_lim,Pb-210_det,Pb-210_tied,Pb-212_bq,Pb-212_err,Pb-212_z,Pb-212_lim,Pb-212_det,Pb-212_tied,Bi-212_bq,Bi-212_err,Bi-212_z,Bi-212_lim,Bi-212_det,Bi-212_tied,Tl-208_bq,Tl-208_err,Tl-208_z,Tl-208_lim,Tl-208_det,Tl-208_tied,Ac-228_bq,Ac-228_err,Ac-228_z,Ac-228_lim,Ac-228_det,Ac-228_tied,Ra-224_bq,Ra-224_err,Ra-224_z,Ra-224_lim,Ra-224_det,Ra-224_tied,Th-228_bq,Th-228_err,Th-228_z,Th-228_lim,Th-228_det,Th-228_tied,Rn-220_bq,Rn-220_err,Rn-220_z,Rn-220_lim,Rn-220_det,Rn-220_tied,Th-232_bq,Th-232_err,Th-232_z,Th-232_lim,Th-232_det,Th-232_tied,Ra-228_bq,Ra-228_err,Ra-228_z,Ra-228_lim,Ra-228_det,Ra-228_tied,K-40_bq,K-40_err,K-40_z,K-40_lim,K-40_det,K-40_tied
coal_t20m,0.33340,0.53916,1481.457,1.0007,82.3123,2.523,32.629,5.7421,1,-,73.0983,2.701,27.063,5.557,1,-,0,nan,0.000,71.036,0,-,0,nan,0.000,4034.6,0,-,0,nan,0.000,41.678,0,-,9.42154,1.311,7.187,4.1074,1,-,0,nan,0.000,56.432,0,-,0,nan,0.000,10.431,0,-,0,nan,0.000,12.26,0,-,9.42154,1.311,7.187,4.1074,1,Pb-212,9.42154,1.311,7.187,4.1074,1,Pb-212,0,nan,0.000,3210.1,0,-,1501.7,317.7,4.727,1001.9,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_t2h,1.42801,1.91816,3529.053,1.2048,66.5292,1.575,42.239,3.763,1,-,65.0044,1.858,34.989,3.9214,1,-,0,nan,0.000,45.192,0,-,0,nan,0.000,2805.6,0,-,37.0334,7.026,5.271,22.105,1,-,6.68813,0.8263,8.094,2.6043,1,-,0,nan,0.000,40.434,0,-,0,nan,0.000,6.764,0,-,0,nan,0.000,8.2209,0,-,6.68813,0.8263,8.094,2.6043,1,Pb-212,6.68813,0.8263,8.094,2.6043,1,Pb-212,0,nan,0.000,2230.1,0,-,2413.15,138.3,17.444,374.64,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_t3h,2.42735,2.92735,3600.001,1.0872,69.3306,1.608,43.129,3.744,1,-,67.439,1.568,43.019,3.2521,1,-,0,nan,0.000,44.683,0,-,0,nan,0.000,2599.8,0,-,0,nan,0.000,26.488,0,-,9.03648,0.8441,10.706,2.6175,1,-,47.6986,7.04,6.775,21.58,1,-,0,nan,0.000,6.1455,0,-,0,nan,0.000,7.7895,0,-,9.03648,0.8441,10.706,2.6175,1,Pb-212,9.03648,0.8441,10.706,2.6175,1,Pb-212,0,nan,0.000,2059.6,0,-,1447.49,204.4,7.083,639.03,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e01,3.48842,5.48842,14400.001,1.4418,66.6796,0.8592,77.608,1.9988,1,-,63.1999,1.067,59.242,2.321,1,-,0,nan,0.000,24.202,0,-,0,nan,0.000,1508.6,0,-,17.3399,4.201,4.128,13.499,1,-,7.04122,0.4523,15.567,1.3953,1,-,22.9619,6.495,3.535,21.017,1,-,4.60691,1.088,4.235,3.4659,1,-,0,nan,0.000,4.3971,0,-,7.04122,0.4523,15.567,1.3953,1,Pb-212,7.04122,0.4523,15.567,1.3953,1,Pb-212,0,nan,0.000,1177,0,-,2045.69,78.08,26.201,207.15,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e02,7.49104,9.49104,14400.001,1.4011,65.0114,0.8367,77.698,1.9662,1,-,61.0191,1.042,58.571,2.2884,1,-,0,nan,0.000,23.777,0,-,0,nan,0.000,1482.4,0,-,16.9447,4.264,3.974,13.723,1,-,7.15676,0.4391,16.300,1.3625,1,-,24.2,6.361,3.804,20.545,1,-,6.41138,1.083,5.918,3.3875,1,-,0,nan,0.000,4.2959,0,-,7.15676,0.4391,16.300,1.3625,1,Pb-212,7.15676,0.4391,16.300,1.3625,1,Pb-212,0,nan,0.000,1160.4,0,-,1737.94,73.45,23.661,199.29,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e03,11.49368,13.49368,14400.001,1.5295,63.5092,0.8602,73.833,2.0291,1,-,59.9388,1.07,56.026,2.3478,1,-,0,nan,0.000,24.558,0,-,0,nan,0.000,1543.2,0,-,0,nan,0.000,12.092,0,-,7.23959,0.459,15.773,1.4149,1,-,34.9652,6.318,5.534,20.007,1,-,6.4537,0.9957,6.482,3.0479,1,-,0,nan,0.000,4.4597,0,-,7.23959,0.459,15.773,1.4149,1,Pb-212,7.23959,0.459,15.773,1.4149,1,Pb-212,0,nan,0.000,1197.9,0,-,1989.72,76.82,25.901,207.04,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e04,15.49462,17.49462,14400.001,1.5057,61.007,0.8574,71.150,2.022,1,-,59.235,1.071,55.290,2.3612,1,-,0,nan,0.000,24.106,0,-,0,nan,0.000,1536.9,0,-,19.0281,3.964,4.801,12.67,1,-,5.66342,0.453,12.502,1.4069,1,-,26.2226,6.53,4.016,21.023,1,-,6.22274,1.159,5.370,3.6506,1,-,0,nan,0.000,4.4487,0,-,5.66342,0.453,12.502,1.4069,1,Pb-212,5.66342,0.453,12.502,1.4069,1,Pb-212,0,nan,0.000,1186.5,0,-,2185.14,83.87,26.054,210.84,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e05,19.49721,21.49721,14400.001,1.3899,58.4868,0.813,71.940,1.9342,1,-,57.0678,1.015,56.208,2.2541,1,-,0,nan,0.000,23.083,0,-,0,nan,0.000,1460.3,0,-,19.0054,3.825,4.968,12.151,1,-,6.14262,0.4366,14.068,1.342,1,-,27.724,6.271,4.421,20.127,1,-,4.48424,1.07,4.191,3.4178,1,-,0,nan,0.000,4.2253,0,-,6.14262,0.4366,14.068,1.342,1,Pb-212,6.14262,0.4366,14.068,1.342,1,Pb-212,0,nan,0.000,1139.5,0,-,2071.94,76.48,27.093,198.46,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e06,23.49986,25.49986,14400.001,1.4369,59.5162,0.8178,72.776,1.9485,1,-,57.3716,1.027,55.845,2.2563,1,-,0,nan,0.000,23.491,0,-,0,nan,0.000,1461.1,0,-,0,nan,0.000,13.349,0,-,7.10432,0.4371,16.254,1.3458,1,-,29.7883,6.036,4.935,19.213,1,-,5.72951,1.12,5.117,3.5422,1,-,0,nan,0.000,4.258,0,-,7.10432,0.4371,16.254,1.3458,1,Pb-212,7.10432,0.4371,16.254,1.3458,1,Pb-212,0,nan,0.000,1146.5,0,-,1679.23,72.02,23.317,196.8,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
coal_e07,27.50242,29.50242,14400.001,1.4147,56.2343,0.8086,69.544,1.9268,1,-,53.2525,0.9978,53.369,2.2478,1,-,0,nan,0.000,22.862,0,-,0,nan,0.000,1453.9,0,-,22.4289,3.994,5.616,12.667,1,-,6.82176,0.429,15.900,1.3196,1,-,21.7848,6.239,3.492,20.088,1,-,7.25905,0.9586,7.572,2.905,1,-,0,nan,0.000,4.1982,0,-,6.82176,0.429,15.900,1.3196,1,Pb-212,6.82176,0.429,15.900,1.3196,1,Pb-212,0,nan,0.000,1137.7,0,-,1664.25,72.39,22.990,195.52,1,-,nan,nan,nan,nan,-1,-,nan,nan,nan,nan,-1,-
