model,hl_d,hl_err_d,B,B_err,C,C_err,chi2,ndf
exp,76.47000,59.43389,7.70002,0.0779,0,0,85.957,28
fixed,3.82350,0.00000,-2.36585,0.465,8.99831,0.301,45.609,28
free,2.73626,3.12135,-2.00581,0.394,8.57913,0.222,45.546,27
#i,t_mid_h,value,err,res_exp,res_fixed,res_free
#1,5.4884,7.04122,0.4523,-1.421,0.691,0.785
#2,9.4910,7.15676,0.4391,-1.174,0.821,0.893
#3,13.4937,7.23959,0.459,-0.918,0.823,0.871
#4,17.4946,5.66342,0.453,-4.384,-2.786,-2.755
#5,21.4972,6.14262,0.4366,-3.424,-1.934,-1.919
#6,25.4999,7.10432,0.4371,-1.194,0.131,0.132
#7,29.5024,6.82176,0.429,-1.848,-0.660,-0.672
#8,33.5051,7.1882,0.4267,-0.973,0.063,0.041
#9,37.5076,7.42188,0.4109,-0.413,0.501,0.469
#10,41.5100,8.31149,0.4778,1.530,2.181,2.149
#11,45.5125,8.09104,0.4526,1.154,1.702,1.663
#12,49.5152,8.43188,0.4346,2.012,2.442,2.398
#13,53.5174,7.34633,0.3991,-0.500,-0.182,-0.232
#14,57.5199,7.01102,0.4094,-1.279,-1.112,-1.160
#15,61.5223,7.05123,0.4018,-1.175,-1.146,-1.195
#16,65.5248,6.82885,0.387,-1.765,-1.879,-1.927
#17,69.5274,7.52876,0.4149,0.068,-0.169,-0.211
#18,73.5302,7.33118,0.3802,-0.415,-0.814,-0.855
#19,77.5326,7.90468,0.4133,1.033,0.541,0.509
#20,81.5350,7.83553,0.4109,0.898,0.280,0.255
#21,85.5376,8.48814,0.4105,2.516,1.778,1.759
#22,89.5403,7.07156,0.4078,-0.913,-1.775,-1.785
#23,93.5429,7.8952,0.4263,1.085,0.150,0.149
#24,97.5455,8.60162,0.4062,2.905,1.811,1.819
#25,101.5480,8.12451,0.388,1.841,0.580,0.598
#26,105.5504,7.86626,0.4068,1.148,-0.163,-0.134
#27,109.5529,7.84298,0.3956,1.150,-0.306,-0.266
#28,113.5554,8.03811,0.3952,1.673,0.109,0.162
#29,117.5579,7.93708,0.401,1.425,-0.219,-0.155
#30,121.5605,7.74323,0.3861,1.007,-0.804,-0.725
