t_mid_h,value,err
5.48842,18.6603,5.301
9.49104,19.7111,5.195
13.49368,27.9779,5.159
17.49462,21.36,5.333
21.49721,22.6027,5.126
25.49986,23.6752,4.933
29.50242,17.7867,5.098
37.50759,23.1012,4.912
41.51003,17.2787,4.925
45.51249,21.4916,4.951
49.51522,15.6646,4.614
53.51744,26.7692,4.601
65.52481,22.081,4.754
69.52744,23.2071,4.624
73.53015,20.2906,4.705
77.53264,24.0605,4.652
81.53505,14.7285,4.438
85.53760,17.7564,4.443
89.54027,22.952,4.618
93.54291,20.2103,4.561
97.54554,24.6997,4.408
101.54796,16.7812,4.316
105.55040,19.9023,4.384
109.55292,16.1126,4.378
113.55544,25.9325,4.292
117.55787,26.5343,4.442
121.56052,18.4729,4.32
