ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th,Xray-Th-L
0,-7.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-7.375,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-7.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-6.704,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-6.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,-6.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,-5.697,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,-5.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,-5.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,-4.689,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,-4.353,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,-4.017,0.000,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,-3.682,0.000,0.007,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,-3.346,0.000,0.011,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,-3.010,0.000,0.015,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,-2.674,0.000,0.021,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,-2.338,0.000,0.029,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,-2.002,0.000,0.039,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,-1.665,0.000,0.053,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,-1.329,0.000,0.071,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,-0.993,0.000,0.095,0.000,0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,-0.657,0.000,0.127,0.000,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,-0.321,0.000,0.170,0.000,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
23,0.015,0.000,0.225,0.000,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
24,0.351,0.000,0.299,0.000,0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
25,0.688,0.000,0.398,0.000,0.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
26,1.024,0.000,0.528,0.000,0.526,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
27,1.360,0.000,0.700,0.000,0.698,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002
28,1.696,0.000,0.932,0.000,0.929,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004
29,2.033,0.000,1.239,0.000,1.234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005
30,2.369,0.000,1.645,0.000,1.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006
31,2.705,0.000,2.186,0.000,2.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008
32,3.042,0.000,2.904,0.000,2.895,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010
33,3.378,0.000,3.859,0.000,3.847,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012
34,3.715,0.000,5.129,0.000,5.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015
35,4.051,0.000,6.821,0.000,6.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019
36,4.388,0.000,9.071,0.000,9.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023
37,4.724,0.000,12.065,0.000,12.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028
38,5.061,0.000,16.054,0.000,16.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035
39,5.397,0.000,21.364,0.000,21.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.043
40,5.734,0.000,28.436,0.000,28.382,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.054
41,6.070,0.000,37.858,0.000,37.791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.066
42,6.407,0.000,50.096,0.000,50.013,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.082
43,6.744,0.000,64.479,0.000,64.377,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.102
44,7.080,0.000,79.327,0.000,79.200,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.126
45,7.417,0.000,93.489,0.000,93.331,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.156
46,7.754,0.000,106.027,0.000,105.832,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.193
47,8.090,0.000,116.549,0.000,116.308,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.239
48,8.427,0.000,124.884,0.000,124.586,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.296
49,8.764,0.000,130.578,0.000,130.208,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.367
50,9.101,0.000,133.821,0.000,133.363,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.454
51,9.438,0.852,135.299,0.000,134.732,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.563
52,9.774,0.000,135.858,0.000,135.155,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.697
53,10.111,0.000,136.278,0.000,135.408,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.864
54,10.448,0.037,136.723,0.000,135.644,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,1.070
55,10.785,4.889,136.890,0.000,135.554,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,1.326
56,11.122,12.853,136.845,0.000,135.190,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,1.644
57,11.459,23.373,136.771,0.000,134.720,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,2.038
58,11.796,50.412,137.021,0.000,134.479,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,2.526
59,12.133,84.230,137.751,0.000,134.601,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,3.131
60,12.470,132.234,138.641,0.000,134.741,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,3.877
61,12.807,160.759,139.519,0.000,134.695,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,4.797
62,13.144,207.691,140.490,0.000,134.528,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,5.930
63,13.481,240.807,141.774,0.000,134.408,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,7.327
64,13.818,297.330,154.188,10.525,137.858,2.198,1.844,0.463,0.143,0.023,0.003,0.001,1.947,0.652,9.049
65,14.155,288.630,167.038,21.051,141.482,4.396,3.689,0.893,0.287,0.047,0.007,0.003,3.895,1.304,11.027
66,14.492,317.745,179.925,31.576,144.996,6.595,5.535,1.324,0.430,0.071,0.010,0.004,5.844,1.956,13.151
67,14.830,363.376,192.698,42.101,148.325,8.795,7.381,1.757,0.574,0.094,0.014,0.006,7.794,2.608,15.340
68,15.167,315.749,205.376,52.626,151.552,10.996,9.228,2.193,0.717,0.118,0.017,0.007,9.744,3.261,17.531
69,15.504,384.897,218.106,63.152,154.873,13.198,11.076,2.630,0.861,0.141,0.021,0.008,11.695,3.914,19.676
70,15.841,329.122,230.975,73.677,158.397,15.401,12.925,3.071,1.004,0.165,0.024,0.010,13.647,4.567,21.750
71,16.178,363.898,243.763,84.202,161.901,17.605,14.774,3.515,1.148,0.188,0.028,0.011,15.600,5.221,23.759
72,16.516,378.716,256.391,94.727,165.249,19.810,16.625,3.963,1.292,0.212,0.031,0.013,17.554,5.875,25.757
73,16.853,372.714,269.018,105.253,168.482,22.015,18.476,4.415,1.436,0.235,0.035,0.014,19.508,6.529,27.861
74,17.190,376.682,281.909,115.778,171.698,24.222,20.328,4.873,1.579,0.259,0.038,0.016,21.464,7.183,30.238
75,17.528,360.754,295.464,126.303,175.091,26.430,22.181,5.338,1.723,0.283,0.042,0.017,23.420,7.838,33.091
76,17.865,394.052,309.488,136.829,178.581,28.639,24.034,5.810,1.867,0.306,0.045,0.018,25.378,8.493,36.307
77,18.202,395.830,323.494,147.354,181.975,30.849,25.889,6.292,2.012,0.330,0.049,0.020,27.336,9.149,39.588
78,18.540,387.831,337.224,157.879,185.244,33.060,27.745,6.785,2.156,0.353,0.052,0.021,29.295,9.804,42.702
79,18.877,402.016,350.530,168.404,188.463,35.273,29.601,7.291,2.300,0.377,0.056,0.023,31.256,10.460,45.426
80,19.215,378.093,363.292,178.930,191.746,37.486,31.459,7.813,2.444,0.401,0.059,0.024,33.217,11.117,47.521
81,19.552,376.460,375.399,189.455,195.201,39.701,33.318,8.353,2.589,0.424,0.063,0.026,35.180,11.774,48.768
82,19.890,374.761,386.471,199.980,198.611,41.917,35.178,8.918,2.733,0.448,0.066,0.027,37.144,12.431,48.996
83,20.227,405.317,396.306,210.505,201.860,44.134,37.038,9.510,2.878,0.472,0.070,0.028,39.108,13.088,48.117
84,20.565,406.136,404.938,221.031,204.974,46.352,38.900,10.137,3.022,0.496,0.073,0.030,41.074,13.746,46.132
85,20.902,360.432,412.563,231.556,208.040,48.572,40.762,10.807,3.167,0.519,0.077,0.031,43.040,14.404,43.142
86,21.240,414.732,419.517,242.081,211.200,50.792,42.625,11.530,3.312,0.543,0.080,0.033,45.007,15.063,39.331
87,21.578,409.253,426.024,252.607,214.429,53.013,44.489,12.319,3.457,0.567,0.084,0.034,46.975,15.721,34.935
88,21.915,429.401,432.136,263.132,217.496,55.234,46.353,13.192,3.602,0.591,0.087,0.036,48.944,16.380,30.220
89,22.253,433.553,438.100,273.657,220.356,57.457,48.218,14.175,3.747,0.614,0.091,0.037,50.913,17.039,25.452
90,22.590,408.403,444.216,284.182,223.037,59.680,50.084,15.301,3.891,0.638,0.094,0.038,52.884,17.698,20.866
91,22.928,490.184,450.773,294.708,225.599,61.904,51.950,16.619,4.036,0.662,0.098,0.040,54.855,18.358,16.651
92,23.266,433.816,458.058,305.233,228.130,64.129,53.816,18.196,4.182,0.686,0.101,0.041,56.826,19.017,12.932
93,23.604,455.223,465.997,315.758,230.466,66.354,55.684,20.057,4.327,0.709,0.105,0.043,58.798,19.677,9.776
94,23.941,534.964,474.491,326.283,232.458,68.581,57.552,22.240,4.472,0.733,0.108,0.044,60.772,20.337,7.191
95,24.279,524.113,483.533,336.809,234.061,70.808,59.421,24.819,4.617,0.757,0.112,0.046,62.745,20.997,5.148
96,24.617,555.780,493.144,347.334,235.253,73.036,61.290,27.895,4.762,0.781,0.115,0.047,64.719,21.658,3.586
