ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th,Backscatter,SE-1588,DE-1631,Xray-NaI,SE-1631,Xray-Th-L
26,1.024,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005
27,1.360,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011
28,1.696,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014
29,2.033,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017
30,2.369,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021
31,2.705,0.000,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026
32,3.042,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032
33,3.378,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039
34,3.715,0.000,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048
35,4.051,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.059
36,4.388,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073
37,4.724,0.000,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089
38,5.061,0.000,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.109
39,5.397,0.000,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.134
40,5.734,0.000,0.165,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.165
41,6.070,0.000,0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.202
42,6.407,0.000,0.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.248
43,6.744,0.000,0.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.305
44,7.080,0.000,0.389,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.374
45,7.417,0.000,0.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.459
46,7.754,0.000,0.584,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.564
47,8.090,0.000,0.717,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.692
48,8.427,0.000,0.879,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.028,0.000,0.850
49,8.764,0.000,1.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.000,1.044
50,9.101,0.000,1.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.000,1.282
51,9.438,0.852,1.628,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.053,0.000,1.574
52,9.774,0.000,1.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,1.934
53,10.111,0.000,2.449,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.074,0.000,2.375
54,10.448,0.037,3.005,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.087,0.000,2.917
55,10.785,4.889,3.687,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.102,0.000,3.583
56,11.122,12.853,4.524,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.121,0.000,4.401
57,11.459,23.373,5.551,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.142,0.000,5.407
58,11.796,50.412,6.812,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.168,0.000,6.642
59,12.133,84.230,8.361,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.198,0.000,8.161
60,12.470,132.234,10.263,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.233,0.000,10.026
61,12.807,160.759,12.598,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.275,0.000,12.319
62,13.144,207.691,15.466,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.324,0.000,15.136
63,13.481,240.807,18.987,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.382,0.000,18.598
64,13.818,297.330,34.648,11.341,2.813,1.642,2.530,0.257,0.192,0.036,0.003,0.002,1.952,0.840,0.646,0.109,0.118,0.572,0.027,22.909
65,14.155,288.630,51.278,22.682,5.620,3.284,5.061,0.515,0.384,0.071,0.007,0.005,3.903,1.680,1.290,0.218,0.235,0.775,0.054,28.175
66,14.492,317.745,68.952,34.024,8.428,4.927,7.591,0.772,0.577,0.107,0.010,0.007,5.855,2.521,1.935,0.327,0.353,0.991,0.080,34.471
67,14.830,363.376,87.767,45.365,11.236,6.569,10.122,1.029,0.769,0.142,0.013,0.009,7.807,3.361,2.580,0.436,0.470,1.225,0.107,41.890
68,15.167,315.749,107.894,56.706,14.044,8.212,12.654,1.287,0.961,0.178,0.017,0.011,9.759,4.202,3.225,0.544,0.588,1.479,0.134,50.598
69,15.504,384.897,129.556,68.047,16.852,9.855,15.185,1.544,1.153,0.213,0.020,0.014,11.712,5.042,3.870,0.653,0.706,1.757,0.161,60.817
70,15.841,329.122,153.060,79.388,19.661,11.498,17.718,1.802,1.346,0.249,0.024,0.016,13.665,5.883,4.515,0.762,0.823,2.063,0.187,72.847
71,16.178,363.898,178.820,90.729,22.470,13.142,20.251,2.059,1.538,0.284,0.027,0.018,15.619,6.724,5.160,0.871,0.941,2.402,0.214,87.096
72,16.516,378.716,207.364,102.071,25.280,14.787,22.785,2.317,1.731,0.320,0.030,0.021,17.574,7.566,5.806,0.980,1.059,2.780,0.241,104.088
73,16.853,372.714,239.155,113.412,28.090,16.432,25.320,2.575,1.923,0.355,0.034,0.023,19.529,8.408,6.452,1.090,1.176,3.203,0.268,124.274
74,17.190,376.682,273.168,124.753,30.903,18.079,27.857,2.833,2.116,0.391,0.037,0.025,21.486,9.250,7.098,1.199,1.294,3.682,0.295,146.623
75,17.528,360.754,308.019,136.094,33.717,19.726,30.396,3.091,2.309,0.427,0.040,0.027,23.444,10.093,7.745,1.308,1.412,4.224,0.321,169.736
76,17.865,394.052,342.073,147.435,36.533,21.375,32.937,3.349,2.502,0.462,0.044,0.030,25.404,10.937,8.392,1.417,1.530,4.841,0.348,191.969
77,18.202,395.830,373.866,158.777,39.352,23.026,35.480,3.608,2.695,0.498,0.047,0.032,27.366,11.781,9.041,1.527,1.649,5.548,0.375,211.840
78,18.540,387.831,401.941,170.118,42.174,24.678,38.026,3.867,2.888,0.534,0.051,0.034,29.329,12.627,9.689,1.636,1.767,6.360,0.402,227.878
79,18.877,402.016,425.091,181.459,44.999,26.332,40.575,4.126,3.082,0.570,0.054,0.037,31.295,13.473,10.339,1.746,1.885,7.295,0.429,238.854
80,19.215,378.093,442.440,192.800,47.827,27.987,43.125,4.386,3.275,0.605,0.057,0.039,33.262,14.320,10.989,1.856,2.004,8.377,0.456,243.874
81,19.552,376.460,453.570,204.141,50.658,29.644,45.678,4.646,3.469,0.641,0.061,0.041,35.231,15.167,11.640,1.966,2.122,9.630,0.483,242.492
82,19.890,374.761,458.574,215.483,53.490,31.302,48.232,4.906,3.663,0.677,0.064,0.044,37.201,16.016,12.291,2.075,2.241,11.087,0.510,234.774
83,20.227,405.317,458.063,226.824,56.324,32.960,50.788,5.166,3.858,0.713,0.068,0.046,39.172,16.864,12.943,2.185,2.360,12.783,0.537,221.295
84,20.565,406.136,453.085,238.165,59.159,34.620,53.345,5.426,4.052,0.749,0.071,0.048,41.144,17.713,13.595,2.295,2.479,14.761,0.564,203.062
85,20.902,360.432,444.998,249.506,61.995,36.279,55.902,5.686,4.246,0.785,0.074,0.051,43.117,18.562,14.247,2.406,2.597,17.073,0.591,181.386
86,21.240,414.732,435.318,260.847,64.831,37.939,58.459,5.947,4.440,0.821,0.078,0.053,45.089,19.411,14.900,2.516,2.716,19.778,0.618,157.723
87,21.578,409.253,425.552,272.188,67.666,39.598,61.016,6.207,4.634,0.856,0.081,0.055,47.061,20.260,15.552,2.626,2.835,22.945,0.645,133.512
88,21.915,429.401,417.052,283.530,70.500,41.257,63.572,6.468,4.828,0.892,0.085,0.058,49.032,21.109,16.205,2.736,2.954,26.660,0.672,110.024
89,22.253,433.553,410.929,294.871,73.334,42.915,66.127,6.728,5.023,0.928,0.088,0.060,51.003,21.957,16.858,2.846,3.073,31.019,0.699,88.270
90,22.590,408.403,407.995,306.212,76.167,44.573,68.682,6.989,5.217,0.964,0.091,0.062,52.973,22.806,17.510,2.955,3.191,36.139,0.726,68.948
91,22.928,490.184,408.769,317.553,78.999,46.230,71.236,7.249,5.411,1.000,0.095,0.064,54.943,23.654,18.163,3.065,3.310,42.156,0.753,52.439
92,23.266,433.816,413.508,328.894,81.831,47.888,73.789,7.510,5.605,1.036,0.098,0.067,56.913,24.502,18.816,3.175,3.429,49.232,0.780,38.837
93,23.604,455.223,422.271,340.236,84.663,49.545,76.343,7.771,5.798,1.072,0.102,0.069,58.882,25.350,19.470,3.285,3.547,57.556,0.807,28.011
94,23.941,534.964,435.003,351.577,87.495,51.202,78.897,8.032,5.992,1.107,0.105,0.071,60.852,26.198,20.124,3.395,3.666,67.352,0.834,19.678
95,24.279,524.113,451.598,362.918,90.328,52.860,81.451,8.293,6.186,1.143,0.108,0.074,62.822,27.046,20.779,3.505,3.785,78.887,0.861,13.467
96,24.617,555.780,472.015,374.259,93.163,54.519,84.007,8.555,6.381,1.179,0.112,0.076,64.794,27.895,21.435,3.615,3.903,92.470,0.888,9.023
97,24.955,605.222,496.226,385.600,95.999,56.179,86.565,8.817,6.575,1.215,0.115,0.078,66.766,28.744,22.092,3.725,4.022,108.472,0.916,5.945
98,25.293,592.334,524.314,396.941,98.838,57.840,89.125,9.079,6.769,1.251,0.119,0.081,68.741,29.594,22.750,3.835,4.141,127.326,0.943,3.882
99,25.630,638.259,556.257,408.283,101.680,59.503,91.688,9.343,6.964,1.287,0.122,0.083,70.717,30.445,23.411,3.945,4.260,149.320,0.970,2.518
100,25.968,583.187,590.810,419.624,104.527,61.169,94.254,9.607,7.159,1.323,0.125,0.085,72.697,31.297,24.074,4.056,4.379,173.431,0.997,1.629
101,26.306,725.704,626.212,430.965,107.378,62.837,96.825,9.872,7.354,1.359,0.129,0.088,74.680,32.151,24.739,4.166,4.499,198.057,1.024,1.054
102,26.644,727.591,661.501,442.306,110.234,64.508,99.400,10.138,7.550,1.395,0.132,0.090,76.666,33.006,25.407,4.277,4.619,222.345,1.051,0.682
103,26.982,721.219,695.699,453.647,113.095,66.183,101.980,10.405,7.746,1.431,0.136,0.092,78.656,33.862,26.078,4.388,4.738,245.387,1.079,0.441
104,27.320,780.442,727.853,464.989,115.962,67.861,104.566,10.673,7.942,1.468,0.139,0.095,80.650,34.721,26.753,4.500,4.859,266.274,1.106,0.285
105,27.658,729.442,757.100,476.330,118.834,69.542,107.156,10.943,8.139,1.504,0.143,0.097,82.648,35.581,27.431,4.611,4.979,284.174,1.133,0.185
106,27.996,828.959,782.743,487.671,121.712,71.225,109.750,11.214,8.336,1.540,0.146,0.099,84.649,36.443,28.114,4.723,5.099,298.410,1.161,0.119
107,28.334,808.257,804.316,499.012,124.594,72.912,112.349,11.486,8.533,1.577,0.150,0.102,86.654,37.306,28.801,4.834,5.220,308.530,1.188,0.077
108,28.672,771.439,821.632,510.353,127.481,74.601,114.952,11.761,8.731,1.613,0.153,0.104,88.661,38.170,29.493,4.946,5.341,314.356,1.216,0.050
109,29.010,808.996,834.818,521.695,130.371,76.293,117.559,12.036,8.929,1.650,0.157,0.107,90.671,39.035,30.190,5.059,5.462,316.022,1.243,0.032
110,29.348,815.809,844.311,533.036,133.265,77.986,120.167,12.314,9.127,1.687,0.160,0.109,92.684,39.901,30.893,5.171,5.583,313.970,1.271,0.021
111,29.686,811.810,850.713,544.377,136.160,79.680,122.778,12.594,9.325,1.723,0.163,0.111,94.697,40.768,31.603,5.283,5.705,308.807,1.299,0.014
112,30.024,853.698,854.017,555.718,139.057,81.375,125.390,12.876,9.524,1.760,0.167,0.114,96.712,41.636,32.320,5.396,5.826,300.527,1.326,0.009
113,30.363,849.737,854.712,567.059,141.955,83.071,128.003,13.161,9.722,1.797,0.170,0.116,98.727,42.503,33.046,5.508,5.948,289.623,1.354,0.006
114,30.701,847.663,853.441,578.400,144.853,84.767,130.617,13.448,9.921,1.833,0.174,0.118,100.743,43.371,33.782,5.621,6.069,276.738,1.381,0.004
115,31.039,839.886,850.815,589.742,147.751,86.463,133.230,13.739,10.119,1.870,0.177,0.121,102.758,44.239,34.528,5.733,6.190,262.484,1.409,0.002
116,31.377,800.513,847.372,601.083,150.648,88.158,135.842,14.033,10.318,1.907,0.181,0.123,104.773,45.106,35.287,5.845,6.312,247.398,1.437,0.002
117,31.715,867.737,843.538,612.424,153.544,89.853,138.453,14.332,10.516,1.943,0.184,0.126,106.787,45.973,36.055,5.958,6.433,231.912,1.464,0.001
118,32.054,777.624,839.629,623.765,156.439,91.547,141.063,14.635,10.714,1.980,0.188,0.128,108.800,46.840,36.833,6.070,6.554,216.342,1.492,0.001
119,32.392,811.661,835.847,635.106,159.333,93.240,143.672,14.943,10.912,2.017,0.191,0.130,110.812,47.706,37.617,6.182,6.676,200.892,1.520,0.000
120,32.730,802.552,832.299,646.448,162.224,94.932,146.279,15.258,11.110,2.053,0.195,0.133,112.823,48.572,38.402,6.295,6.797,185.676,1.547,0.000
121,33.069,839.033,829.030,657.789,165.114,96.623,148.885,15.580,11.308,2.090,0.198,0.135,114.833,49.437,39.182,6.407,6.918,170.742,1.575,0.000
122,33.407,762.069,826.053,669.130,168.002,98.313,151.489,15.911,11.506,2.126,0.202,0.138,116.841,50.302,39.954,6.519,7.039,156.108,1.602,0.000
123,33.745,783.293,823.372,680.471,170.888,100.001,154.091,16.251,11.704,2.163,0.205,0.140,118.848,51.166,40.714,6.631,7.160,141.779,1.630,0.000
124,34.084,847.735,821.005,691.812,173.772,101.689,156.691,16.601,11.901,2.199,0.209,0.142,120.853,52.029,41.458,6.743,7.281,127.778,1.657,0.000
125,34.422,739.550,819.000,703.154,176.653,103.375,159.288,16.965,12.098,2.236,0.212,0.145,122.857,52.892,42.183,6.854,7.401,114.153,1.685,0.000
126,34.760,743.735,817.433,714.495,179.532,105.059,161.884,17.343,12.296,2.272,0.216,0.147,124.859,53.754,42.887,6.966,7.522,100.982,1.712,0.000
127,35.099,753.773,807.280,716.636,180.097,105.390,162.393,17.525,12.334,2.279,0.216,0.148,125.294,53.922,43.036,6.988,7.545,88.390,1.718,0.000
128,35.437,759.995,797.803,718.777,180.659,105.719,162.899,17.727,12.373,2.286,0.217,0.148,125.689,54.091,43.162,7.010,7.569,76.529,1.723,0.000
129,35.776,733.442,789.104,720.918,181.219,106.045,163.403,17.951,12.411,2.294,0.218,0.149,126.082,54.258,43.264,7.031,7.592,65.457,1.728,0.000
130,36.114,742.480,781.262,723.059,181.775,106.371,163.904,18.200,12.449,2.301,0.218,0.150,126.474,54.424,43.345,7.053,7.616,55.248,1.733,0.000
131,36.453,789.666,774.441,725.200,182.329,106.696,164.412,18.476,12.487,2.308,0.219,0.150,126.938,54.590,43.406,7.074,7.639,45.977,1.739,0.000
132,36.791,764.591,768.530,727.341,182.882,107.018,164.909,18.764,12.525,2.315,0.220,0.151,127.335,54.755,43.451,7.096,7.662,37.702,1.744,0.000
133,37.130,753.666,763.626,729.482,183.432,107.340,165.405,19.053,12.562,2.321,0.220,0.152,127.731,54.919,43.485,7.117,7.685,30.451,1.749,0.000
134,37.468,752.595,759.721,731.623,183.980,107.660,165.900,19.337,12.600,2.328,0.221,0.152,128.128,55.083,43.510,7.138,7.708,24.218,1.754,0.000
135,37.807,718.222,756.788,733.764,184.528,107.980,166.408,19.610,12.637,2.335,0.222,0.153,128.526,55.247,43.530,7.159,7.731,18.960,1.760,0.000
136,38.146,763.149,754.728,735.905,185.074,108.299,166.901,19.864,12.674,2.342,0.222,0.154,128.925,55.410,43.551,7.181,7.754,14.610,1.765,0.000
137,38.484,759.708,753.463,738.046,185.619,108.617,167.394,20.092,12.712,2.349,0.223,0.154,129.324,55.572,43.576,7.202,7.776,11.079,1.770,0.000
138,38.823,719.117,752.892,740.187,186.164,108.935,167.887,20.288,12.749,2.356,0.223,0.155,129.726,55.735,43.607,7.223,7.799,8.268,1.775,0.000
139,39.162,808.226,752.907,742.329,186.708,109.252,168.379,20.446,12.786,2.363,0.224,0.156,130.129,55.897,43.648,7.244,7.822,6.071,1.780,0.000
140,39.500,773.747,753.405,744.470,187.252,109.570,168.871,20.562,12.823,2.370,0.225,0.157,130.534,56.059,43.701,7.265,7.844,4.386,1.786,0.000
141,39.839,810.562,754.312,746.611,187.795,109.886,169.362,20.633,12.860,2.377,0.225,0.158,130.942,56.221,43.766,7.286,7.867,3.139,1.791,0.000
142,40.178,722.193,755.543,748.752,188.339,110.203,169.854,20.658,12.897,2.383,0.226,0.158,131.354,56.383,43.845,7.307,7.890,2.247,1.796,0.000
143,40.517,718.861,757.002,750.893,188.883,110.520,170.347,20.639,12.934,2.390,0.227,0.159,131.768,56.545,43.938,7.328,7.912,1.608,1.801,0.000
144,40.855,841.936,758.618,753.034,189.427,110.837,170.839,20.577,12.971,2.397,0.227,0.160,132.186,56.706,44.045,7.349,7.935,1.151,1.806,0.000
145,41.194,808.159,760.345,755.175,189.972,111.153,171.333,20.478,13.008,2.404,0.228,0.162,132.609,56.868,44.167,7.370,7.958,0.824,1.811,0.000
146,41.533,759.197,762.152,757.316,190.517,111.470,171.826,20.345,13.045,2.411,0.229,0.163,133.036,57.030,44.302,7.391,7.980,0.590,1.816,0.000
147,41.872,791.678,764.019,759.457,191.062,111.787,172.320,20.187,13.082,2.418,0.229,0.164,133.468,57.191,44.450,7.411,8.003,0.422,1.822,0.000
148,42.211,828.312,765.935,761.598,191.608,112.103,172.815,20.009,13.119,2.424,0.230,0.165,133.906,57.353,44.612,7.432,8.025,0.302,1.827,0.000
149,42.549,817.608,767.893,763.739,192.155,112.420,173.311,19.820,13.156,2.431,0.231,0.167,134.350,57.514,44.786,7.453,8.048,0.216,1.832,0.000
150,42.888,854.573,769.893,765.880,192.702,112.737,173.807,19.626,13.193,2.439,0.231,0.168,134.801,57.676,44.972,7.474,8.071,0.155,1.837,0.000
151,43.227,856.724,771.934,768.021,193.251,113.054,174.305,19.434,13.230,2.446,0.232,0.170,135.259,57.838,45.171,7.495,8.093,0.111,1.842,0.000
152,43.566,893.689,774.019,770.162,193.800,113.372,174.803,19.249,13.267,2.453,0.233,0.172,135.726,57.999,45.384,7.516,8.116,0.079,1.847,0.000
153,43.905,879.428,776.192,772.303,194.351,113.689,175.303,19.076,13.304,2.460,0.233,0.174,136.245,58.161,45.609,7.537,8.139,0.057,1.852,0.000
154,44.244,874.244,778.374,774.445,194.902,114.006,175.804,18.920,13.341,2.467,0.234,0.176,136.735,58.322,45.846,7.558,8.161,0.041,1.858,0.000
155,44.583,927.208,780.607,776.586,195.456,114.324,176.306,18.782,13.378,2.474,0.235,0.178,137.236,58.484,46.098,7.579,8.184,0.029,1.863,0.000
156,44.922,859.656,782.901,778.727,196.011,114.641,176.817,18.664,13.415,2.481,0.235,0.181,137.750,58.645,46.362,7.600,8.206,0.021,1.868,0.000
157,45.261,798.472,785.243,780.868,196.567,114.959,177.323,18.566,13.452,2.488,0.236,0.183,138.278,58.807,46.641,7.621,8.229,0.015,1.873,0.000
158,45.600,870.955,787.641,783.009,197.126,115.278,177.831,18.489,13.489,2.495,0.236,0.186,138.822,58.969,46.934,7.642,8.252,0.011,1.878,0.000
159,45.939,836.326,790.097,785.150,197.687,115.596,178.342,18.431,13.527,2.502,0.237,0.190,139.382,59.130,47.243,7.663,8.274,0.008,1.883,0.000
160,46.278,770.441,792.612,787.291,198.251,115.915,178.854,18.391,13.564,2.509,0.238,0.193,139.961,59.292,47.567,7.684,8.297,0.005,1.889,0.000
161,46.617,804.665,795.207,789.432,198.820,116.234,179.372,18.367,13.601,2.517,0.238,0.197,140.560,59.469,47.908,7.705,8.319,0.004,1.894,0.000
162,46.957,748.297,797.846,791.573,199.390,116.554,179.891,18.357,13.638,2.524,0.239,0.201,141.181,59.632,48.267,7.726,8.342,0.003,1.899,0.000
163,47.296,764.740,800.551,793.714,199.964,116.874,180.413,18.359,13.675,2.531,0.240,0.206,141.828,59.795,48.647,7.747,8.365,0.002,1.904,0.000
164,47.635,771.336,803.325,795.855,200.542,117.194,180.938,18.372,13.712,2.538,0.240,0.211,142.501,59.959,49.048,7.768,8.387,0.001,1.909,0.000
165,47.974,711.412,806.171,797.996,201.125,117.515,181.467,18.394,13.749,2.545,0.241,0.217,143.205,60.122,49.474,7.789,8.410,0.001,1.914,0.000
166,48.313,789.080,809.096,800.137,201.712,117.837,182.001,18.423,13.787,2.553,0.242,0.224,143.941,60.286,49.926,7.810,8.433,0.001,1.919,0.000
