ch,keV,net,model,continuum_raw,Tl-208,Ac-228,Ra-224,Pb-212,Bi-212,Th-228,Rn-220,Xray-Pb,Xray-Th,Xray-Ba
57,11.459,23.373,32.554,0.000,0.000,32.522,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.029
58,11.796,50.412,32.556,0.000,0.000,32.517,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.034
59,12.133,84.230,32.638,0.000,0.000,32.593,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.040
60,12.470,132.234,32.720,0.000,0.000,32.667,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.047
61,12.807,160.759,32.739,0.000,0.000,32.677,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.056
62,13.144,207.691,32.708,0.000,0.000,32.635,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.065
63,13.481,240.807,32.665,0.000,0.000,32.579,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.077
64,13.818,297.330,46.445,13.776,4.038,34.658,2.443,1.869,0.258,0.243,0.090,2.121,0.593,0.132
65,14.155,288.630,60.272,27.552,8.077,36.780,4.886,3.739,0.507,0.486,0.179,4.242,1.186,0.189
66,14.492,317.745,74.061,41.328,12.116,38.861,7.330,5.608,0.756,0.729,0.269,6.364,1.779,0.248
67,14.830,363.376,87.787,55.104,16.155,40.875,9.774,7.478,1.006,0.972,0.358,8.485,2.372,0.312
68,15.167,315.749,101.465,68.880,20.195,42.834,12.218,9.348,1.256,1.215,0.448,10.607,2.966,0.379
69,15.504,384.897,115.132,82.656,24.235,44.777,14.662,11.218,1.507,1.458,0.537,12.729,3.559,0.450
70,15.841,329.122,128.823,96.432,28.275,46.736,17.106,13.088,1.759,1.701,0.627,14.851,4.152,0.528
71,16.178,363.898,142.494,110.208,32.315,48.668,19.550,14.958,2.011,1.945,0.716,16.973,4.746,0.611
72,16.516,378.716,156.083,123.984,36.356,50.508,21.995,16.829,2.264,2.188,0.806,19.096,5.339,0.702
73,16.853,372.714,169.590,137.760,40.397,52.255,24.440,18.699,2.519,2.431,0.896,21.218,5.932,0.802
74,17.190,376.682,183.020,151.536,44.439,53.913,26.885,20.570,2.775,2.674,0.985,23.341,6.526,0.913
75,17.528,360.754,196.406,165.312,48.480,55.511,29.330,22.441,3.033,2.917,1.075,25.464,7.119,1.036
76,17.865,394.052,209.736,179.088,52.522,57.037,31.775,24.312,3.292,3.161,1.164,27.587,7.713,1.173
77,18.202,395.830,222.941,192.864,56.564,58.418,34.221,26.183,3.554,3.404,1.254,29.710,8.307,1.327
78,18.540,387.831,235.978,206.640,60.607,59.610,36.666,28.054,3.819,3.647,1.344,31.833,8.900,1.499
79,18.877,402.016,248.838,220.416,64.649,60.597,39.112,29.925,4.086,3.890,1.433,33.956,9.494,1.694
80,19.215,378.093,261.512,234.192,68.692,61.369,41.558,31.797,4.358,4.134,1.523,36.080,10.088,1.914
81,19.552,376.460,274.002,247.968,72.735,61.923,44.004,33.668,4.634,4.377,1.613,38.203,10.681,2.164
82,19.890,374.761,286.327,261.743,76.779,62.271,46.450,35.540,4.915,4.620,1.702,40.327,11.275,2.449
83,20.227,405.317,298.524,275.519,80.822,62.445,48.896,37.411,5.202,4.863,1.792,42.451,11.869,2.773
84,20.565,406.136,310.642,289.295,84.865,62.485,51.342,39.283,5.497,5.107,1.881,44.574,12.463,3.144
85,20.902,360.432,322.744,303.071,88.909,62.447,53.788,41.155,5.801,5.350,1.971,46.698,13.056,3.569
86,21.240,414.732,334.903,316.847,92.952,62.390,56.235,43.026,6.114,5.593,2.061,48.822,13.650,4.059
87,21.578,409.253,347.189,330.623,96.996,62.374,58.681,44.898,6.440,5.837,2.150,50.946,14.244,4.623
88,21.915,429.401,359.667,344.399,101.039,62.450,61.127,46.769,6.781,6.080,2.240,53.069,14.838,5.273
89,22.253,433.553,372.404,358.175,105.082,62.670,63.573,48.641,7.138,6.323,2.330,55.193,15.432,6.022
90,22.590,408.403,385.459,371.951,109.126,63.071,66.020,50.513,7.516,6.567,2.419,57.318,16.025,6.885
91,22.928,490.184,398.883,385.727,113.170,63.681,68.466,52.384,7.917,6.810,2.509,59.443,16.619,7.883
92,23.266,433.816,412.712,399.503,117.214,64.512,70.912,54.256,8.347,7.053,2.599,61.567,17.213,9.039
93,23.604,455.223,426.973,413.279,121.258,65.565,73.358,56.128,8.803,7.297,2.688,63.692,17.807,10.377
94,23.941,534.964,441.669,427.055,125.302,66.823,75.805,58.000,9.280,7.540,2.778,65.817,18.401,11.923
95,24.279,524.113,456.806,440.831,129.346,68.262,78.252,59.872,9.775,7.783,2.868,67.941,18.995,13.712
96,24.617,555.780,472.398,454.607,133.391,69.857,80.699,61.744,10.285,8.027,2.957,70.066,19.589,15.783
97,24.955,605.222,488.468,468.383,137.437,71.582,83.146,63.617,10.810,8.270,3.047,72.192,20.183,18.186
98,25.293,592.334,505.045,482.159,141.483,73.410,85.593,65.490,11.346,8.514,3.137,74.318,20.777,20.978
99,25.630,638.259,522.153,495.935,145.529,75.321,88.041,67.363,11.888,8.757,3.226,76.444,21.371,24.214
100,25.968,583.187,539.836,509.711,149.577,77.294,90.489,69.236,12.426,9.001,3.316,78.571,21.965,27.962
101,26.306,725.704,558.157,523.487,153.625,79.311,92.938,71.110,12.958,9.244,3.406,80.699,22.560,32.306
102,26.644,727.591,577.201,537.263,157.675,81.356,95.388,72.985,13.483,9.488,3.496,82.827,23.154,37.349
103,26.982,721.219,597.081,551.039,161.726,83.421,97.839,74.860,14.003,9.732,3.585,84.956,23.749,43.211
104,27.320,780.442,617.731,564.815,165.779,85.499,100.290,76.736,14.516,9.975,3.675,87.086,24.344,49.831
105,27.658,729.442,638.798,578.591,169.834,87.587,102.743,78.612,15.014,10.219,3.765,89.218,24.939,56.867
106,27.996,828.959,660.000,592.367,173.891,89.683,105.197,80.490,15.492,10.463,3.855,91.351,25.535,64.043
107,28.334,808.257,681.148,606.143,177.950,91.786,107.652,82.369,15.949,10.708,3.945,93.485,26.131,71.174
108,28.672,771.439,702.052,619.919,182.011,93.894,110.108,84.248,16.389,10.952,4.035,95.620,26.727,78.068
109,29.010,808.996,722.533,633.695,186.074,96.008,112.566,86.129,16.814,11.196,4.125,97.757,27.324,84.540
110,29.348,815.809,742.335,647.471,190.141,98.127,115.025,88.011,17.219,11.441,4.215,99.897,27.921,90.338
111,29.686,811.810,761.207,661.247,194.210,100.252,117.486,89.895,17.600,11.686,4.305,102.038,28.518,95.218
112,30.024,853.698,778.988,675.023,198.281,102.382,119.947,91.779,17.956,11.931,4.396,104.180,29.115,99.022
113,30.363,849.737,795.601,688.799,202.354,104.519,122.411,93.664,18.287,12.176,4.486,106.325,29.713,101.667
114,30.701,847.663,811.031,702.575,206.429,106.663,124.875,95.550,18.597,12.421,4.576,108.471,30.311,103.139
115,31.039,839.886,825.314,716.351,210.506,108.813,127.340,97.437,18.889,12.666,4.666,110.617,30.909,103.471
116,31.377,800.513,838.423,730.127,214.584,110.972,129.805,99.324,19.159,12.911,4.757,112.765,31.508,102.638
117,31.715,867.737,850.408,743.903,218.663,113.140,132.272,101.212,19.408,13.156,4.847,114.915,32.106,100.689
118,32.054,777.624,861.402,757.679,222.744,115.318,134.738,103.100,19.639,13.402,4.937,117.068,32.705,97.750
119,32.392,811.661,871.561,771.455,226.826,117.506,137.205,104.989,19.857,13.647,5.028,119.221,33.304,93.978
120,32.730,802.552,881.067,785.230,230.908,119.707,139.672,106.878,20.067,13.892,5.118,121.375,33.902,89.547
121,33.069,839.033,890.087,799.006,234.990,121.922,142.139,108.766,20.274,14.138,5.209,123.530,34.501,84.618
122,33.407,762.069,898.770,812.782,239.073,124.154,144.606,110.656,20.475,14.383,5.299,125.694,35.100,79.331
123,33.745,783.293,907.240,826.558,243.156,126.403,147.073,112.545,20.674,14.629,5.389,127.853,35.699,73.821
124,34.084,847.735,915.630,840.334,247.239,128.672,149.539,114.433,20.875,14.874,5.480,130.014,36.297,68.209
125,34.422,739.550,924.052,854.110,251.322,130.965,152.004,116.322,21.083,15.119,5.570,132.178,36.895,62.594
126,34.760,743.735,932.637,867.886,255.406,133.285,154.470,118.212,21.302,15.364,5.660,134.386,37.494,57.058
127,35.099,753.773,923.463,863.759,254.222,132.923,153.748,117.662,21.212,15.293,5.634,133.792,37.319,51.657
128,35.437,759.995,914.525,859.632,253.039,132.596,153.026,117.113,21.127,15.221,5.607,133.201,37.143,46.452
129,35.776,733.442,905.874,855.505,251.855,132.308,152.303,116.563,21.046,15.149,5.581,132.621,36.967,41.481
130,36.114,742.480,897.593,851.378,250.673,132.065,151.579,116.017,20.971,15.077,5.554,132.093,36.792,36.772
131,36.453,789.666,889.605,847.251,249.490,131.874,150.855,115.468,20.900,15.005,5.527,131.521,36.615,32.350
132,36.791,764.591,881.995,843.124,248.308,131.740,150.130,114.918,20.835,14.933,5.501,130.954,36.439,28.238
133,37.130,753.666,874.792,838.997,247.127,131.675,149.404,114.369,20.768,14.861,5.474,130.395,36.263,24.457
134,37.468,752.595,868.005,834.869,245.949,131.685,148.679,113.821,20.696,14.788,5.447,129.844,36.087,21.010
135,37.807,718.222,861.632,830.742,244.772,131.783,147.953,113.273,20.617,14.716,5.421,129.300,35.910,17.887
136,38.146,763.149,855.682,826.615,243.597,131.980,147.227,112.726,20.529,14.644,5.394,128.767,35.733,15.084
137,38.484,759.708,850.168,822.488,242.426,132.291,146.501,112.182,20.434,14.572,5.367,128.245,35.557,12.593
138,38.823,719.117,845.083,818.361,241.259,132.715,145.775,111.642,20.330,14.500,5.341,127.737,35.380,10.405
139,39.162,808.226,840.374,814.234,240.096,133.222,145.049,111.099,20.213,14.428,5.314,127.241,35.203,8.509
140,39.500,773.747,836.029,810.107,238.938,133.805,144.324,110.558,20.084,14.355,5.287,126.762,35.027,6.889
141,39.839,810.562,832.022,805.980,237.786,134.460,143.600,110.018,19.943,14.283,5.260,126.301,34.850,5.520
142,40.178,722.193,828.330,801.853,236.641,135.184,142.876,109.481,19.793,14.211,5.233,125.860,34.674,4.377
143,40.517,718.861,824.927,797.725,235.503,135.973,142.153,108.947,19.635,14.139,5.207,125.441,34.497,3.432
144,40.855,841.936,821.763,793.598,234.373,136.797,141.430,108.415,19.471,14.068,5.180,125.046,34.321,2.662
145,41.194,808.159,818.784,789.471,233.252,137.622,140.709,107.887,19.300,13.996,5.153,124.680,34.145,2.042
146,41.533,759.197,815.968,785.344,232.143,138.432,139.989,107.362,19.125,13.925,5.126,124.344,33.969,1.553
147,41.872,791.678,813.286,781.217,231.045,139.216,139.271,106.841,18.948,13.853,5.100,124.044,33.793,1.174
148,42.211,828.312,810.712,777.090,229.960,139.965,138.554,106.324,18.773,13.782,5.073,123.781,33.618,0.882
149,42.549,817.608,808.231,772.963,228.890,140.671,137.838,105.813,18.601,13.711,5.046,123.562,33.442,0.658
150,42.888,854.573,805.809,768.836,227.836,141.298,137.125,105.307,18.432,13.643,5.019,123.395,33.267,0.487
151,43.227,856.724,803.416,764.708,226.801,141.830,136.414,104.807,18.266,13.575,4.993,123.281,33.092,0.357
152,43.566,893.689,801.046,760.581,225.787,142.262,135.705,104.314,18.106,13.505,4.966,123.224,32.918,0.260
153,43.905,879.428,798.711,756.454,224.795,142.598,134.997,103.828,17.952,13.435,4.939,123.234,32.743,0.189
154,44.244,874.244,796.451,752.327,223.829,142.843,134.293,103.351,17.806,13.366,4.912,123.344,32.569,0.137
155,44.583,927.208,794.236,748.200,222.892,142.997,133.591,102.884,17.669,13.297,4.886,123.526,32.396,0.099
156,44.922,859.656,792.060,744.073,221.987,143.044,132.893,102.426,17.537,13.228,4.859,123.791,32.222,0.072
157,45.261,798.472,789.952,739.946,221.118,142.991,132.197,101.980,17.412,13.160,4.832,124.161,32.049,0.052
158,45.600,870.955,787.949,735.819,220.289,142.850,131.507,101.550,17.292,13.092,4.806,124.647,31.878,0.038
159,45.939,836.326,786.074,731.692,219.505,142.636,130.820,101.133,17.180,13.024,4.779,125.264,31.706,0.028
160,46.278,770.441,784.368,727.564,218.771,142.364,130.138,100.731,17.075,12.957,4.752,126.026,31.535,0.020
161,46.617,804.665,782.856,723.437,218.092,142.037,129.461,100.346,16.975,12.891,4.726,126.950,31.364,0.015
162,46.957,748.297,781.562,719.310,217.477,141.651,128.790,99.982,16.879,12.825,4.699,128.055,31.193,0.011
163,47.296,764.740,780.541,715.183,216.932,141.220,128.126,99.642,16.786,12.760,4.673,129.363,31.032,0.008
164,47.635,771.336,779.820,711.056,216.466,140.756,127.469,99.325,16.697,12.696,4.646,130.896,30.864,0.006
165,47.974,711.412,779.462,706.929,216.087,140.274,126.820,99.035,16.611,12.632,4.619,132.683,30.697,0.004
166,48.313,789.080,779.524,702.802,215.807,139.784,126.180,98.776,16.530,12.570,4.593,134.751,30.531,0.003
167,48.652,709.564,780.054,698.675,215.637,139.281,125.551,98.553,16.451,12.508,4.566,137.135,30.369,0.002
168,48.992,766.009,781.091,694.548,215.590,138.764,124.931,98.367,16.374,12.448,4.540,139.871,30.205,0.002
169,49.331,709.825,782.713,690.420,215.681,138.241,124.324,98.223,16.297,12.389,4.513,143.000,30.043,0.001
170,49.670,668.827,785.000,686.293,215.926,137.723,123.731,98.128,16.222,12.331,4.487,146.568,29.884,0.001
171,50.010,701.683,788.046,682.166,216.342,137.221,123.155,98.086,16.149,12.275,4.460,150.620,29.738,0.001
172,50.349,717.722,791.800,678.039,216.921,136.733,122.593,98.102,16.079,12.221,4.434,155.135,29.582,0.000
173,50.688,726.982,796.156,673.912,217.637,136.251,122.050,98.185,16.008,12.168,4.407,160.021,29.428,0.000
174,51.028,722.429,801.090,669.785,218.480,135.774,121.528,98.341,15.938,12.118,4.381,165.253,29.276,0.000
175,51.367,752.801,806.609,665.658,219.451,135.308,121.030,98.580,15.869,12.070,4.355,170.820,29.127,0.000
176,51.706,765.509,812.720,661.531,220.548,134.860,120.556,98.910,15.800,12.024,4.328,176.713,28.981,0.000
177,52.046,747.583,819.408,657.404,221.762,134.436,120.111,99.337,15.734,11.981,4.302,182.907,28.837,0.000
178,52.385,754.809,826.544,653.276,223.064,134.029,119.697,99.855,15.668,11.941,4.276,189.318,28.697,0.000
179,52.725,742.701,833.973,649.149,224.412,133.630,119.317,100.451,15.602,11.904,4.250,195.845,28.561,0.000
180,53.064,922.664,841.639,645.022,225.791,133.242,118.977,101.126,15.536,11.871,4.224,202.443,28.429,0.000
181,53.404,873.481,849.499,640.895,227.186,132.870,118.678,101.879,15.471,11.842,4.198,209.075,28.301,0.000
182,53.743,859.855,857.532,636.768,228.586,132.521,118.426,102.712,15.407,11.818,4.172,215.713,28.178,0.000
183,54.083,850.008,865.678,632.641,229.969,132.192,118.227,103.618,15.344,11.798,4.146,222.325,28.059,0.000
184,54.422,823.674,873.819,628.514,231.293,131.868,118.086,104.575,15.281,11.784,4.120,228.865,27.947,0.000
185,54.762,917.234,881.888,624.387,232.527,131.542,118.008,105.570,15.218,11.776,4.094,235.313,27.841,0.000
186,55.101,919.494,889.892,620.259,233.661,131.216,118.002,106.594,15.155,11.774,4.068,241.681,27.741,0.000
187,55.441,964.055,897.864,616.132,234.690,130.893,118.074,107.644,15.092,11.779,4.042,248.001,27.649,0.000
188,55.781,940.946,905.862,612.005,235.611,130.575,118.233,108.714,15.030,11.793,4.017,254.324,27.565,0.000
189,56.120,939.909,913.863,607.878,236.407,130.254,118.473,109.788,14.969,11.815,3.991,260.678,27.490,0.000
190,56.460,940.986,921.832,603.751,237.052,129.918,118.781,110.850,14.907,11.846,3.965,267.089,27.424,0.000
191,56.800,939.731,929.826,599.624,237.543,129.563,119.156,111.892,14.844,11.888,3.940,273.629,27.371,0.000
192,57.139,991.991,937.948,595.497,237.888,129.192,119.595,112.910,14.781,11.942,3.914,280.398,27.328,0.000
193,57.479,1039.879,946.336,591.370,238.098,128.809,120.100,113.906,14.719,12.009,3.889,287.509,27.298,0.000
194,57.819,1082.180,955.125,587.243,238.188,128.417,120.667,114.880,14.657,12.090,3.863,295.081,27.282,0.000
195,58.158,1111.884,964.336,583.115,238.148,128.003,121.280,115.822,14.595,12.186,3.838,303.184,27.281,0.000
196,58.498,1065.295,974.034,578.988,237.974,127.559,121.926,116.725,14.531,12.300,3.812,311.903,27.303,0.000
197,58.838,1067.522,984.348,574.861,237.681,127.087,122.596,117.592,14.467,12.433,3.787,321.366,27.340,0.000
198,59.178,1132.524,995.452,570.734,237.286,126.590,123.283,118.433,14.402,12.586,3.761,331.714,27.396,0.000
199,59.518,1104.120,1007.543,566.607,236.812,126.077,123.986,119.260,14.337,12.763,3.736,343.096,27.475,0.000
200,59.857,1191.230,1020.762,562.480,236.273,125.548,124.694,120.081,14.273,12.965,3.711,355.639,27.578,0.000
201,60.197,1151.307,1035.129,558.353,235.660,124.993,125.380,120.892,14.208,13.188,3.686,369.412,27.709,0.000
202,60.537,1087.385,1054.111,557.579,235.971,124.915,126.635,122.160,14.202,13.495,3.683,385.033,28.016,0.000
203,60.877,1213.644,1074.537,556.805,236.233,124.814,127.849,123.441,14.194,13.825,3.680,402.145,28.356,0.000
204,61.217,1155.425,1096.614,556.031,236.462,124.697,129.018,124.752,14.187,14.179,3.677,420.910,28.733,0.000
205,61.557,1230.988,1120.573,555.257,236.681,124.572,130.139,126.112,14.181,14.560,3.674,441.506,29.150,0.000
206,61.897,1298.095,1146.519,554.483,236.887,124.436,131.200,127.528,14.176,14.964,3.672,464.044,29.611,0.000
207,62.237,1273.954,1174.541,553.709,237.076,124.285,132.192,129.007,14.171,15.390,3.669,488.631,30.120,0.000
208,62.577,1295.544,1204.843,552.935,237.256,124.121,133.110,130.565,14.165,15.836,3.667,515.440,30.683,0.000
209,62.917,1262.288,1237.686,552.161,237.441,123.951,133.956,132.222,14.161,16.303,3.665,544.682,31.305,0.000
210,63.257,1277.438,1273.367,551.387,237.648,123.781,134.737,133.999,14.157,16.792,3.662,576.599,31.991,0.000
211,63.597,1329.255,1312.208,550.613,237.893,123.620,135.457,135.921,14.156,17.301,3.661,611.451,32.747,0.000
212,63.937,1304.069,1354.348,549.839,238.167,123.461,136.112,137.992,14.157,17.828,3.659,649.401,33.571,0.000
213,64.277,1308.334,1400.033,549.065,238.468,123.304,136.704,140.226,14.158,18.370,3.657,690.683,34.462,0.000
214,64.617,1359.189,1449.620,548.291,238.807,123.152,137.239,142.645,14.162,18.927,3.656,735.609,35.424,0.000
215,64.957,1438.334,1503.538,547.517,239.196,123.012,137.729,145.276,14.167,19.499,3.655,784.543,36.460,0.000
216,65.297,1391.340,1562.271,546.743,239.653,122.891,138.187,148.149,14.175,20.087,3.654,837.898,37.576,0.000
217,65.638,1539.453,1626.245,545.969,240.188,122.792,138.624,151.289,14.187,20.692,3.653,896.044,38.774,0.000
218,65.978,1623.600,1695.510,545.196,240.786,122.707,139.037,154.705,14.201,21.310,3.653,959.068,40.042,0.000
219,66.318,1533.270,1770.490,544.422,241.454,122.637,139.433,158.423,14.218,21.941,3.653,1027.350,41.381,0.000
220,66.658,1583.868,1851.727,543.648,242.204,122.586,139.827,162.477,14.237,22.588,3.653,1101.362,42.792,0.000
221,66.998,1592.456,1939.835,542.874,243.053,122.560,140.232,166.904,14.261,23.252,3.654,1181.644,44.277,0.000
222,67.339,1559.170,2035.462,542.100,244.016,122.564,140.661,171.745,14.288,23.938,3.655,1268.755,45.839,0.000
223,67.679,1653.057,2137.955,541.326,245.086,122.598,141.121,177.020,14.319,24.647,3.657,1362.035,47.472,0.000
224,68.019,1709.128,2245.304,540.552,246.224,122.653,141.609,182.727,14.351,25.378,3.659,1459.541,49.163,0.000
225,68.359,1844.984,2357.306,539.778,247.434,122.732,142.134,188.903,14.385,26.134,3.661,1561.013,50.909,0.000
226,68.700,1925.911,2473.793,539.004,248.722,122.840,142.707,195.589,14.420,26.920,3.664,1666.218,52.713,0.000
227,69.040,1894.253,2594.619,538.230,250.092,122.981,143.339,202.832,14.456,27.743,3.668,1774.933,54.575,0.000
228,69.380,2047.622,2719.245,537.456,251.545,123.159,144.039,210.658,14.493,28.608,3.672,1886.574,56.498,0.000
229,69.721,2095.439,2844.329,536.682,253.033,123.365,144.808,218.923,14.530,29.516,3.677,1998.011,58.468,0.000
230,70.061,2206.847,2966.929,535.908,254.517,123.595,145.644,227.511,14.566,30.471,3.682,2106.466,60.477,0.000
231,70.402,2296.328,3085.573,535.134,255.985,123.852,146.557,236.396,14.600,31.480,3.688,2210.489,62.527,0.000
232,70.742,2475.549,3198.793,534.360,257.426,124.139,147.555,245.552,14.634,32.549,3.695,2308.622,64.620,0.000
233,71.082,2545.594,3305.147,533.586,258.831,124.459,148.647,254.955,14.667,33.689,3.702,2399.435,66.762,0.000
234,71.423,2795.368,3403.211,532.812,260.183,124.812,149.837,264.569,14.698,34.906,3.710,2481.545,68.951,0.000
235,71.763,2886.039,3491.528,532.038,261.448,125.186,151.119,274.324,14.726,36.203,3.719,2553.632,71.171,0.000
