spectrum,peak_kev,fwhm_kev,label,line_kev,intensity_pct,verdict,rivals,rival_factor,real_rivals,real_factor,best_rival,best_rival_i,matcher_alts,matcher_factor,near_miss,near_factor
AS80_Cs137_0cm,130.554,44.700,Ac-228,129.065,2.42,ПОКАЗАНО,4,2688.889,2,11.789,Eu-152,28.53,0,1.000,1,10.471
AS80_Cs137_0cm,203.654,65.976,Lu-176,202.000,77.9688,ПОКАЗАНО,5,21.420,5,21.420,Ra-226,3.64,0,1.000,4,10.737
AS80_Cs137_0cm,446.914,113.146,Ag-108m,433.000,90.5,ПОКАЗАНО,2,47.135,2,47.135,Ac-228,1.92,0,1.000,6,11.142
AS80_Cs137_0cm,655.435,138.595,Cs-137,662.000,85.1,ПОКАЗАНО,4,48.117,4,48.117,I-131,1.7686,1,12.759,5,20.024
AS80_Cs137_0cm,904.298,201.788,Ac-228,911.000,25.8,ПОКАЗАНО,4,30.641,3,16.025,Ac-228,1.61,0,1.000,6,14.588
AS80_Cs137_0cm,1104.800,189.927,Eu-152,1111.000,13.67,ПОКАЗАНО,2,7.304,2,7.304,Co-60,99.85,0,1.000,3,2.739
AS80_Cs137_0cm,1456.909,246.035,K-40,1460.000,10.66,ПОКАЗАНО,1,2.675,1,2.675,Bi-214,3.985,2,9.379,3,9.379
AS80_Cs137_0cm,1793.108,268.260,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,1,4.748
AS80_Cs137_0cm,2224.638,492.140,Bi-214,2204.000,4.92,ПОКАЗАНО,1,3.184,1,3.184,Bi-214,1.545,0,1.000,2,7.287
AS80_Cs137_0cm,2618.201,386.216,Tl-208,2614.000,35.8516,ПОКАЗАНО,1,23.205,1,23.205,Bi-214,1.545,0,1.000,0,1.000
AS80_Lu176,200.486,57.325,Lu-176,202.000,77.9688,ПОКАЗАНО,5,21.420,5,21.420,Ra-226,3.64,0,1.000,4,10.737
AS80_Lu176,304.486,78.780,Lu-176,307.000,93.6,ПОКАЗАНО,6,58.500,6,58.500,Np-239,1.6,0,1.000,8,12.890
AS80_Lu176,598.126,99.481,Bi-214,609.000,45.44,ПОКАЗАНО,3,6.350,3,6.350,I-131,7.1557,1,1.873,2,5.594
AS80_Lu176,901.945,144.025,Ac-228,911.000,25.8,ПОКАЗАНО,3,16.025,3,16.025,Ac-228,1.61,0,1.000,4,6.071
AS80_Lu176,1108.092,191.194,Eu-152,1111.000,13.67,ПОКАЗАНО,2,7.304,2,7.304,Co-60,99.85,0,1.000,3,2.739
AS80_Lu176,1454.857,211.984,K-40,1460.000,10.66,ПОКАЗАНО,1,2.675,1,2.675,Bi-214,3.985,2,9.379,2,9.379
AS80_Lu176,1772.757,229.155,Bi-214,1764.000,15.29,ПОКАЗАНО,0,1.000,0,1.000,,,0,1.000,1,4.748
