ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Rn-220,Th-232,K-40,Xray-Pb,Xray-Th
92,24.044,433.816,505.423,449.721,198.324,95.714,105.861,21.021,6.257,3.116,1.438,67.571,6.121
93,24.377,455.223,520.525,470.574,199.020,100.157,110.775,22.149,6.547,3.260,1.504,70.707,6.405
94,24.711,534.964,536.063,491.849,199.829,104.689,115.788,23.331,6.844,3.408,1.573,73.907,6.695
95,25.044,524.113,551.650,512.995,200.730,109.195,120.771,24.550,7.138,3.555,1.640,77.088,6.983
96,25.378,555.780,566.724,533.316,201.632,113.524,125.559,25.781,7.421,3.696,1.705,80.145,7.260
97,25.712,605.222,581.038,552.445,202.528,117.599,130.066,27.019,7.687,3.828,1.766,83.022,7.521
98,26.045,592.334,594.556,570.239,203.470,121.390,134.259,28.265,7.935,3.952,1.823,85.699,7.763
99,26.379,638.259,607.399,586.738,204.536,124.905,138.146,29.535,8.165,4.066,1.876,88.181,7.988
100,26.712,583.187,619.715,602.051,205.793,128.168,141.755,30.840,8.378,4.173,1.925,90.486,8.196
101,27.046,725.704,631.338,616.017,207.201,131.143,145.045,32.162,8.573,4.270,1.970,92.587,8.387
102,27.380,727.591,642.122,628.525,208.701,133.808,147.992,33.481,8.747,4.357,2.010,94.469,8.557
103,27.713,721.219,652.255,639.823,210.317,136.215,150.655,34.802,8.904,4.435,2.046,96.169,8.711
104,28.047,780.442,662.036,650.278,212.103,138.443,153.119,36.138,9.050,4.508,2.080,97.743,8.853
105,28.381,729.442,671.865,660.360,214.143,140.591,155.495,37.506,9.190,4.578,2.112,99.260,8.991
106,28.714,828.959,681.944,670.345,216.459,142.719,157.848,38.908,9.329,4.648,2.144,100.763,9.127
107,29.048,808.257,692.124,680.169,218.973,144.812,160.163,40.315,9.466,4.716,2.175,102.243,9.261
108,29.382,771.439,702.376,689.870,221.648,146.880,162.450,41.710,9.601,4.784,2.206,103.704,9.393
109,29.715,808.996,712.896,699.700,224.517,148.975,164.767,43.098,9.738,4.853,2.238,105.185,9.527
110,30.049,815.809,723.933,709.955,227.627,151.161,167.184,44.491,9.881,4.924,2.270,106.729,9.667
111,30.383,811.810,735.769,720.944,231.044,153.503,169.774,45.905,10.034,5.001,2.306,108.385,9.816
112,30.717,853.698,748.162,732.464,234.682,155.959,172.490,47.317,10.195,5.082,2.343,110.122,9.973
113,31.051,849.737,760.482,743.932,238.339,158.404,175.194,48.670,10.354,5.162,2.379,111.850,10.130
114,31.384,847.663,772.482,755.118,241.932,160.789,177.831,49.946,10.510,5.240,2.415,113.536,10.282
115,31.718,839.886,784.099,765.959,245.436,163.101,180.388,51.141,10.661,5.319,2.450,115.173,10.430
116,32.052,800.513,795.304,776.430,248.839,165.335,182.859,52.258,10.807,5.397,2.483,116.754,10.573
117,32.386,867.737,806.024,786.461,252.117,167.475,185.225,53.298,10.947,5.468,2.515,118.269,10.709
118,32.720,777.624,815.838,795.641,255.137,169.434,187.392,54.232,11.075,5.534,2.545,119.656,10.834
119,33.054,811.661,824.242,803.478,257.742,171.108,189.242,55.021,11.184,5.591,2.570,120.842,10.941
120,33.388,802.552,831.121,809.856,259.897,172.472,190.750,55.662,11.273,5.637,2.590,121.812,11.028
121,33.722,839.033,836.492,814.786,261.605,173.527,191.917,56.160,11.342,5.675,2.606,122.564,11.096
122,34.056,762.069,840.482,818.386,262.906,174.300,192.771,56.531,11.392,5.703,2.618,123.117,11.145
123,34.390,783.293,843.135,820.689,263.812,174.797,193.319,56.782,11.424,5.722,2.625,123.475,11.177
124,34.724,847.735,844.255,821.499,264.265,174.977,193.517,56.901,11.436,5.732,2.628,123.612,11.188
125,35.058,739.550,843.769,820.743,264.241,174.823,193.346,56.883,11.426,5.731,2.625,123.515,11.178
126,35.392,743.735,841.874,818.604,263.804,174.376,192.850,56.749,11.396,5.721,2.619,123.210,11.149
127,35.726,753.773,841.087,817.580,263.756,174.166,192.617,56.621,11.382,5.720,2.615,123.075,11.135
128,36.060,759.995,839.524,815.757,263.489,173.787,192.196,56.436,11.357,5.713,2.610,122.825,11.111
129,36.394,733.442,837.343,813.284,263.056,173.271,191.624,56.207,11.323,5.703,2.602,122.481,11.077
130,36.728,742.480,834.478,810.097,262.442,172.603,190.882,55.931,11.279,5.689,2.592,122.027,11.034
131,37.062,789.666,831.046,806.293,261.683,171.804,189.997,55.621,11.226,5.671,2.580,121.483,10.982
132,37.396,764.591,827.300,802.069,260.851,170.918,189.014,55.297,11.167,5.651,2.566,120.911,10.925
133,37.730,753.666,823.445,797.643,260.023,169.989,187.985,54.983,11.106,5.631,2.552,120.311,10.865
134,38.064,752.595,819.666,793.206,259.268,169.059,186.953,54.699,11.044,5.612,2.538,119.688,10.805
135,38.399,718.222,815.995,788.752,258.596,168.126,185.918,54.443,10.983,5.595,2.524,119.067,10.745
136,38.733,763.149,812.346,784.144,257.975,167.163,184.853,54.194,10.919,5.577,2.509,118.474,10.682
137,39.067,759.708,808.684,779.390,257.420,166.170,183.756,53.951,10.853,5.561,2.494,117.862,10.618
138,39.401,719.117,805.031,774.530,256.959,165.156,182.630,53.718,10.785,5.546,2.478,117.206,10.552
139,39.736,808.226,801.509,769.625,256.629,164.135,181.496,53.500,10.717,5.532,2.463,116.552,10.486
140,40.070,773.747,798.137,764.672,256.449,163.106,180.354,53.293,10.649,5.521,2.447,115.900,10.419
141,40.404,810.562,794.748,759.500,256.385,162.033,179.162,53.076,10.577,5.511,2.430,115.224,10.349
142,40.738,722.193,791.184,753.937,256.408,160.880,177.880,52.829,10.500,5.501,2.413,114.501,10.273
143,41.073,718.861,787.417,747.928,256.528,159.634,176.495,52.544,10.416,5.492,2.394,113.723,10.192
144,41.407,841.936,783.423,741.404,256.756,158.283,175.002,52.215,10.326,5.482,2.373,112.881,10.104
145,41.741,808.159,779.188,734.331,257.116,156.819,173.381,51.841,10.228,5.473,2.350,111.972,10.008
146,42.076,759.197,774.700,726.702,257.602,155.241,171.627,51.416,10.122,5.465,2.326,110.996,9.905
147,42.410,791.678,769.925,718.538,258.165,153.554,169.751,50.935,10.008,5.459,2.300,109.958,9.794
148,42.745,828.312,764.892,709.897,258.793,151.771,167.768,50.397,9.889,5.455,2.272,108.870,9.677
149,43.079,817.608,759.677,700.858,259.501,149.909,165.696,49.809,9.763,5.455,2.243,107.745,9.555
150,43.413,854.573,754.354,691.495,260.304,147.985,163.554,49.181,9.633,5.460,2.214,106.596,9.428
151,43.748,856.724,749.013,681.898,261.217,146.019,161.363,48.521,9.500,5.472,2.183,105.441,9.298
152,44.082,893.689,743.717,672.180,262.219,144.036,159.150,47.838,9.365,5.492,2.152,104.299,9.167
153,44.417,879.428,738.510,662.472,263.260,142.064,156.949,47.133,9.230,5.523,2.121,103.195,9.035
154,44.751,874.244,733.496,652.917,264.337,140.135,154.792,46.419,9.098,5.566,2.091,102.152,8.906
155,45.086,927.208,728.807,643.665,265.463,138.283,152.717,45.711,8.970,5.624,2.061,101.198,8.781
156,45.420,859.656,724.579,634.860,266.658,136.538,150.757,45.023,8.847,5.700,2.033,100.359,8.663
157,45.755,798.472,720.919,626.613,267.932,134.928,148.941,44.367,8.733,5.796,2.007,99.663,8.552
158,46.089,870.955,717.861,619.024,269.249,133.473,147.294,43.749,8.628,5.912,1.983,99.123,8.450
159,46.424,836.326,715.435,612.185,270.570,132.196,145.838,43.169,8.533,6.049,1.961,98.761,8.358
160,46.759,770.441,713.718,606.168,271.901,131.113,144.592,42.637,8.450,6.209,1.942,98.595,8.278
161,47.093,804.665,712.816,601.029,273.257,130.241,143.573,42.161,8.379,6.393,1.925,98.677,8.210
162,47.428,748.297,712.749,596.810,274.662,129.589,142.790,41.746,8.321,6.602,1.912,98.972,8.154
163,47.763,764.740,713.548,593.518,276.120,129.161,142.248,41.397,8.276,6.838,1.902,99.494,8.111
164,48.097,771.336,715.179,591.127,277.589,128.957,141.943,41.105,8.244,7.100,1.894,100.266,8.081
165,48.432,711.412,717.620,589.600,279.050,128.971,141.876,40.867,8.223,7.388,1.890,101.293,8.063
166,48.767,789.080,720.857,588.890,280.509,129.197,142.028,40.681,8.214,7.702,1.888,102.582,8.056
167,49.101,709.564,724.898,588.939,281.985,129.627,142.392,40.545,8.216,8.044,1.888,104.141,8.060
168,49.436,766.009,729.758,589.688,283.501,130.254,142.959,40.461,8.227,8.415,1.891,105.977,8.073
169,49.771,709.825,735.430,591.078,285.056,131.070,143.722,40.423,8.248,8.816,1.895,108.102,8.098
170,50.106,668.827,741.833,593.029,286.609,132.064,144.663,40.421,8.276,9.245,1.902,110.525,8.129
171,50.440,701.683,748.944,595.462,288.154,133.226,145.767,40.448,8.311,9.704,1.910,113.257,8.167
172,50.775,717.722,756.771,598.304,289.705,134.547,147.027,40.502,8.352,10.195,1.919,116.315,8.210
173,51.110,726.982,765.337,601.489,291.280,136.023,148.431,40.581,8.397,10.719,1.930,119.717,8.259
174,51.445,722.429,774.682,604.960,292.900,137.651,149.976,40.683,8.447,11.282,1.941,123.490,8.312
175,51.780,752.801,784.805,608.673,294.548,139.431,151.656,40.804,8.500,11.882,1.953,127.662,8.369
176,52.114,765.509,795.712,612.590,296.197,141.366,153.471,40.937,8.556,12.521,1.966,132.269,8.429
177,52.449,747.583,807.447,616.662,297.853,143.459,155.421,41.080,8.614,13.201,1.979,137.348,8.492
178,52.784,754.809,820.091,620.851,299.534,145.717,157.508,41.231,8.674,13.927,1.993,142.945,8.562
179,53.119,742.701,833.716,625.128,301.251,148.149,159.735,41.391,8.735,14.704,2.007,149.112,8.630
180,53.454,922.664,848.378,629.471,303.019,150.757,162.112,41.561,8.797,15.537,2.022,155.874,8.699
181,53.789,873.481,863.999,633.864,304.816,153.518,164.649,41.736,8.860,16.427,2.036,163.188,8.769
182,54.124,859.855,880.509,638.293,306.624,156.412,167.360,41.913,8.924,17.375,2.051,171.009,8.841
183,54.459,850.008,897.946,642.751,308.454,159.435,170.262,42.093,8.988,18.387,2.065,179.348,8.914
184,54.794,823.674,916.364,647.229,310.321,162.584,173.372,42.279,9.053,19.470,2.080,188.216,8.989
185,55.129,917.234,935.828,651.723,312.246,165.859,176.713,42.472,9.118,20.633,2.095,197.629,9.065
186,55.464,919.494,956.271,656.228,314.227,169.241,180.283,42.672,9.183,21.880,2.110,207.533,9.143
187,55.799,964.055,977.448,660.743,316.236,172.692,184.056,42.875,9.249,23.216,2.125,217.777,9.222
188,56.134,940.946,999.215,665.264,318.266,176.185,188.018,43.079,9.314,24.645,2.140,228.263,9.303
189,56.469,939.909,1021.537,669.790,320.331,179.705,192.171,43.288,9.380,26.178,2.155,238.941,9.386
190,56.804,940.986,1029.217,659.148,317.616,179.993,192.924,42.849,9.234,27.726,2.122,247.490,9.263
191,57.139,939.731,1037.413,648.508,314.971,180.284,193.870,42.418,9.088,29.402,2.088,256.149,9.142
192,57.475,991.991,1045.989,637.871,312.372,180.548,194.977,41.993,8.942,31.218,2.055,264.861,9.023
193,57.810,1039.879,1054.749,627.236,309.779,180.745,196.193,41.569,8.796,33.182,2.021,273.558,8.907
194,58.145,1082.180,1063.635,616.601,307.186,180.855,197.494,41.146,8.650,35.307,1.988,282.217,8.793
195,58.480,1111.884,1072.652,605.968,304.600,180.870,198.863,40.726,8.504,37.612,1.954,290.840,8.682
196,58.815,1065.295,1081.840,595.335,302.034,180.784,200.287,40.311,8.358,40.120,1.920,299.453,8.574
197,59.150,1067.522,1091.243,584.702,299.490,180.592,201.749,39.901,8.212,42.852,1.887,308.090,8.470
198,59.486,1132.524,1100.795,574.070,296.940,180.273,203.211,39.493,8.066,45.827,1.853,316.762,8.369
199,59.821,1104.120,1110.432,563.439,294.347,179.805,204.629,39.083,7.920,49.069,1.820,325.486,8.272
200,60.156,1191.230,1120.258,552.807,291.714,179.189,205.990,38.672,7.775,52.607,1.786,334.344,8.181
201,60.491,1151.307,1130.419,542.176,289.043,178.431,207.285,38.260,7.629,56.475,1.753,343.448,8.094
202,60.827,1087.385,1141.120,531.545,286.350,177.544,208.516,37.851,7.483,60.713,1.719,352.932,8.011
203,61.162,1213.644,1152.515,520.913,283.633,176.534,209.677,37.443,7.337,65.353,1.686,362.916,7.936
204,61.497,1155.425,1164.644,510.282,280.860,175.393,210.742,37.033,7.191,70.415,1.652,373.489,7.869
205,61.833,1230.988,1177.597,499.651,278.004,174.117,211.696,36.619,7.046,75.927,1.619,384.764,7.806
206,62.168,1298.095,1191.630,489.020,275.075,172.723,212.551,36.200,6.900,81.934,1.585,396.911,7.751
207,62.503,1273.954,1207.032,478.389,272.084,171.229,213.328,35.779,6.754,88.486,1.552,410.115,7.705
208,62.839,1295.544,1224.120,467.759,269.049,169.656,214.055,35.357,6.608,95.631,1.518,424.577,7.668
209,63.174,1262.288,1242.925,457.128,265.964,168.010,214.743,34.935,6.462,103.237,1.485,440.449,7.641
210,63.510,1277.438,1263.232,446.497,262.801,166.287,215.391,34.508,6.316,111.006,1.451,457.846,7.626
211,63.845,1329.255,1285.055,435.866,259.556,164.497,216.020,34.076,6.170,118.758,1.418,476.936,7.622
212,64.181,1304.069,1308.554,425.235,256.242,162.656,216.667,33.641,6.024,126.380,1.384,497.928,7.632
213,64.516,1308.334,1333.912,414.604,252.873,160.781,217.372,33.204,5.878,133.752,1.351,521.044,7.657
214,64.852,1359.189,1361.318,403.973,249.467,158.890,218.179,32.767,5.732,140.750,1.317,546.517,7.698
215,65.187,1438.334,1390.831,393.342,246.021,156.986,219.109,32.330,5.586,147.248,1.283,574.510,7.757
216,65.523,1391.340,1422.476,382.711,242.519,155.062,220.179,31.890,5.440,153.125,1.250,605.175,7.836
217,65.858,1539.453,1456.435,372.080,238.969,153.130,221.427,31.449,5.294,158.265,1.216,638.750,7.935
218,66.194,1623.600,1492.958,361.450,235.387,151.202,222.900,31.007,5.148,162.561,1.183,675.512,8.059
219,66.529,1533.270,1532.357,350.819,231.793,149.294,224.651,30.567,5.001,165.922,1.149,715.773,8.208
220,66.865,1583.868,1574.944,340.188,228.200,147.417,226.727,30.131,4.855,168.273,1.115,759.842,8.384
221,67.200,1592.456,1620.921,329.557,224.599,145.568,229.151,29.697,4.709,169.556,1.082,807.972,8.588
222,67.536,1559.170,1670.558,318.926,220.983,143.741,231.949,29.265,4.562,169.738,1.048,860.454,8.819
223,67.872,1653.057,1724.325,308.295,217.365,141.948,235.172,28.835,4.415,168.806,1.014,917.691,9.079
224,68.207,1709.128,1782.776,297.664,213.760,140.200,238.879,28.410,4.269,166.771,0.980,980.139,9.369
225,68.543,1844.984,1846.562,287.034,210.187,138.509,243.136,27.992,4.122,163.666,0.947,1048.313,9.691
226,68.879,1925.911,1916.200,276.403,206.651,136.881,247.991,27.581,3.975,159.548,0.913,1122.615,10.045
227,69.214,1894.253,1992.003,265.772,203.136,135.307,253.477,27.176,3.828,154.490,0.879,1203.280,10.429
228,69.550,2047.622,2074.497,255.141,199.637,133.786,259.644,26.776,3.681,148.588,0.845,1290.696,10.843
229,69.886,2095.439,2164.481,244.510,196.170,132.331,266.566,26.382,3.534,141.947,0.811,1385.453,11.286
230,70.222,2206.847,2262.836,233.879,192.744,130.953,274.322,25.997,3.387,134.687,0.777,1488.208,11.760
231,70.557,2296.328,2370.456,223.248,189.375,129.663,282.998,25.622,3.239,126.933,0.744,1599.615,12.266
232,70.893,2475.549,2486.536,212.617,186.055,128.450,292.631,25.254,3.092,118.815,0.710,1718.728,12.802
233,71.229,2545.594,2609.379,201.987,182.766,127.285,303.233,24.888,2.944,110.461,0.675,1843.763,13.363
234,71.565,2795.368,2738.418,191.356,179.509,126.162,314.865,24.522,2.796,101.999,0.641,1973.976,13.948
235,71.901,2886.039,2873.601,180.725,176.294,125.084,327.619,24.156,2.648,93.546,0.607,2109.090,14.557
236,72.236,2994.519,3014.891,170.094,173.133,124.055,341.592,23.790,2.499,85.214,0.573,2248.843,15.191
237,72.572,3169.522,3161.788,159.463,170.033,123.073,356.845,23.424,2.350,77.100,0.539,2392.574,15.850
238,72.908,3193.008,3310.804,148.832,166.976,122.102,373.131,23.053,2.201,69.289,0.504,2537.015,16.531
239,73.244,3613.229,3458.027,138.201,163.945,121.101,390.169,22.675,2.051,61.852,0.470,2678.534,17.231
240,73.580,3723.936,3601.357,127.570,160.940,120.053,407.867,22.288,1.901,54.845,0.435,2815.081,17.948
241,73.916,3853.081,3738.989,116.940,157.971,118.949,426.170,21.892,1.750,48.310,0.400,2944.863,18.684
242,74.252,4084.640,3869.136,106.309,155.049,117.781,445.029,21.488,1.599,42.275,0.365,3066.109,19.441
243,74.588,4096.862,3989.999,95.678,152.175,116.536,464.367,21.074,1.446,36.754,0.330,3177.095,20.220
244,74.924,4274.308,4099.740,85.047,149.326,115.187,484.056,20.648,1.293,31.751,0.295,3276.169,21.015
245,75.260,4356.197,4196.716,74.416,146.487,113.714,503.992,20.207,1.140,27.257,0.259,3361.838,21.822
246,75.596,4532.568,4279.576,63.785,143.663,112.109,524.127,19.751,0.985,23.256,0.224,3432.817,22.644
247,75.932,4575.123,4347.222,53.154,140.861,110.368,544.437,19.281,0.829,19.725,0.188,3488.051,23.483
248,76.268,4643.497,4398.850,42.523,138.095,108.492,564.923,18.798,0.672,16.635,0.151,3526.740,24.342
249,76.604,4592.313,4433.542,31.893,135.360,106.475,585.252,18.304,0.515,13.956,0.115,3548.346,25.220
250,76.940,4565.608,4450.319,21.262,132.635,104.302,604.785,17.795,0.356,11.649,0.078,3552.604,26.115
251,77.276,4574.349,4448.790,10.631,129.917,101.969,623.118,17.272,0.196,9.679,0.041,3539.571,27.027
252,77.612,4674.832,4429.101,0.000,127.212,99.485,640.038,16.736,0.034,8.009,0.004,3509.624,27.958
