spectrum,nuclide,mass_g,passport_bq,dA_pct,years,rev22_bq,rev22_ratio,A_bq,A_ratio,B_bq,B_ratio,C_bq,C_ratio
G1S16_Cs137_Mar,Cs-137,570.0,726.78,5.0,13.99,505.67,0.6958,620.7,0.854,620.7,0.854,620.7,0.854
G1S16_Cs137_Mar_2,Cs-137,1660.0,2241.39,5.0,8.7,1572.2,0.7014,1901.5,0.8484,1901.5,0.8484,1901.5,0.8484
G1S16_K40_Mar,K-40,660.0,1669.8,6.0,13.99,1251.2,0.7493,1535.6,0.9196,1535.6,0.9196,1535.6,0.9196
G1S16_K40_Mar_2,K-40,1550.0,3022.5,6.0,8.7,2346.6,0.7764,2860.6,0.9464,2860.6,0.9464,2860.6,0.9464
G1S16_Mix_Mar,Am-241,1000.0,4106.84,10.0,14.0,4517.4,1.1,5461.0,1.3297,5461.0,1.3297,4329.2,1.0541
G1S16_Ra226_Mar,Ra-226,620.0,1096.93,6.0,13.99,818.14,0.7458,988.49,0.9011,988.49,0.9011,988.49,0.9011
G1S16_Ra226_Mar_2,Ra-226,1670.0,2978.05,6.0,8.7,2171.6,0.7292,2597.1,0.8721,2597.1,0.8721,2597.1,0.8721
G1S16_Th232_Mar_2,Th-232,550.0,1232.0,6.0,13.99,922.58,0.7488,1124.2,0.9125,1124.2,0.9125,1124.2,0.9125
G1S16_Th232_Mar_3,Th-232,1600.0,3104.0,6.0,8.7,2447.8,0.7886,2904.7,0.9358,2904.7,0.9358,2904.5,0.9357
G1S24_Cs137_Mar,Cs-137,570.0,598.2,5.0,22.44,410.41,0.6861,503.82,0.8422,503.5,0.8417,503.5,0.8417
G1S24_Cs137_Mar_2,Cs-137,1660.0,1846.72,5.0,17.11,1217.4,0.6592,1486.6,0.805,1486.6,0.805,1486.6,0.805
G1S24_K40_Mar,K-40,660.0,1669.8,6.0,22.43,1121.1,0.6714,1373.0,0.8223,1374.1,0.8229,1374.1,0.8229
G1S24_K40_Mar_2,K-40,1550.0,3022.5,6.0,17.12,2099.2,0.6945,2553.2,0.8447,2551.6,0.8442,2551.6,0.8442
G1S24_Ra226_Mar,Ra-226,620.0,1092.93,6.0,22.43,783.77,0.7171,950.7,0.8699,951.02,0.8702,950.89,0.87
G1S24_Ra226_Mar_2,Ra-226,1670.0,2967.22,6.0,17.11,2182.2,0.7354,2610.2,0.8797,2612.5,0.8805,2612.5,0.8805
G1S24_Th232_Mar,Th-232,640.0,550.4,6.0,7.4,419.03,0.7613,508.42,0.9237,508.62,0.9241,508.62,0.9241
G1S24_Th232_Mar_2,Th-232,1600.0,3104.0,6.0,17.1,2374.6,0.765,2841.9,0.9156,2841.9,0.9156,2841.9,0.9156
