spectrum,r_242,r_295.2,r_351.9,r_609.3,r_661.7,r_1120.3,r_1460.8,r_1764.5,r_2614.5,r_nodes_mean,stamp_before,stamp_after
G1S16_Cs137_Mar,0.8106,0.8156,0.8199,0.8255,0.8160,0.8059,0.8182,0.8152,0.8067,0.8101,phys=18; hist=200000; grid=10-3000 keV/37 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=10-3000 keV/37 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S16_Cs137_Mar_2,0.8323,0.8361,0.8228,0.8284,0.8158,0.8180,0.8044,0.8293,0.8410,0.8405,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S16_K40_Mar,0.8151,0.8182,0.8180,0.8137,0.8145,0.8041,0.8219,0.8000,0.7910,0.8096,phys=18; hist=200000; grid=10-3000 keV/37 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=10-3000 keV/37 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S16_K40_Mar_2,0.8289,0.8313,0.8297,0.8245,0.8193,0.8219,0.8072,0.8145,0.8317,0.8382,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S16_Mix_Mar,0.8273,0.8227,0.8257,0.8156,0.8266,0.8362,0.8142,0.8143,0.8219,0.8227,phys=18; hist=200000; grid=10-3000 keV/37 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=10-3000 keV/37 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S16_Ra226_Mar,0.8086,0.8182,0.8157,0.8160,0.8091,0.8106,0.8283,0.8116,0.7899,0.8099,phys=18; hist=200000; grid=10-3000 keV/37 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=10-3000 keV/37 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S16_Ra226_Mar_2,0.8339,0.8376,0.8230,0.8315,0.8219,0.8133,0.8003,0.8325,0.8442,0.8412,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S16_Th232_Mar_2,0.8096,0.8124,0.8197,0.8219,0.8186,0.8191,0.8149,0.8129,0.8152,0.8097,phys=18; hist=200000; grid=10-3000 keV/37 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=10-3000 keV/37 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S16_Th232_Mar_3,0.8336,0.8337,0.8267,0.8239,0.8231,0.8182,0.7962,0.8285,0.8432,0.8384,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S24_Cs137_Mar,0.8161,0.8126,0.8110,0.8098,0.8181,0.8236,0.7961,0.8178,0.8286,0.8156,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S24_Cs137_Mar_2,0.8323,0.8380,0.8234,0.8188,0.8173,0.8244,0.8067,0.8231,0.8270,0.8401,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S24_K40_Mar,0.8225,0.8159,0.8186,0.8119,0.8208,0.8096,0.7961,0.8168,0.8349,0.8185,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S24_K40_Mar_2,0.8300,0.8344,0.8278,0.8266,0.8230,0.8231,0.8022,0.8136,0.8341,0.8378,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
G1S24_Ra226_Mar,0.8170,0.8139,0.8192,0.8148,0.8181,0.8266,0.7850,0.8256,0.8353,0.8167,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2,phys=18; hist=200000; grid=7.1-3000 keV/39 std; kdip=1; lys=2; etr=1; e+tr=1; e+off=1; rayl2=1; ecomp=1; bpath=2
