# LaBr3:Ce [Payne η=0.18 (база), тормозная ESTAR по составу (ecomp), I=454.5 эВ, ниже 1 кэВ Joy-Luo от 0.01, обрыв E_q=1 кэВ]
E_kev	yield_rel
0.01	7.3557054805571174E-05
0.011220184543019634	9.2611778551601265E-05
0.012589254117941673	0.00011660166228467188
0.014125375446227544	0.00014680441796545923
0.015848931924611138	0.00018482827987527928
0.017782794100389229	0.00023269734565204537
0.019952623149688795	0.00029295885979542139
0.022387211385683396	0.00036881802731403643
0.0251188643150958	0.00046430733641143388
0.028183829312644539	0.00058449908802537913
0.0316227766016838	0.0007357719426150165
0.035481338923357551	0.00092614487302818452
0.03981071705534972	0.0011656950304693896
0.04466835921509632	0.001467079755020125
0.05011872336272722	0.0018461873353079409
0.056234132519034911	0.00232294612940893
0.063095734448019331	0.0029223618287701684
0.070794578438413788	0.00367591273191748
0.079432823472428166	0.00462312147304801
0.089125093813374537	0.0058135040354622023
0.1	0.0073089797478453232
0.11220184543019636	0.0091867885782781974
0.12589254117941676	0.011542971595546958
0.14125375446227539	0.014496445445919251
0.15848931924611134	0.018193647697774568
0.17782794100389229	0.022813633637102641
0.19952623149688797	0.028573349105839536
0.223872113856834	0.035732552910330506
0.25118864315095796	0.044597535474264018
0.28183829312644532	0.055522304601494675
0.31622776601683794	0.068905379277004825
0.35481338923357547	0.0851798058449711
0.39810717055349737	0.10479370065017732
0.44668359215096304	0.12817886892066777
0.50118723362727224	0.15570630205982294
0.56234132519034907	0.18762998731071076
0.63095734448019325	0.22402461858882677
0.70794578438413813	0.26472770593927
0.79432823472428138	0.3093004290712047
0.89125093813374545	0.3570220916487189
1	0.40691883234865123
1.1230344056740278	0.457933228035568
1.2612062763276171	0.50817213524265847
1.416378040967939	0.55654020760870171
1.5906412714481732	0.602180178521836
1.7863448749213793	0.64451713340130479
2.0061267549361768	0.683238763183293
2.2529493679365156	0.71828678665357837
2.5301396544342616	0.74974806827677409
2.8414338830898709	0.77787116943232149
3.1910280121578785	0.80296648782443614
3.5836342471228968	0.825382474394806
4.0245445568707554	0.84545893506258762
4.5197020045339924	0.86350781000813948
5.0757808544855454	0.87980353894604757
5.7002765352487827	0.89457853837096557
6.4016066709407236	0.90802472171987236
7.189224543058808	0.92029460844922784
8.0737465119711818	0.93150885760489111
9.0670951156343111	0.94176197547993856
10.182659774376262	0.9511277824571851
11.435477267897475	0.95966519642832615
12.842434417152093	0.96741927357450941
14.422495703074082	0.97442961738222666
16.196958890238022	0.98073073107552922
18.189742101025121	0.98635497785428072
20.427706209788592	0.99133384835674065
22.941016902593582	0.99569912947163686
25.763551282762009	0.99948352070778257
28.93335450288896	1.0027211073621345
32.493152578307864	1.0054470978890415
36.490928294255482	1.0076977532539397
40.980567969432776	1.0095100969605739
46.022587793736044	1.0109214742823518
51.684949530519127	1.0119691518422562
58.043976578298675	1.0126898961086
65.185382739566819	1.0131198843761597
73.2054275635635	1.0132933991001951
82.2122138359596	1.0132435617541991
92.327144704412945	1.013001670422615
103.6865600807004	1.0125973426271686
116.44357437661373	1.0120594238857592
130.77014034459992	1.0114098416440818
146.85936684180692	1.0106732790285169
164.9281217588526	1.0098695511017954
185.21995519838683	1.0090175899894571
208.00838230519034	1.0081345715911687
233.60056999732555	1.0072371362316856
262.34147729206052	1.0063340313181575
294.61850503433584	1.0054385614037278
330.86671770180578	1.0045588832672852
371.57470767156366	1.0037031635018199
417.29118099343538	1.0028783122132832
468.6323534399757	1.0020897791650731
526.29025652508437	1.0013419065344491
591.04206544867952	1.0006380173661558
663.760574699508	0.99998126007853649
745.42596251751286	0.99937231402013327
837.13900278984488	0.99881224740630548
940.1359024646423	0.99830135429093947
1055.804964477195	0.99783966249375733
1185.7053007893353	0.99742731575505206
1331.5878477764952	0.99706086594920174
1495.4189672304335	0.99674002762609581
1679.4069510972995	0.99646259144315485
1886.031787210386	0.99622661891247677
2118.0785872321417	0.99603007076175176
2378.6751273831319	0.99587087160513132
2671.3340079723093	0.99574571361308872
3000	0.99565250300048513
