спектр                 chi2 mini_on  mini18_on       Δ % | chi2п mini_on    mini18_on       Δ %
AS80_Th232Medal           12.7093    12.7092   -0.0008 |      72.4425      72.4419   -0.0008
ASN16_Lu176                3.7328     3.7328   +0.0000 |      22.3151      22.3152   +0.0004
G1S16_Ba133_P5            11.6072    11.6073   +0.0009 |     297.5103     297.5106   +0.0001
G1S16_Co60_P5              9.6333     9.6333   +0.0000 |      57.4977      57.4979   +0.0003
G1S16_Eu152_P5            13.9503    13.9502   -0.0007 |     246.7934     246.7932   -0.0001
G1S24_Ba133_P5            17.5961    17.5962   +0.0006 |     616.1192     616.1199   +0.0001
G1S24_Co60_P5             11.9824    11.9825   +0.0008 |     103.7474     103.7476   +0.0002
G1S24_Eu152_P5            31.1103    31.1103   +0.0000 |    1522.9613    1522.9591   -0.0001
G1S24_Th228_P5            20.6896    20.6895   -0.0005 |     308.2005     308.1999   -0.0002
G1S24_Y88_P5               8.2016     8.2016   +0.0000 |      30.9738      30.9737   -0.0003
спектров с отличием χ²: 10; наибольший |Δ| 0.0009 %; спектров с |Δ| > 0.05 %: 0
