node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,8.168,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,8.651,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,13.212,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,13.404,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,14.379,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,15.334,0,0,0.000,0,0.000,0.63315024509540541,0.15827771859554687,0.022142144190115218,0.043100735114404147,0.63323320754996071,0.15825217945076139,0.022098706479114518,0.04302400713855082,4.7391327549927253E-31,4.7489415093180847E-31,3000000
6,6.590,3000000,100.000,16.076,0,0,0.000,0,0.000,0.64136901029747806,0.18046002415323487,0.010204879299101971,0.019513171545463684,0.64118297800683077,0.17934358250413154,0.010073957557661216,0.019286101464244289,2.0700873435320363E-27,2.1237154657830686E-27,3000000
7,6.900,3000000,100.000,16.860,0,0,0.000,0,0.000,0.64698125948419882,0.19101804743389283,0.008204510705644201,0.01541280248560239,0.64730921999152857,0.1915167686516755,0.0081407825840159719,0.015297828637252073,1.5500137403554886E-24,1.5629665132297767E-24,3000000
8,7.098,3000000,100.000,18.204,0,0,0.000,0,0.000,0.65227529727897093,0.20747946752570426,0.0075700300631152909,0.014199401364244775,0.6527037350365632,0.20849340563737562,0.0075321270576254127,0.014134244274870377,7.143738330846058E-23,7.2491018444122059E-23,3000000
9,7.126,3000000,100.000,17.237,0,0,0.000,0,0.000,0.65240160311954976,0.19435387376700497,0.014905138674248664,0.028055064234783607,0.65144259290308637,0.19562827777830516,0.015517848632056949,0.029978798348104928,2.5972595236212076E-23,2.7255145576923014E-23,3000000
