node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,6.277,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,6.412,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,13.084,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,11.964,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,11.865,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,12.198,0,0,0.000,0,0.000,0.55612776196652791,0.021612750244477577,0.011567223098252173,0.01943546092632541,0.561268845665041,0.028703942273170979,0.011588622279425252,0.01972491104180955,3.5406029006407953E-30,3.6932059429395411E-30,3000000
6,6.590,3000000,100.000,12.416,0,0,0.000,0,0.000,0.56098722241666332,0.03904388226617226,0.0074248428517559931,0.012921733203023896,0.56314210744712634,0.043485197907681954,0.0074183484510972047,0.012987150855712658,9.35650329148246E-27,9.6301172174850767E-27,3000000
7,6.900,3000000,100.000,14.392,0,0,0.000,0,0.000,0.56211030919386507,0.054495080729520917,0.0069850012707103259,0.011988165723271037,0.56188536489957563,0.054411199934582849,0.0069758068031593925,0.01199385537936162,6.6396375218134134E-24,6.736281568513E-24,3000000
8,7.098,3000000,100.000,14.094,0,0,0.000,0,0.000,0.555860939246331,0.048805488213510093,0.0066221378317773607,0.011584846275493228,0.55584100893027311,0.049507493124509312,0.0065835908058614586,0.011518497663038843,2.2368980377053972E-22,2.2646089408368732E-22,3000000
9,7.126,3000000,100.000,13.689,0,0,0.000,0,0.000,0.54939669888771692,0.018419100103842231,0.018019392690506883,0.027993416868252803,0.54810678246223643,0.015015771788217114,0.017777814297814842,0.027690077078801431,4.9320835186821446E-23,5.0048504047834584E-23,3000000
10,7.225,3000000,100.000,14.568,0,0,0.000,0,0.000,0.55298872776890962,0.023817120072253305,0.016070259329335861,0.026598197822226523,0.55114954370366742,0.020328011153788905,0.015824655769433815,0.026201085238797779,3.0449423000735313E-22,3.1000075176475579E-22,3000000
11,7.566,3000000,100.000,14.931,0,0,0.000,0,0.000,0.54537409022480232,0.025722670442674265,0.015887658387270027,0.024900802992044072,0.54470506557090725,0.024392364462077216,0.015768915626452343,0.024707225308109263,3.9675467596660836E-20,3.9999201003813123E-20,3000000
12,7.922,3000000,100.000,13.325,0,0,0.000,0,0.000,0.55679502406208747,0.061837696486273089,0.013950496933621581,0.021302414517011928,0.55554726170765112,0.05881662371278995,0.013788728428895371,0.021090186826222709,3.1696192629277319E-18,3.2197763588689387E-18,3000000
13,8.295,3000000,100.000,12.987,0,0,0.000,0,0.000,0.53818050238082382,0.028322026154966776,0.014448988597382591,0.020838822691545904,0.53847141189241821,0.029136514107580617,0.014335010849394017,0.020697339714427509,1.7423544845675368E-16,1.76002228484416E-16,3000000
14,8.686,3000000,100.000,14.852,0,0,0.000,0,0.000,0.544266562414721,0.046760422529805765,0.011320491078709612,0.018779181811239255,0.54458879610006494,0.046262221950070417,0.011146417842498648,0.018468883068866019,6.3711549211170611E-15,6.52001226299832E-15,3000000
15,9.095,3000000,100.000,14.540,0,0,0.000,0,0.000,0.53787828633592083,0.040851446716739057,0.011149214407505046,0.016525892085622742,0.53789206422844149,0.041196162176584783,0.011070731598915124,0.016400861794290605,1.3757663965342915E-13,1.3874943067529026E-13,3000000
16,9.523,3000000,100.000,15.010,0,0,0.000,0,0.000,0.53585815734013165,0.057387334850431813,0.01074734934617577,0.016810576171683547,0.534596770438344,0.054995995334172487,0.010639681697980661,0.016622855057971522,1.9982487391933623E-12,2.0291529325415193E-12,3000000
17,9.972,3000000,100.000,14.744,0,0,0.000,0,0.000,0.5342419986569189,0.046692718848853169,0.00856367136104259,0.015674549955450912,0.53405279544748319,0.04633902408673661,0.0085181717142251215,0.015560947905670475,2.2959697223039352E-11,2.3187885848767984E-11,3000000
18,10.441,3000000,100.000,15.392,0,0,0.000,0,0.000,0.52495298210758712,0.058832208019539985,0.0094998939910479335,0.013807402393043794,0.52551507483419779,0.059206209815060626,0.0094255517801544435,0.01373446488471624,1.9817259613107434E-10,2.0081841447959664E-10,3000000
19,10.933,3000000,100.000,16.111,0,0,0.000,0,0.000,0.5200554960085495,0.049163248125137622,0.0075149971517198908,0.011226333236918674,0.520658221477056,0.050101274069355606,0.0074740563354581046,0.011162253035428497,1.3674978287174661E-09,1.37803317631094E-09,3000000
20,11.448,3000000,100.000,17.095,0,0,0.000,0,0.000,0.50103900325555006,0.044555612013234366,0.0088354015833425458,0.011226468158820268,0.500402536767036,0.043713259740023727,0.0087672882141501315,0.011144033797102635,7.3315934448212581E-09,7.4059550882985261E-09,3000000
21,11.987,3000000,100.000,17.709,0,0,0.000,0,0.000,0.48917336550619411,0.029836997430455162,0.0090154474166727634,0.012710105879266305,0.48855534360644826,0.029234822823169374,0.0089636589810972687,0.012632775484743241,3.60758913346095E-08,3.6307802486624544E-08,3000000
22,12.552,3000000,100.000,16.912,1,0,100.000,0,0.000,0.46963868468744208,0.014093459175255483,0.0099973855857837073,0.010721274882409841,0.47008056896503669,0.014300447314960073,0.009934072117448782,0.010664670380371498,1.3773188686972386E-07,1.387489997281593E-07,3000000
23,13.143,3000000,100.000,18.289,0,0,0.000,0,0.000,0.45607980119070979,0.013023678342415532,0.023012586287683819,0.02349199317653225,0.45679185806816025,0.014258373654168805,0.022912056904571154,0.023447415423401147,4.9581270384575679E-07,4.9930560015694019E-07,3000000
24,13.762,3000000,100.000,18.712,5,0,100.000,0,0.000,0.49729433412973506,0.078464786088376676,0.011713091189779246,0.017027486320012473,0.49633791953902912,0.077714412961710527,0.01168303483848121,0.016956299569053146,1.3576037383430368E-06,1.3651624566925916E-06,3000000
25,14.410,3000000,100.000,17.971,8,0,100.000,1,12.500,0.47124988406480678,0.043565031830313454,0.0065002212021625441,0.01035198272720721,0.47144712448536169,0.044035615842504726,0.0064730114265901225,0.010305743939207655,3.4028945306439305E-06,3.42143767751207E-06,3000000
26,15.089,3000000,100.000,18.463,30,0,100.000,0,0.000,0.46054405756696665,0.04703563350004384,0.0062448334663484364,0.0078427521351616767,0.46029164519033106,0.046843914951900156,0.0062210317253880969,0.0078060134118016575,8.2436597592856277E-06,8.3021676723894424E-06,3000000
27,15.799,3000000,100.000,19.332,48,0,100.000,1,2.083,0.44669807642492626,0.039173027641653271,0.00529867786051999,0.0060399598923004437,0.44650696025132663,0.03927564505838442,0.0052760207684675276,0.0060137677714862539,1.788061146910851E-05,1.7992425825387982E-05,3000000
28,16.543,3000000,100.000,22.360,88,1,98.876,3,3.371,0.446979037472348,0.047100709308175115,0.004467733451264326,0.0053919201235842493,0.44676399163814207,0.046788800332265824,0.00444855948309116,0.0053672247311750011,3.5909411012250809E-05,3.612210638031692E-05,3000000
29,17.323,3000000,47.191,21.499,208,5,97.653,5,2.347,0.42767625374397655,0.040026546939794461,0.0041298367935736985,0.0045420941887190144,0.42709981183831003,0.039458215701281725,0.0041163346880999339,0.00452334358461325,6.7124410896752783E-05,6.7614018098305468E-05,3000000
30,18.138,3000000,70.385,22.391,386,3,99.229,16,4.113,0.42948234499217963,0.045138917906883153,0.0034981662434651331,0.00392445232721079,0.42875377005397219,0.044602026176580684,0.0034967358429087631,0.0039190498048594924,0.00012136794689610043,0.00012238352008800058,3000000
31,18.993,3000000,52.795,23.160,624,4,99.363,37,5.892,0.4256816721230603,0.05159220206100272,0.0032332457908179671,0.003537322385371946,0.42479346185985939,0.051478986271601884,0.0032327493024542921,0.0035276699397496277,0.0002014873994294359,0.00020315380034581517,3000000
32,19.887,3000000,67.114,21.915,1027,11,98.940,48,4.624,0.408999639698874,0.039321001755385679,0.0029173852357659877,0.0030839937223654341,0.40774076113023822,0.038733624569600264,0.0029199054828117727,0.0030746954893916753,0.00032752999546108136,0.00033054372144302043,3000000
33,20.824,3000000,42.900,27.310,1546,16,98.976,90,5.762,0.40928935035137515,0.046212247697897904,0.0026680675942858246,0.0028397694765958563,0.40831559096613251,0.046074231762527375,0.0026612611713183816,0.002835131653281859,0.00050930019519816207,0.00051473264227574317,3000000
34,21.804,3000000,35.324,25.393,2319,51,97.848,101,4.262,0.40655429037506952,0.047771805803139895,0.0024241589092049219,0.0026099738577875379,0.40458949960428886,0.047583178587003665,0.0024255796996210484,0.0026058352682933514,0.00073963199134137979,0.000749726262800869,3000000
35,22.831,3000000,35.186,26.430,3365,34,99.000,211,6.208,0.3978063781307849,0.044398860239306594,0.0022356136735811835,0.0023423109949080707,0.39491201930875597,0.043523420398033009,0.0022313552945706504,0.0023268383193136692,0.0010852196949022307,0.0011032859979706921,3000000
36,23.907,3000000,19.145,26.476,4668,154,96.806,252,5.226,0.39537797634147231,0.043930991141469415,0.0020605770023585947,0.0021083214195361634,0.39138721904196144,0.04279295689578367,0.0020553956303744486,0.0020911879865902951,0.0015110740620163507,0.0015386677441549164,3000000
37,25.033,3000000,21.246,26.273,6024,574,91.300,10,0.152,0.39312750827239479,0.04224014223829535,0.0018949474367010285,0.0019304766651018533,0.38886046780228672,0.041012090164689131,0.0018911244995271387,0.0019164697877560963,0.00208512263847198,0.002132232202032177,3000000
38,26.211,3000000,17.772,28.108,8581,256,97.103,510,5.771,0.38668660318034892,0.042656379976804104,0.0017609767061890953,0.0017655741323258454,0.38119647989810296,0.041163212296316351,0.0017572557465841238,0.0017500457196772666,0.0028228630998417079,0.00289527982559791,3000000
39,27.446,3000000,14.715,27.801,10940,763,93.480,292,2.495,0.38455999657527251,0.042393108287515621,0.0016327701053345661,0.0016340882954224193,0.37821605958154192,0.041060340326185205,0.0016324188118889216,0.0016157639747370783,0.0037208628895720663,0.0038345298261528047,3000000
40,28.739,3000000,12.269,28.559,14912,420,97.261,1099,7.168,0.38226783717245516,0.040471402502815453,0.0015173327526737223,0.0014976128725405951,0.37487613397195974,0.038799813421373196,0.0015148775842668005,0.0014780694017868224,0.0048682050762929863,0.0050388802961363506,3000000
41,30.092,3000000,10.101,30.090,18860,1043,94.760,1052,5.286,0.37997242055519709,0.039792634146882652,0.001406533309851257,0.0013718283552239311,0.37218872678194725,0.037725788954537529,0.0014022121628435003,0.0013525714456188965,0.006215701696385671,0.0064638343222766783,3000000
42,31.509,3000000,9.326,29.461,23102,2091,91.700,677,2.687,0.38007321441618713,0.039549610382586045,0.0013108652925617095,0.0012707112929960926,0.37068045188799736,0.036731567652820894,0.0013076420266141188,0.0012499680097987243,0.0077406938483761409,0.0081019299679152574,3000000
43,32.993,3000000,8.480,28.368,30318,1280,95.949,2340,7.406,0.37967077895589058,0.040519453824106377,0.00122381860019186,0.0011824634190824523,0.368501847813429,0.037840241497720355,0.0012216048988301566,0.001161711560345766,0.0095053145878417154,0.010007119543580792,3000000
44,34.547,3000000,2.045,32.187,27722,11047,71.506,2028,5.231,0.38080361734590129,0.039802732797149853,0.0012827859751569195,0.0012435516708523009,0.36726196977315162,0.036464770472030728,0.0011306310775478911,0.0010739773450350177,0.0088271574930169037,0.012466358361001413,3000000
45,36.174,3000000,1.684,32.166,33448,14086,70.366,1756,3.694,0.38009223887428795,0.039626672021775042,0.0011907620547585091,0.0011420709958659878,0.36463600042812633,0.034680798229258847,0.0010521189755413639,0.0009859932955180908,0.010880279702441853,0.015282788185360621,3000000
