node,energy_kev,histories,error_pct,seconds_wall,dropped,scored,dropped_pct,dropped_scat,scat_pct,q2,q4,dq2,dq4,q2t,q4t,dq2t,dq4t,eps_peak,eps_total,qk_histories
0,5.000,3000000,100.000,7.107,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
1,5.235,3000000,100.000,7.505,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
2,5.482,3000000,100.000,14.595,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
3,5.740,3000000,100.000,12.980,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
4,6.011,3000000,100.000,13.305,0,0,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,3000000
5,6.294,3000000,100.000,12.860,0,0,0.000,0,0.000,0.57010273706429293,0.077123572745767768,0.063378309041493566,0.09725472415613555,0.56206123603563829,0.076994552251820975,0.063754704198152462,0.09641515877241541,7.7034158702023664E-32,7.77063274982846E-32,3000000
6,6.590,3000000,100.000,14.397,0,0,0.000,0,0.000,0.64417835603241091,0.19945604693889588,0.024886777875624645,0.044261764112054951,0.64718713871437383,0.19858192943465852,0.023614902892265543,0.041773165379985343,3.0043513920797989E-28,3.1876455391428746E-28,3000000
7,6.900,3000000,100.000,15.346,0,0,0.000,0,0.000,0.64920210725844463,0.18510837369171773,0.020662445928947004,0.04023299294916733,0.65154597410526116,0.19187206264468668,0.020512215546627577,0.039948537071132321,2.7377699260195342E-25,2.7947163321531284E-25,3000000
8,7.098,3000000,100.000,15.027,0,0,0.000,0,0.000,0.65944260528716758,0.235548171614711,0.020277359406658202,0.035569731952972666,0.658721155079497,0.23391927567340962,0.020087637723518226,0.035235828294894272,1.0236302051279342E-23,1.0349504056771538E-23,3000000
9,7.126,3000000,100.000,15.163,0,0,0.000,0,0.000,0.61015211218713028,0.19538922432453265,0.045282184815316921,0.073791002179709464,0.61272077456848917,0.19808335752623504,0.044615794275719475,0.072711849909149612,1.6992027134825339E-24,1.7249731104787312E-24,3000000
10,7.225,3000000,100.000,14.955,0,0,0.000,0,0.000,0.60556257911953026,0.073601812117239526,0.038847364624806056,0.075131890212616861,0.60632026917505566,0.075341046178617574,0.038613544319131214,0.074731258948953327,1.5876510976761718E-23,1.5982941756827494E-23,3000000
11,7.566,3000000,100.000,16.079,0,0,0.000,0,0.000,0.684056267339305,0.27627582308272269,0.057956503424326858,0.11630819622319286,0.68384847987377928,0.27401446109012106,0.057091297424168463,0.11458079431972924,2.5146346716577628E-21,2.5528670755967998E-21,3000000
12,7.922,3000000,100.000,15.199,0,0,0.000,0,0.000,0.67904215591078487,0.23452923109754617,0.024636185951186284,0.04154544069269845,0.67915691973623582,0.23478025254278015,0.024576785309285507,0.041459138500260943,2.0488327360978034E-19,2.0540912881427243E-19,3000000
13,8.295,3000000,100.000,15.451,0,0,0.000,0,0.000,0.67401530672751164,0.25630962538780094,0.035774246706403272,0.0649954814374867,0.67546748801121437,0.25889974700607615,0.035515126268184982,0.06453834335997205,1.2193386798362763E-17,1.2327428730998218E-17,3000000
14,8.686,3000000,100.000,15.771,0,0,0.000,0,0.000,0.64594497594256173,0.18417928456409277,0.026582892121663735,0.044621740767344049,0.65054433134046041,0.18994341663085373,0.02599307269893773,0.04341904805152752,5.9761977024458048E-16,6.2221046876537226E-16,3000000
15,9.095,3000000,100.000,15.475,0,0,0.000,0,0.000,0.73233489044150457,0.3460522360454466,0.017382601677272316,0.034586166388310746,0.73260122197145339,0.34640015751311348,0.017212789893542295,0.034246980898136895,1.1728381597939545E-14,1.1869950868652302E-14,3000000
16,9.523,3000000,100.000,15.494,0,0,0.000,0,0.000,0.68030590509800715,0.2802193843760058,0.02066816393140461,0.0339835465604838,0.68017423069911742,0.28023512384162313,0.020472854647132492,0.033711384074509985,2.1905138523947872E-13,2.2147131069372152E-13,3000000
17,9.972,3000000,100.000,16.234,0,0,0.000,0,0.000,0.70888570086658675,0.32649084583824406,0.016122620047462895,0.030363142700441711,0.70929796732246053,0.32774123124478033,0.016005463580050155,0.030155925615366348,2.9655017116899588E-12,2.9965884169687788E-12,3000000
