E_keV,eps_sim,err_pct,eps_ref,ratio
60,4.31182E-003,0.26,0.00000E+000,-
200,4.23229E-003,0.28,0.00000E+000,-
662,1.19428E-003,0.56,0.00000E+000,-
1461,4.52924E-004,0.93,0.00000E+000,-
2614,1.96281E-004,1.42,0.00000E+000,-
