геометрия: ASN16_lu_side: кристалл Cesium iodide брусок 15.0x18.0x60.0 мм, ро 4.510; источник — цилиндр D=42.0 H=15.0 на 0.0 мм, Lutetium oxide
ключи физики: КАК У СТРОИТЕЛЯ СКЛАДА (--store): SplitXrayShells=True, KDipLight=1 → LightSubKevCurve=True, LightCascadeSplit=True
энергии: 42 узлов сетки склада в полосе 10.0…70.0 кэВ (бин склада 2.0 кэВ)
кривая света: CsI:Tl
историй 400000, бин 2.00 кэВ, ПШПВ(662) геометрии 6.66 %
допуск пика: ИЗ ГЕОМЕТРИИ (--peakw, `E34`) — ПОЛОЖИТЕЛЬНЫЙ КОНТРОЛЬ, класс обязан быть пуст

     E, кэВ   допуск   свет/E     единое     сдвиг %   класс: историй    вес/пик %
     10.441     2.77   1.012341   1.012341     0.000                0        0.000
     10.933     2.83   1.012153   1.012153     0.000                0        0.000
     11.448     2.90   1.022308   1.022308     0.000                0        0.000
     11.987     2.97   1.030323   1.030323     0.000                0        0.000
     12.552     3.04   1.034105   1.034105     0.000                0        0.000
     13.143     3.11   1.040586   1.040586     0.000                0        0.000
     13.762     3.18   1.043786   1.043786     0.000                0        0.000
     14.410     3.25   1.049936   1.049936     0.000                0        0.000
     15.089     3.33   1.055509   1.055509     0.000                0        0.000
     15.799     3.41   1.057545   1.057545     0.000                0        0.000
     16.543     3.48   1.059988   1.059988     0.000                0        0.000
     17.323     3.57   1.062754   1.062754     0.000                0        0.000
     18.138     3.65   1.064287   1.064287     0.000                0        0.000
     18.993     3.73   1.066852   1.066852     0.000                0        0.000
     19.887     3.82   1.068087   1.068087     0.000                0        0.000
     20.824     3.91   1.068544   1.068544     0.000                0        0.000
     21.804     4.00   1.070276   1.070276     0.000                0        0.000
     22.831     4.09   1.069687   1.069687     0.000                0        0.000
     23.907     4.19   1.071088   1.071088     0.000                0        0.000
     25.033     4.29   1.071941   1.071941     0.000                0        0.000
     26.211     4.39   1.070529   1.070529     0.000                0        0.000
     27.446     4.49   1.071032   1.071032     0.000                0        0.000
     28.739     4.59   1.068718   1.068718     0.000                0        0.000
     30.092     4.70   1.068659   1.068659     0.000                0        0.000
     31.509     4.81   1.068444   1.068444     0.000                0        0.000
     32.993     4.92   1.065653   1.065653     0.000                0        0.000
     34.547     5.04   1.046618   1.046618     0.000                0        0.000
     36.174     5.15   1.048731   1.048731     0.000                0        0.000
     37.878     5.27   1.048611   1.048611     0.000                0        0.000
     39.662     5.40   1.054059   1.054059     0.000                0        0.000
     41.530     5.52   1.057857   1.057857     0.000                0        0.000
     43.486     5.65   1.061103   1.061103     0.000                0        0.000
     45.534     5.78   1.063606   1.063606     0.000                0        0.000
     47.678     5.92   1.065171   1.065171     0.000                0        0.000
     49.923     6.05   1.066208   1.066208     0.000                0        0.000
     52.275     6.19   1.066634   1.066634     0.000                0        0.000
     54.737     6.34   1.066250   1.066250     0.000                0        0.000
     57.315     6.49   1.066498   1.066498     0.000                0        0.000
     60.014     6.64   1.065566   1.065566     0.000                0        0.000
     62.840     6.79   1.064008   1.064008     0.000                0        0.000
     65.800     6.95   1.063047   1.063047     0.000                0        0.000
     68.899     7.11   1.060693   1.060693     0.000                0        0.000

наибольший сдвиг якоря: 0.000 % на 0.000 кэВ; класс непуст на 0 узлах из 42.
КОНТРОЛЬ ПРОШЁЛ: с допуском из геометрии расходящийся класс ПУСТ на всех узлах.
