геометрия: AS80_point0: кристалл Sodium iodide цилиндр 80.00x80.00 мм, ро 3.667; источник — точка, 0.0 мм, Air, dry
ключи физики: КАК У СТРОИТЕЛЯ СКЛАДА (--store): SplitXrayShells=True, KDipLight=1 → LightSubKevCurve=True, LightCascadeSplit=True
энергии: 42 узлов сетки склада в полосе 10.0…70.0 кэВ (бин склада 2.0 кэВ)
кривая света: NaI:Tl
историй 400000, бин 2.00 кэВ, ПШПВ(662) геометрии 7.65 %
допуск пика: ИЗ ГЕОМЕТРИИ (--peakw, `E34`) — ПОЛОЖИТЕЛЬНЫЙ КОНТРОЛЬ, класс обязан быть пуст

     E, кэВ   допуск   свет/E     единое     сдвиг %   класс: историй    вес/пик %
     10.441     3.18   1.048080   1.048080     0.000                0        0.000
     10.933     3.25   1.055381   1.055381     0.000                0        0.000
     11.448     3.33   1.059069   1.059069     0.000                0        0.000
     11.987     3.41   1.068354   1.068354     0.000                0        0.000
     12.552     3.49   1.068746   1.068746     0.000                0        0.000
     13.143     3.57   1.072551   1.072551     0.000                0        0.000
     13.762     3.65   1.073931   1.073931     0.000                0        0.000
     14.410     3.74   1.076059   1.076059     0.000                0        0.000
     15.089     3.82   1.078749   1.078749     0.000                0        0.000
     15.799     3.91   1.080016   1.080016     0.000                0        0.000
     16.543     4.00   1.081035   1.081035     0.000                0        0.000
     17.323     4.10   1.081744   1.081744     0.000                0        0.000
     18.138     4.19   1.081713   1.081713     0.000                0        0.000
     18.993     4.29   1.081538   1.081538     0.000                0        0.000
     19.887     4.39   1.081369   1.081369     0.000                0        0.000
     20.824     4.49   1.080414   1.080414     0.000                0        0.000
     21.804     4.60   1.080052   1.080052     0.000                0        0.000
     22.831     4.70   1.078369   1.078369     0.000                0        0.000
     23.907     4.81   1.077734   1.077734     0.000                0        0.000
     25.033     4.92   1.077152   1.077152     0.000                0        0.000
     26.211     5.04   1.074509   1.074509     0.000                0        0.000
     27.446     5.16   1.073748   1.073748     0.000                0        0.000
     28.739     5.28   1.070494   1.070494     0.000                0        0.000
     30.092     5.40   1.069413   1.069413     0.000                0        0.000
     31.509     5.52   1.068181   1.068181     0.000                0        0.000
     32.993     5.65   1.064461   1.064461     0.000                0        0.000
     34.547     5.78   1.048051   1.048051     0.000                0        0.000
     36.174     5.92   1.055947   1.055947     0.000                0        0.000
     37.878     6.06   1.062122   1.062122     0.000                0        0.000
     39.662     6.20   1.066602   1.066602     0.000                0        0.000
     41.530     6.34   1.069501   1.069501     0.000                0        0.000
     43.486     6.49   1.071323   1.071323     0.000                0        0.000
     45.534     6.64   1.072107   1.072107     0.000                0        0.000
     47.678     6.80   1.072282   1.072282     0.000                0        0.000
     49.923     6.95   1.071664   1.071664     0.000                0        0.000
     52.275     7.12   1.070557   1.070557     0.000                0        0.000
     54.737     7.28   1.068916   1.068916     0.000                0        0.000
     57.315     7.45   1.067949   1.067949     0.000                0        0.000
     60.014     7.62   1.065945   1.065945     0.000                0        0.000
     62.840     7.80   1.063465   1.063465     0.000                0        0.000
     65.800     7.98   1.061723   1.061723     0.000                0        0.000
     68.899     8.17   1.059257   1.059257     0.000                0        0.000

наибольший сдвиг якоря: 0.000 % на 0.000 кэВ; класс непуст на 0 узлах из 42.
КОНТРОЛЬ ПРОШЁЛ: с допуском из геометрии расходящийся класс ПУСТ на всех узлах.
