RESULT decays=2000000
RESULT any=560429 eps_total=2.802145e-01
RESULT window=661.657 counts=314605 eps=1.573025e-01
HISTBEGIN bins=663 bin_kev=1.000000 decays=2000000
HIST 388 471
HIST 389 444
HIST 390 475
HIST 391 417
HIST 392 471
HIST 393 442
HIST 394 481
HIST 395 458
HIST 396 484
HIST 397 437
HIST 398 487
HIST 399 418
HIST 400 473
HIST 401 498
HIST 402 468
HIST 403 485
HIST 404 482
HIST 405 473
HIST 406 457
HIST 407 468
HIST 408 521
HIST 409 463
HIST 410 470
HIST 411 474
HIST 412 463
HIST 413 504
HIST 414 502
HIST 415 508
HIST 416 495
HIST 417 457
HIST 418 475
HIST 419 475
HIST 420 521
HIST 421 454
HIST 422 501
HIST 423 489
HIST 424 509
HIST 425 515
HIST 426 465
HIST 427 498
HIST 428 481
HIST 429 515
HIST 430 498
HIST 431 488
HIST 432 508
HIST 433 507
HIST 434 508
HIST 435 479
HIST 436 525
HIST 437 527
HIST 438 542
HIST 439 531
HIST 440 493
HIST 441 524
HIST 442 506
HIST 443 503
HIST 444 494
HIST 445 542
HIST 446 498
HIST 447 529
HIST 448 480
HIST 449 494
HIST 450 526
HIST 451 524
HIST 452 558
HIST 453 521
HIST 454 530
HIST 455 543
HIST 456 528
HIST 457 565
HIST 458 521
HIST 459 518
HIST 460 570
HIST 461 579
HIST 462 567
HIST 463 591
HIST 464 585
HIST 465 586
HIST 466 544
HIST 467 568
HIST 468 563
HIST 469 542
HIST 470 589
HIST 471 557
HIST 472 539
HIST 473 580
HIST 474 545
HIST 475 500
HIST 476 485
HIST 477 416
HIST 478 357
HIST 479 314
HIST 480 282
HIST 481 273
HIST 482 229
HIST 483 229
HIST 484 224
HIST 485 199
HIST 486 213
HIST 487 174
HIST 488 178
HIST 489 191
HIST 490 182
HIST 491 140
HIST 492 168
HIST 493 139
HIST 494 143
HIST 495 136
HIST 496 132
HIST 497 121
HIST 498 150
HIST 499 103
HIST 500 132
HIST 501 121
HIST 502 111
HIST 503 96
HIST 504 108
HIST 505 105
HIST 506 108
HIST 507 86
HIST 508 82
HIST 509 79
HIST 510 90
HIST 511 88
HIST 512 76
HIST 513 64
HIST 514 78
HIST 515 73
HIST 516 61
HIST 517 58
HIST 518 73
HIST 519 67
HIST 520 55
HIST 521 66
HIST 522 50
HIST 523 61
HIST 524 57
HIST 525 53
HIST 526 54
HIST 527 55
HIST 528 42
HIST 529 44
HIST 530 33
HIST 531 38
HIST 532 46
HIST 533 41
HIST 534 44
HIST 535 35
HIST 536 34
HIST 537 32
HIST 538 36
HIST 539 20
HIST 540 29
HIST 541 28
HIST 542 27
HIST 543 32
HIST 544 17
HIST 545 22
HIST 546 20
HIST 547 22
HIST 548 22
HIST 549 18
HIST 550 22
HIST 551 16
HIST 552 7
HIST 553 7
HIST 554 12
HIST 555 15
HIST 556 18
HIST 557 10
HIST 558 15
HIST 559 11
HIST 560 11
HIST 561 8
HIST 562 15
HIST 563 11
HIST 564 9
HIST 565 7
HIST 566 10
HIST 567 6
HIST 568 7
HIST 569 8
HIST 570 5
HIST 571 5
HIST 572 9
HIST 573 4
HIST 574 3
HIST 575 1
HIST 576 11
HIST 577 9
HIST 578 5
HIST 579 3
HIST 580 3
HIST 581 6
HIST 582 6
HIST 583 8
HIST 584 4
HIST 585 5
HIST 586 3
HIST 587 6
HIST 588 1
HIST 589 5
HIST 590 3
HIST 591 5
HIST 592 5
HIST 593 3
HIST 594 3
HIST 595 1
HIST 596 1
HIST 597 2
HIST 598 3
HIST 599 3
HIST 600 4
HIST 601 6
HIST 602 2
HIST 603 6
HIST 605 3
HIST 606 4
HIST 607 1
HIST 608 3
HIST 610 1
HIST 611 4
HIST 612 4
HIST 613 1
HIST 614 1
HIST 615 1
HIST 616 2
HIST 617 2
HIST 618 2
HIST 619 2
HIST 620 1
HIST 622 2
HIST 623 3
HIST 624 5
HIST 625 3
HIST 627 1
HIST 628 1
HIST 629 306
HIST 630 5
HIST 631 4
HIST 632 5
HIST 633 885
HIST 634 6
HIST 635 4
HIST 636 1
HIST 638 1
HIST 641 1
HIST 650 1
HIST 652 1
HIST 657 2
HIST 658 2
HIST 662 314605
HISTEND
