spectrum,det,part,component,tail_counts,missing_pct,excess_pct,placement
G1S24_Y88_P5,G1S24,known,Y-88,33357.9,3.289,2.809,layer
G1S24_Zn65_P5,G1S24,known,Zn-65,34.7,7.594,7.615,layer
