spectrum,det,part,component,kind,share_pct,z,inflate,decay_s,peak_counts,dt_decay_s,mda_decay_s,zone_chi2ndf,zone_dd,zone_n,peak_share_pct
G1S24_Cs137_P25,G1S24,known,Cs-137,single,99.997,270.42,1.7810,8.0016E+004,386585.5,1.0965E+002,2.2163E+002,,,0,100.000
G1S24_Na22_P25,G1S24,known,Na-22,single,30.260,228.34,2.5090,1.2485E+005,298886.7,2.1547E+002,4.3665E+002,,,0,17.192
G1S24_Na22_P25,G1S24,known,Ann-511,nuisance,69.740,295.00,2.5090,2.5800E+005,1439652.3,,,,,0,82.808
G1S24_Th228_P25,G1S24,known,Th-228,single,0.859,240.30,2.0932,2.7282E+004,11895.3,7.9658E+001,1.6011E+002,,,0,1.182
G1S24_Th228_P25,G1S24,known,Ra-224,single,2.739,240.30,2.0932,2.7282E+004,31029.5,,,,,0,3.083
G1S24_Th228_P25,G1S24,known,Rn-220,single,0.060,240.30,2.0932,2.7282E+004,386.6,,,,,0,0.038
G1S24_Th228_P25,G1S24,known,Po-216,single,0.001,240.30,2.0932,2.7282E+004,5.3,,,,,0,0.001
G1S24_Th228_P25,G1S24,known,Pb-212,single,45.803,240.30,2.0932,2.7282E+004,572682.1,,,,,0,56.907
G1S24_Th228_P25,G1S24,known,Bi-212,single,7.983,240.30,2.0932,2.7282E+004,81105.2,,,,,0,8.059
G1S24_Th228_P25,G1S24,known,Tl-208,single,42.555,240.30,2.0932,2.7282E+004,309235.6,,,,,0,30.729
G1S24_Y88_P25,G1S24,known,Y-88,single,98.368,215.60,1.4427,2.6741E+004,132805.1,4.9033E+001,9.9527E+001,,,0,97.188
G1S24_Y88_P25,G1S24,known,Ann-511,nuisance,1.632,12.33,1.4427,7.5479E+002,3842.7,,,,,0,2.812
G1S24_Am241_P5,G1S24,known,Am-241,single,99.860,204.51,2.4158,7.7250E+004,3172993.5,4.5746E+001,9.2244E+001,,,0,100.000
G1S24_Ba133_P5,G1S24,known,Ba-133,single,99.985,135.63,4.1742,1.0803E+004,7031992.4,2.3311E+001,4.6988E+001,,,0,100.000
G1S24_Bi207_P5,G1S24,known,Bi-207,single,99.843,277.89,4.8291,6.3567E+004,9631240.8,4.7525E+001,9.6260E+001,,,0,99.884
G1S24_Bi207_P5,G1S24,known,Ann-511,nuisance,0.156,3.01,4.8291,2.6951E+002,11211.4,,,,,0,0.116
G1S24_Cd109_P5,G1S24,known,Cd-109,single,98.430,45.20,1.7917,1.2594E+003,44774.3,3.8745E+000,8.0873E+000,,,0,100.000
G1S24_Co60_P5,G1S24,known,Co-60,single,100.000,305.96,3.4485,3.8746E+004,1488843.2,4.5256E+001,9.1424E+001,,,0,100.000
G1S24_Cs137_P5,G1S24,known,Cs-137,single,99.884,295.92,3.7347,7.0229E+004,2401820.1,2.8461E+001,5.8447E+001,,,0,100.000
G1S24_Cs137_P5,G1S24,known,pile-up,nuisance,0.116,4.59,3.7347,2.5076E+000,0.0,,,,,0,0.000
G1S24_Eu152_P5,G1S24,known,Eu-152,single,99.993,227.69,5.5933,9.4303E+004,35816863.7,1.6790E+002,3.3765E+002,,,0,100.000
G1S24_Na22_P5,G1S24,known,Na-22,single,28.485,123.34,6.0290,1.0463E+005,1734664.4,3.3214E+002,6.7381E+002,,,0,15.527
G1S24_Na22_P5,G1S24,known,Ann-511,nuisance,70.973,169.60,6.0290,2.2663E+005,9437232.6,,,,,0,84.473
G1S24_Na22_P5,G1S24,known,pile-up,nuisance,0.542,3.76,6.0290,5.9832E+001,0.0,,,,,0,0.000
G1S24_Th228_P5,G1S24,known,Th-228,single,1.039,337.84,4.5522,7.1391E+004,341083.3,9.0869E+001,1.8246E+002,,,0,1.345
G1S24_Th228_P5,G1S24,known,Ra-224,single,2.848,337.84,4.5522,7.1391E+004,788230.8,,,,,0,3.108
G1S24_Th228_P5,G1S24,known,Rn-220,single,0.053,337.84,4.5522,7.1391E+004,8548.0,,,,,0,0.034
G1S24_Th228_P5,G1S24,known,Po-216,single,0.001,337.84,4.5522,7.1391E+004,114.4,,,,,0,0.000
G1S24_Th228_P5,G1S24,known,Pb-212,single,50.871,337.84,4.5522,7.1391E+004,15374523.9,,,,,0,60.620
G1S24_Th228_P5,G1S24,known,Bi-212,single,7.764,337.84,4.5522,7.1391E+004,2089257.2,,,,,0,8.238
G1S24_Th228_P5,G1S24,known,Tl-208,single,37.422,337.84,4.5522,7.1391E+004,6760257.1,,,,,0,26.655
G1S24_Y88_P5,G1S24,known,Y-88,single,98.638,301.19,2.8620,2.3640E+004,1123700.2,2.2408E+001,4.5435E+001,,,0,97.673
G1S24_Y88_P5,G1S24,known,Ann-511,nuisance,1.362,16.22,2.8620,5.2369E+002,26777.0,,,,,0,2.327
G1S24_Zn65_P5,G1S24,known,Zn-65,single,92.073,79.00,1.0340,6.9118E+002,7677.6,4.5845E+000,9.4382E+000,,,0,86.727
G1S24_Zn65_P5,G1S24,known,Ann-511,nuisance,7.716,18.60,1.0340,2.4586E+001,1175.0,,,,,0,13.273
