spectrum,det,part,matrix_applied,grey_below_floor,grey_above_lines,grey_pct,spread_floor_kev,spread_floor_ch,residual_floor_kev,residual_floor_ch,first_ch,last_ch,stack_total,missing_pct,excess_pct
G1S16_Am241_P25,G1S16,known,1,0.0,23.0,0.025,0.0,0,30.0,15,0,1023,92058.5,8.435,5.368
G1S16_Ba133_P25,G1S16,known,1,0.0,19.4,0.005,0.0,0,30.0,13,0,1023,368292.2,9.077,4.698
G1S16_Cd109_P25,G1S16,known,1,0.0,36.1,0.223,0.0,0,30.0,13,0,1023,16171.3,92.519,83.524
G1S16_Ce139_P25,G1S16,known,1,0.0,115.4,0.616,0.0,0,30.0,13,0,1023,18747.7,18.442,22.366
G1S16_Co60_P25,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,11,0,1023,429620.6,2.306,2.304
G1S16_Cs137_P25,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,13,0,1023,452703.7,2.547,2.540
G1S16_Eu152_P25,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,14,0,1023,862970.4,4.696,4.761
G1S16_Mn54_P25,G1S16,known,1,0.0,10.9,0.006,0.0,0,30.0,15,0,1023,184003.2,3.291,3.405
G1S16_Na22_P25,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,14,0,1023,1437953.8,2.631,2.414
G1S16_Th228_P25,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,14,0,1023,60348.6,8.140,8.250
G1S16_Y88_P25,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,15,6,1023,9987.6,36.150,80.284
G1S16_Am241_P5,G1S16,known,1,0.0,796.8,0.126,0.0,0,30.0,16,0,1023,634054.6,7.315,1.581
G1S16_Ba133_P5,G1S16,known,1,0.0,474.6,0.010,0.0,0,30.0,13,0,1023,4560288.0,11.162,6.447
G1S16_Cd109_P5,G1S16,known,1,0.0,272.6,0.122,0.0,0,30.0,13,0,1023,222808.7,48.129,3.959
G1S16_Ce139_P5,G1S16,known,1,0.0,756.6,0.313,0.0,0,30.0,13,0,1023,241688.0,11.964,8.500
G1S16_Co57_P5,G1S16,known,1,0.0,181.0,2.248,0.0,0,30.0,14,0,1023,8053.6,20.875,18.912
G1S16_Co60_P5,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,16,0,1023,2844052.4,5.305,3.141
G1S16_Cs137_P5,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,15,0,1023,4930912.5,3.990,3.077
G1S16_Eu152_P5,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,14,0,1023,4939247.6,7.093,5.615
G1S16_Mn54_P5,G1S16,known,1,0.0,432.7,0.067,0.0,0,30.0,25,15,1023,644820.9,3.471,3.378
G1S16_Na22_P5,G1S16,known,1,0.0,304.2,0.006,0.0,0,30.0,9,0,1023,5082295.5,5.065,3.161
G1S16_Th228_P5,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,16,6,1023,357400.8,8.150,6.051
G1S16_Y88_P5,G1S16,known,1,0.0,0.0,0.000,0.0,0,30.0,16,0,1023,50324.7,6.445,6.168
