node,energy_kev,peak_a,sum_a,frac_a,peak_b,sum_b,frac_b,d_peak_pct,d_sum_pct,bins_differ,bins_total
0,35.000,5.541774444E-004,7.438441083E-004,0.745018,5.823560059E-004,7.720226759E-004,0.754325,5.0848,3.7882,17,18
1,82.934,2.935223980E-003,4.955890682E-003,0.592270,3.011334920E-003,5.032001565E-003,0.598437,2.5930,1.5358,42,42
2,196.515,2.274436876E-003,4.793103538E-003,0.474523,2.288076561E-003,4.806743219E-003,0.476014,0.5997,0.2846,99,99
3,465.651,4.934018943E-004,2.303920207E-003,0.214158,4.938193597E-004,2.304135161E-003,0.214319,0.0846,0.0093,231,234
4,1103.379,1.075950859E-004,1.347595087E-003,0.079842,1.075989348E-004,1.347598934E-003,0.079845,0.0036,0.0003,507,553
5,2614.500,1.954522304E-005,1.012545220E-003,0.019303,1.954661639E-005,1.012546616E-003,0.019304,0.0071,0.0001,1097,1308
