node,energy_kev,peak_a,sum_a,frac_a,peak_b,sum_b,frac_b,d_peak_pct,d_sum_pct,bins_differ,bins_total
0,35.000,5.541774444E-004,7.438441083E-004,0.745018,5.823560059E-004,7.720226759E-004,0.754325,5.0848,3.7882,17,18
1,2614.500,1.906175930E-005,9.950617601E-004,0.019156,1.906358193E-005,9.950635819E-004,0.019158,0.0096,0.0002,1096,1308
