node,energy_kev,peak_a,sum_a,frac_a,peak_b,sum_b,frac_b,d_peak_pct,d_sum_pct,bins_differ,bins_total
0,35.000,9.716479480E-002,1.370481278E-001,0.708983,1.050444767E-001,1.449274768E-001,0.724807,8.1096,5.7493,18,18
1,2614.500,4.281998798E-002,1.992763209E-001,0.214877,4.282104969E-002,1.992773829E-001,0.214882,0.0025,0.0005,1306,1308
