node,energy_kev,peak_a,sum_a,frac_a,peak_b,sum_b,frac_b,d_peak_pct,d_sum_pct,bins_differ,bins_total
0,35.000,9.719455242E-002,1.370682183E-001,0.709096,1.050549597E-001,1.449282922E-001,0.724875,8.0873,5.7344,18,18
1,82.934,2.698333263E-001,3.580719924E-001,0.753573,2.779106200E-001,3.661489537E-001,0.759010,2.9934,2.2557,42,42
2,196.515,3.032571375E-001,3.903994707E-001,0.776787,3.046085536E-001,3.917518876E-001,0.777555,0.4456,0.3464,99,99
3,465.651,1.875376701E-001,3.179689315E-001,0.589799,1.875989735E-001,3.180171660E-001,0.589902,0.0327,0.0152,234,234
4,1103.379,9.194435179E-002,2.471803168E-001,0.371973,9.194730967E-002,2.471826733E-001,0.371981,0.0032,0.0010,553,553
5,2614.500,4.302592576E-002,1.994472588E-001,0.215726,4.302754626E-002,1.994490461E-001,0.215732,0.0038,0.0009,1308,1308
