node,energy_kev,peak_a,sum_a,frac_a,peak_b,sum_b,frac_b,d_peak_pct,d_sum_pct,bins_differ,bins_total
0,35.000,5.541774444E-004,7.438441083E-004,0.745018,5.542522995E-004,7.539189612E-004,0.735162,0.0135,1.3544,17,18
1,2614.500,1.906175930E-005,9.950617601E-004,0.019156,1.972298924E-005,1.025389655E-003,0.019235,3.4689,3.0478,1220,1308
