файл,формат,phys,Histories,MinKev,MaxKev,NodeCount,CreatedUtc,BuildSeconds
AS80_lu_front.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 09:52:50,592.5
AS80_point0.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 11:02:29,284.1
ASN16_lu_side.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 10:06:33,451.2
G1S_denta100_oisn10_100_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 10:16:39,606.3
G1S_denta100_risn379_100_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 10:27:21,642.0
G1S_denta120_oisn06_057_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 10:37:15,593.6
G1S_denta120_oisn06_062_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 10:47:05,590.3
G1S_denta120_oisn06_064_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 11:19:09,540.1
G1S_denta120_oisn06_066_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 11:27:50,520.8
G1S_denta120_oisn16_155_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 11:37:07,557.3
G1S_denta120_oisn16_160_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 11:46:15,547.2
G1S_denta120_oisn16_166_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 11:55:22,547.6
G1S_denta120_oisn16_167_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 12:04:35,552.4
G1S_mar1l_oisn06_055_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 12:13:01,506.2
G1S_mar1l_oisn06_057_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 12:21:26,505.2
G1S_mar1l_oisn06_057_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 12:30:32,546.1
G1S_mar1l_oisn06_062_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 12:39:34,541.9
G1S_mar1l_oisn06_062_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 12:48:53,559.0
G1S_mar1l_oisn06_064_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 12:58:12,558.4
G1S_mar1l_oisn06_066_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 13:06:54,522.8
G1S_mar1l_oisn06_066_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 13:16:47,592.4
G1S_mar1l_oisn16_155_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 13:27:06,619.6
G1S_mar1l_oisn16_155_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 13:36:54,587.7
G1S_mar1l_oisn16_160_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 13:46:37,583.3
G1S_mar1l_oisn16_160_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 13:56:24,586.6
G1S_mar1l_oisn16_166_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 14:06:12,588.0
G1S_mar1l_oisn16_166_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 14:15:51,579.1
G1S_mar1l_oisn16_167_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 14:25:32,580.7
G1S_mar1l_oisn16_167_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 14:35:15,582.7
G1S_mar1l_risn379_100_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 14:45:23,608.6
G1S_petri60_oisn06_057_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 14:53:01,457.5
G1S_petri60_oisn06_062_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 15:00:42,460.9
G1S_petri60_oisn06_064_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 15:08:25,463.3
G1S_petri60_oisn06_067_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 15:16:05,460.3
G1S_petri60_oisn10_100_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 15:24:03,478.0
G1S_petri60_oisn16_155_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 15:32:15,491.6
G1S_petri60_oisn16_160_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 15:40:34,499.2
G1S_petri60_oisn16_167_p24.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 15:48:45,490.9
G1S_petri60_risn379_100_p16.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 15:57:38,533.3
G1S_point25.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 16:03:38,359.3
G1S_point5.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 16:11:28,470.0
RC103_lu_front.rmx,7,15,12000000,5.00,3000.00,140,2026-09-03 16:48:12,1402.5
RC103_marinelli05_kcl.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 16:23:50,390.4
RC103_point0.rmx,7,15,3000000,5.00,3000.00,140,2026-09-03 09:42:42,251.8
