detector,chain,energy_keV,intensity_pct_per_chain_decay,intensity_pct_per_nuclide_decay,chain_branching,nuclide,fwhm_keV,role
ASN16,Ra-226,2118.51,1.1560,1.1560,1.0000,Bi-214 (Ra-226),78.9,
ASN16,Ra-226,2204.10,4.9200,4.9200,1.0000,Bi-214 (Ra-226),80.5,
ASN16,Ra-226,2447.69,1.5450,1.5450,1.0000,Bi-214 (Ra-226),84.8,
ASN16,U-238,46.54,4.2433,4.2500,0.9984,Pb-210 (U-238),11.7,
ASN16,U-238,63.29,3.6650,3.6650,1.0000,Th-234 (U-238),13.6,
ASN16,U-238,92.38,2.1300,2.1300,1.0000,Th-234 (U-238),16.5,
ASN16,U-238,186.21,3.6342,3.6400,0.9984,Ra-226 (U-238),23.4,
ASN16,U-238,242.00,7.2498,7.2629,0.9982,Pb-214 (U-238),26.7,
ASN16,U-238,295.22,18.4376,18.4709,0.9982,Pb-214 (U-238),29.5,
ASN16,U-238,351.93,35.6594,35.7237,0.9982,Pb-214 (U-238),32.2,
ASN16,U-238,609.32,45.3673,45.4400,0.9984,Bi-214 (U-238),42.3,
ASN16,U-238,665.45,1.5375,1.5400,0.9984,Bi-214 (U-238),44.2,
ASN16,U-238,768.36,4.8822,4.8900,0.9984,Bi-214 (U-238),47.5,
ASN16,U-238,806.18,1.2600,1.2620,0.9984,Bi-214 (U-238),48.7,
ASN16,U-238,934.06,3.0890,3.0940,0.9984,Bi-214 (U-238),52.4,
ASN16,U-238,1001.03,0.8420,0.8420,1.0000,234PAm1 (U-238),54.3,anchor
ASN16,U-238,1120.29,14.8762,14.9000,0.9984,Bi-214 (U-238),57.4,
ASN16,U-238,1238.12,5.8207,5.8300,0.9984,Bi-214 (U-238),60.3,
ASN16,U-238,1377.67,3.9786,3.9850,0.9984,Bi-214 (U-238),63.6,
ASN16,U-238,1509.21,2.1236,2.1270,0.9984,Bi-214 (U-238),66.6,
ASN16,U-238,1661.27,1.0443,1.0460,0.9984,Bi-214 (U-238),69.9,
ASN16,U-238,1764.49,15.2655,15.2900,0.9984,Bi-214 (U-238),72.0,
ASN16,U-238,1847.43,2.0238,2.0270,0.9984,Bi-214 (U-238),73.7,
ASN16,U-238,2118.51,1.1542,1.1560,0.9984,Bi-214 (U-238),78.9,
ASN16,U-238,2204.10,4.9121,4.9200,0.9984,Bi-214 (U-238),80.5,
ASN16,U-238,2447.69,1.5425,1.5450,0.9984,Bi-214 (U-238),84.8,
ASN16,U-235,50.13,8.2693,8.3850,0.9862,Th-227 (U-235),12.1,
ASN16,U-235,84.21,6.6000,6.6000,1.0000,Th-231 (U-235),15.7,
ASN16,U-235,109.19,1.6600,1.6600,1.0000,U-235 (U-235),17.9,
ASN16,U-235,143.76,10.9600,10.9600,1.0000,U-235 (U-235),20.6,
ASN16,U-235,163.36,5.0800,5.0800,1.0000,U-235 (U-235),21.9,
ASN16,U-235,185.72,57.0000,57.0000,1.0000,U-235 (U-235),23.4,anchor
ASN16,U-235,205.32,5.0200,5.0200,1.0000,U-235 (U-235),24.6,
ASN16,U-235,235.96,12.7220,12.9000,0.9862,Th-227 (U-235),26.3,
ASN16,U-235,269.46,13.3042,13.3042,1.0000,Ra-223 (U-235),28.1,
ASN16,U-235,300.07,2.4092,2.4092,1.0000,Pa-231 (U-235),29.7,
ASN16,U-235,323.87,3.6421,3.6421,1.0000,Ra-223 (U-235),30.9,
ASN16,U-235,351.07,13.0200,13.0200,1.0000,Bi-211 (U-235),32.1,
ASN16,U-235,401.81,6.5880,6.5880,1.0000,Rn-219 (U-235),34.4,
ASN16,U-235,427.09,1.7558,1.7558,1.0000,Pb-211 (U-235),35.4,
ASN16,U-235,832.01,3.5244,3.5244,1.0000,Pb-211 (U-235),49.5,
AS80x80,Th-232,84.37,1.1880,1.1880,1.0000,Th-228 (Th-232),18.1,
AS80x80,Th-232,99.51,1.2600,1.2600,1.0000,Ac-228 (Th-232),19.6,
AS80x80,Th-232,129.06,2.4200,2.4200,1.0000,Ac-228 (Th-232),22.4,
AS80x80,Th-232,209.25,3.8900,3.8900,1.0000,Ac-228 (Th-232),28.5,
AS80x80,Th-232,238.63,43.6000,43.6000,1.0000,Pb-212 (Th-232),30.4,
AS80x80,Th-232,270.25,3.4600,3.4600,1.0000,Ac-228 (Th-232),32.4,
AS80x80,Th-232,300.09,3.3005,3.3005,1.0000,Pb-212 (Th-232),34.1,
AS80x80,Th-232,338.32,11.2700,11.2700,1.0000,Ac-228 (Th-232),36.2,
AS80x80,Th-232,409.46,1.9200,1.9200,1.0000,Ac-228 (Th-232),39.8,
AS80x80,Th-232,463.00,4.4000,4.4000,1.0000,Ac-228 (Th-232),42.4,
AS80x80,Th-232,510.77,8.1224,22.6000,0.3594,Tl-208 (Th-232),44.5,
AS80x80,Th-232,583.19,30.5490,85.0000,0.3594,Tl-208 (Th-232),47.5,
AS80x80,Th-232,674.75,2.1000,2.1000,1.0000,Ac-228 (Th-232),51.1,
AS80x80,Th-232,727.33,6.6700,6.6700,1.0000,Bi-212 (Th-232),53.1,
AS80x80,Th-232,794.95,4.2500,4.2500,1.0000,Ac-228 (Th-232),55.5,
AS80x80,Th-232,860.56,4.4925,12.5000,0.3594,Tl-208 (Th-232),57.8,
AS80x80,Th-232,911.20,25.8000,25.8000,1.0000,Ac-228 (Th-232),59.4,
AS80x80,Th-232,968.97,15.8000,15.8000,1.0000,Ac-228 (Th-232),61.3,
AS80x80,Th-232,1588.20,3.2200,3.2200,1.0000,Ac-228 (Th-232),78.5,
AS80x80,Th-232,2614.51,35.8516,99.7540,0.3594,Tl-208 (Th-232),100.7,anchor
AS80x80,Ra-226,46.54,4.2501,4.2500,1.0000,Pb-210 (Ra-226),13.4,
AS80x80,Ra-226,186.21,3.6400,3.6400,1.0000,Ra-226 (Ra-226),26.9,
AS80x80,Ra-226,242.00,7.2615,7.2629,0.9998,Pb-214 (Ra-226),30.6,
AS80x80,Ra-226,295.22,18.4672,18.4709,0.9998,Pb-214 (Ra-226),33.8,
AS80x80,Ra-226,351.93,35.7166,35.7237,0.9998,Pb-214 (Ra-226),36.9,
AS80x80,Ra-226,609.32,45.4400,45.4400,1.0000,Bi-214 (Ra-226),48.6,anchor
AS80x80,Ra-226,665.45,1.5400,1.5400,1.0000,Bi-214 (Ra-226),50.8,
AS80x80,Ra-226,768.36,4.8900,4.8900,1.0000,Bi-214 (Ra-226),54.6,
AS80x80,Ra-226,934.06,3.0940,3.0940,1.0000,Bi-214 (Ra-226),60.2,
AS80x80,Ra-226,1120.29,14.9000,14.9000,1.0000,Bi-214 (Ra-226),65.9,
AS80x80,Ra-226,1238.12,5.8300,5.8300,1.0000,Bi-214 (Ra-226),69.3,
AS80x80,Ra-226,1377.67,3.9850,3.9850,1.0000,Bi-214 (Ra-226),73.1,
AS80x80,Ra-226,1509.21,2.1270,2.1270,1.0000,Bi-214 (Ra-226),76.5,
AS80x80,Ra-226,1661.27,1.0460,1.0460,1.0000,Bi-214 (Ra-226),80.3,
AS80x80,Ra-226,1764.49,15.2900,15.2900,1.0000,Bi-214 (Ra-226),82.7,
AS80x80,Ra-226,1847.43,2.0270,2.0270,1.0000,Bi-214 (Ra-226),84.6,
AS80x80,Ra-226,2118.51,1.1560,1.1560,1.0000,Bi-214 (Ra-226),90.6,
AS80x80,Ra-226,2204.10,4.9200,4.9200,1.0000,Bi-214 (Ra-226),92.4,
AS80x80,Ra-226,2447.69,1.5450,1.5450,1.0000,Bi-214 (Ra-226),97.4,
AS80x80,U-238,46.54,4.2433,4.2500,0.9984,Pb-210 (U-238),13.4,
AS80x80,U-238,63.29,3.6650,3.6650,1.0000,Th-234 (U-238),15.7,
AS80x80,U-238,92.38,2.1300,2.1300,1.0000,Th-234 (U-238),18.9,
AS80x80,U-238,186.21,3.6342,3.6400,0.9984,Ra-226 (U-238),26.9,
AS80x80,U-238,242.00,7.2498,7.2629,0.9982,Pb-214 (U-238),30.6,
AS80x80,U-238,295.22,18.4376,18.4709,0.9982,Pb-214 (U-238),33.8,
AS80x80,U-238,351.93,35.6594,35.7237,0.9982,Pb-214 (U-238),36.9,
AS80x80,U-238,609.32,45.3673,45.4400,0.9984,Bi-214 (U-238),48.6,
AS80x80,U-238,665.45,1.5375,1.5400,0.9984,Bi-214 (U-238),50.8,
AS80x80,U-238,768.36,4.8822,4.8900,0.9984,Bi-214 (U-238),54.6,
AS80x80,U-238,934.06,3.0890,3.0940,0.9984,Bi-214 (U-238),60.2,
AS80x80,U-238,1001.03,0.8420,0.8420,1.0000,234PAm1 (U-238),62.3,anchor
AS80x80,U-238,1120.29,14.8762,14.9000,0.9984,Bi-214 (U-238),65.9,
AS80x80,U-238,1238.12,5.8207,5.8300,0.9984,Bi-214 (U-238),69.3,
AS80x80,U-238,1377.67,3.9786,3.9850,0.9984,Bi-214 (U-238),73.1,
AS80x80,U-238,1509.21,2.1236,2.1270,0.9984,Bi-214 (U-238),76.5,
AS80x80,U-238,1661.27,1.0443,1.0460,0.9984,Bi-214 (U-238),80.3,
AS80x80,U-238,1764.49,15.2655,15.2900,0.9984,Bi-214 (U-238),82.7,
AS80x80,U-238,1847.43,2.0238,2.0270,0.9984,Bi-214 (U-238),84.6,
AS80x80,U-238,2118.51,1.1542,1.1560,0.9984,Bi-214 (U-238),90.6,
AS80x80,U-238,2204.10,4.9121,4.9200,0.9984,Bi-214 (U-238),92.4,
AS80x80,U-238,2447.69,1.5425,1.5450,0.9984,Bi-214 (U-238),97.4,
AS80x80,U-235,50.13,8.2693,8.3850,0.9862,Th-227 (U-235),13.9,
AS80x80,U-235,84.21,6.6000,6.6000,1.0000,Th-231 (U-235),18.1,
AS80x80,U-235,109.19,1.6600,1.6600,1.0000,U-235 (U-235),20.6,
AS80x80,U-235,143.76,10.9600,10.9600,1.0000,U-235 (U-235),23.6,
AS80x80,U-235,163.36,5.0800,5.0800,1.0000,U-235 (U-235),25.2,
AS80x80,U-235,185.72,57.0000,57.0000,1.0000,U-235 (U-235),26.8,anchor
AS80x80,U-235,210.62,1.2340,1.2513,0.9862,Th-227 (U-235),28.6,
AS80x80,U-235,235.96,12.7220,12.9000,0.9862,Th-227 (U-235),30.2,
AS80x80,U-235,269.46,13.3042,13.3042,1.0000,Ra-223 (U-235),32.3,
AS80x80,U-235,299.98,2.1755,2.2059,0.9862,Th-227 (U-235),34.1,
AS80x80,U-235,323.87,3.6421,3.6421,1.0000,Ra-223 (U-235),35.4,
AS80x80,U-235,351.07,13.0200,13.0200,1.0000,Bi-211 (U-235),36.9,
AS80x80,U-235,401.81,6.5880,6.5880,1.0000,Rn-219 (U-235),39.5,
AS80x80,U-235,445.03,1.2184,1.2184,1.0000,Ra-223 (U-235),41.5,
AS80x80,U-235,832.01,3.5244,3.5244,1.0000,Pb-211 (U-235),56.8,
RC103,Th-232,84.37,1.1880,1.1880,1.0000,Th-228 (Th-232),20.1,
RC103,Th-232,99.51,1.2600,1.2600,1.0000,Ac-228 (Th-232),21.8,
RC103,Th-232,129.06,2.4200,2.4200,1.0000,Ac-228 (Th-232),24.8,
RC103,Th-232,209.25,3.8900,3.8900,1.0000,Ac-228 (Th-232),31.6,
RC103,Th-232,238.63,43.6000,43.6000,1.0000,Pb-212 (Th-232),33.7,
RC103,Th-232,270.25,3.4600,3.4600,1.0000,Ac-228 (Th-232),35.9,
RC103,Th-232,300.09,3.3005,3.3005,1.0000,Pb-212 (Th-232),37.8,
RC103,Th-232,338.32,11.2700,11.2700,1.0000,Ac-228 (Th-232),40.2,
RC103,Th-232,409.46,1.9200,1.9200,1.0000,Ac-228 (Th-232),44.2,
RC103,Th-232,463.00,4.4000,4.4000,1.0000,Ac-228 (Th-232),47.0,
RC103,Th-232,510.77,8.1224,22.6000,0.3594,Tl-208 (Th-232),49.4,
RC103,Th-232,583.19,30.5490,85.0000,0.3594,Tl-208 (Th-232),52.8,
RC103,Th-232,674.75,2.1000,2.1000,1.0000,Ac-228 (Th-232),56.7,
RC103,Th-232,727.33,6.6700,6.6700,1.0000,Bi-212 (Th-232),58.9,
RC103,Th-232,794.95,4.2500,4.2500,1.0000,Ac-228 (Th-232),61.6,
RC103,Th-232,860.56,4.4925,12.5000,0.3594,Tl-208 (Th-232),64.1,
RC103,Th-232,911.20,25.8000,25.8000,1.0000,Ac-228 (Th-232),65.9,
RC103,Th-232,968.97,15.8000,15.8000,1.0000,Ac-228 (Th-232),68.0,
RC103,Th-232,1588.20,3.2200,3.2200,1.0000,Ac-228 (Th-232),87.1,
RC103,Th-232,2614.51,35.8516,99.7540,0.3594,Tl-208 (Th-232),111.7,anchor
RC103,Ra-226,46.54,4.2501,4.2500,1.0000,Pb-210 (Ra-226),14.9,
RC103,Ra-226,186.21,3.6400,3.6400,1.0000,Ra-226 (Ra-226),29.8,
RC103,Ra-226,242.00,7.2615,7.2629,0.9998,Pb-214 (Ra-226),34.0,
RC103,Ra-226,295.22,18.4672,18.4709,0.9998,Pb-214 (Ra-226),37.5,
RC103,Ra-226,351.93,35.7166,35.7237,0.9998,Pb-214 (Ra-226),41.0,
RC103,Ra-226,609.32,45.4400,45.4400,1.0000,Bi-214 (Ra-226),53.9,anchor
RC103,Ra-226,665.45,1.5400,1.5400,1.0000,Bi-214 (Ra-226),56.3,
RC103,Ra-226,768.36,4.8900,4.8900,1.0000,Bi-214 (Ra-226),60.5,
RC103,Ra-226,934.06,3.0940,3.0940,1.0000,Bi-214 (Ra-226),66.8,
RC103,Ra-226,1120.29,14.9000,14.9000,1.0000,Bi-214 (Ra-226),73.1,
RC103,Ra-226,1238.12,5.8300,5.8300,1.0000,Bi-214 (Ra-226),76.9,
RC103,Ra-226,1377.67,3.9850,3.9850,1.0000,Bi-214 (Ra-226),81.1,
RC103,Ra-226,1509.21,2.1270,2.1270,1.0000,Bi-214 (Ra-226),84.9,
RC103,Ra-226,1661.27,1.0460,1.0460,1.0000,Bi-214 (Ra-226),89.0,
RC103,Ra-226,1764.49,15.2900,15.2900,1.0000,Bi-214 (Ra-226),91.8,
RC103,Ra-226,1847.43,2.0270,2.0270,1.0000,Bi-214 (Ra-226),93.9,
RC103,Ra-226,2118.51,1.1560,1.1560,1.0000,Bi-214 (Ra-226),100.5,
RC103,Ra-226,2204.10,4.9200,4.9200,1.0000,Bi-214 (Ra-226),102.6,
RC103,Ra-226,2447.69,1.5450,1.5450,1.0000,Bi-214 (Ra-226),108.1,
RC103,U-238,46.54,4.2433,4.2500,0.9984,Pb-210 (U-238),14.9,
RC103,U-238,63.29,3.6650,3.6650,1.0000,Th-234 (U-238),17.4,
RC103,U-238,92.38,2.1300,2.1300,1.0000,Th-234 (U-238),21.0,
RC103,U-238,186.21,3.6342,3.6400,0.9984,Ra-226 (U-238),29.8,
RC103,U-238,242.00,7.2498,7.2629,0.9982,Pb-214 (U-238),34.0,
RC103,U-238,295.22,18.4376,18.4709,0.9982,Pb-214 (U-238),37.5,
RC103,U-238,351.93,35.6594,35.7237,0.9982,Pb-214 (U-238),41.0,
RC103,U-238,609.32,45.3673,45.4400,0.9984,Bi-214 (U-238),53.9,
RC103,U-238,665.45,1.5375,1.5400,0.9984,Bi-214 (U-238),56.3,
RC103,U-238,768.36,4.8822,4.8900,0.9984,Bi-214 (U-238),60.5,
RC103,U-238,934.06,3.0890,3.0940,0.9984,Bi-214 (U-238),66.8,
RC103,U-238,1001.03,0.8420,0.8420,1.0000,234PAm1 (U-238),69.1,anchor
RC103,U-238,1120.29,14.8762,14.9000,0.9984,Bi-214 (U-238),73.1,
RC103,U-238,1238.12,5.8207,5.8300,0.9984,Bi-214 (U-238),76.9,
RC103,U-238,1377.67,3.9786,3.9850,0.9984,Bi-214 (U-238),81.1,
RC103,U-238,1509.21,2.1236,2.1270,0.9984,Bi-214 (U-238),84.9,
RC103,U-238,1661.27,1.0443,1.0460,0.9984,Bi-214 (U-238),89.0,
RC103,U-238,1764.49,15.2655,15.2900,0.9984,Bi-214 (U-238),91.8,
RC103,U-238,1847.43,2.0238,2.0270,0.9984,Bi-214 (U-238),93.9,
RC103,U-238,2118.51,1.1542,1.1560,0.9984,Bi-214 (U-238),100.5,
RC103,U-238,2204.10,4.9121,4.9200,0.9984,Bi-214 (U-238),102.6,
RC103,U-238,2447.69,1.5425,1.5450,0.9984,Bi-214 (U-238),108.1,
RC103,U-235,50.13,8.2693,8.3850,0.9862,Th-227 (U-235),15.5,
RC103,U-235,84.21,6.6000,6.6000,1.0000,Th-231 (U-235),20.0,
RC103,U-235,109.19,1.6600,1.6600,1.0000,U-235 (U-235),22.8,
RC103,U-235,143.76,10.9600,10.9600,1.0000,U-235 (U-235),26.2,
RC103,U-235,163.36,5.0800,5.0800,1.0000,U-235 (U-235),27.9,
RC103,U-235,185.72,57.0000,57.0000,1.0000,U-235 (U-235),29.8,anchor
RC103,U-235,210.62,1.2340,1.2513,0.9862,Th-227 (U-235),31.7,
RC103,U-235,235.96,12.7220,12.9000,0.9862,Th-227 (U-235),33.6,
RC103,U-235,269.46,13.3042,13.3042,1.0000,Ra-223 (U-235),35.9,
RC103,U-235,300.07,2.4092,2.4092,1.0000,Pa-231 (U-235),37.8,
RC103,U-235,351.07,13.0200,13.0200,1.0000,Bi-211 (U-235),40.9,
RC103,U-235,401.81,6.5880,6.5880,1.0000,Rn-219 (U-235),43.8,
RC103,U-235,445.03,1.2184,1.2184,1.0000,Ra-223 (U-235),46.1,
RC103,U-235,832.01,3.5244,3.5244,1.0000,Pb-211 (U-235),63.0,
