detector,chain,energy_keV,intensity_pct_per_chain_decay,intensity_pct_per_nuclide_decay,chain_branching,nuclide,fwhm_keV,role
ASN16,Th-232,84.37,1.1880,1.1880,1.0000,Th-228 (Th-232),15.8,
ASN16,Th-232,99.51,1.2600,1.2600,1.0000,Ac-228 (Th-232),17.1,
ASN16,Th-232,129.06,2.4200,2.4200,1.0000,Ac-228 (Th-232),19.5,
ASN16,Th-232,209.25,3.8900,3.8900,1.0000,Ac-228 (Th-232),24.8,
ASN16,Th-232,238.63,43.6000,43.6000,1.0000,Pb-212 (Th-232),26.5,
ASN16,Th-232,270.25,3.4600,3.4600,1.0000,Ac-228 (Th-232),28.2,
ASN16,Th-232,300.09,3.3005,3.3005,1.0000,Pb-212 (Th-232),29.7,
ASN16,Th-232,338.32,11.2700,11.2700,1.0000,Ac-228 (Th-232),31.5,
ASN16,Th-232,409.46,1.9200,1.9200,1.0000,Ac-228 (Th-232),34.7,
ASN16,Th-232,463.00,4.4000,4.4000,1.0000,Ac-228 (Th-232),36.9,
ASN16,Th-232,510.77,8.1224,22.6000,0.3594,Tl-208 (Th-232),38.8,
ASN16,Th-232,583.19,30.5490,85.0000,0.3594,Tl-208 (Th-232),41.4,
ASN16,Th-232,674.75,2.1000,2.1000,1.0000,Ac-228 (Th-232),44.5,
ASN16,Th-232,727.33,6.6700,6.6700,1.0000,Bi-212 (Th-232),46.2,
ASN16,Th-232,794.95,4.2500,4.2500,1.0000,Ac-228 (Th-232),48.3,
ASN16,Th-232,860.56,4.4925,12.5000,0.3594,Tl-208 (Th-232),50.3,
ASN16,Th-232,911.20,25.8000,25.8000,1.0000,Ac-228 (Th-232),51.8,
ASN16,Th-232,968.97,15.8000,15.8000,1.0000,Ac-228 (Th-232),53.4,
ASN16,Th-232,1588.20,3.2200,3.2200,1.0000,Ac-228 (Th-232),68.3,
ASN16,Th-232,2614.51,35.8516,99.7540,0.3594,Tl-208 (Th-232),87.7,anchor
ASN16,Ra-226,46.54,4.2501,4.2500,1.0000,Pb-210 (Ra-226),11.7,
ASN16,Ra-226,186.21,3.6400,3.6400,1.0000,Ra-226 (Ra-226),23.4,
ASN16,Ra-226,242.00,7.2615,7.2629,0.9998,Pb-214 (Ra-226),26.7,
ASN16,Ra-226,295.22,18.4672,18.4709,0.9998,Pb-214 (Ra-226),29.5,
ASN16,Ra-226,351.93,35.7166,35.7237,0.9998,Pb-214 (Ra-226),32.2,
ASN16,Ra-226,609.32,45.4400,45.4400,1.0000,Bi-214 (Ra-226),42.3,anchor
ASN16,Ra-226,665.45,1.5400,1.5400,1.0000,Bi-214 (Ra-226),44.2,
ASN16,Ra-226,768.36,4.8900,4.8900,1.0000,Bi-214 (Ra-226),47.5,
ASN16,Ra-226,806.18,1.2620,1.2620,1.0000,Bi-214 (Ra-226),48.7,
ASN16,Ra-226,934.06,3.0940,3.0940,1.0000,Bi-214 (Ra-226),52.4,
ASN16,Ra-226,1120.29,14.9000,14.9000,1.0000,Bi-214 (Ra-226),57.4,
ASN16,Ra-226,1238.12,5.8300,5.8300,1.0000,Bi-214 (Ra-226),60.3,
ASN16,Ra-226,1377.67,3.9850,3.9850,1.0000,Bi-214 (Ra-226),63.6,
ASN16,Ra-226,1509.21,2.1270,2.1270,1.0000,Bi-214 (Ra-226),66.6,
ASN16,Ra-226,1661.27,1.0460,1.0460,1.0000,Bi-214 (Ra-226),69.9,
ASN16,Ra-226,1764.49,15.2900,15.2900,1.0000,Bi-214 (Ra-226),72.0,
ASN16,Ra-226,1847.43,2.0270,2.0270,1.0000,Bi-214 (Ra-226),73.7,
