detector,min_snr,roi_radius_fwhm,max_extra_per_roi,recall_pct,gain_over_finder_pp,extra_peaks,unexplained_loose,unexplained_strict,ms
ASN16,4,5.0,1,57.7,6.2,2.5,0.00,0.25,9445
ASN16,4,5.0,2,58.8,7.2,3.0,0.00,0.25,9469
ASN16,4,5.0,3,58.8,7.2,3.2,0.00,0.25,11183
ASN16,4,5.0,4,54.6,3.1,1.2,0.00,0.00,11029
ASN16,4,5.0,5,56.7,5.2,2.2,0.00,0.00,13697
ASN16,5,2.0,1,50.5,1.0,0.8,0.00,0.00,3627
ASN16,5,2.0,2,51.5,2.1,0.8,0.00,0.00,2687
ASN16,5,2.0,3,50.5,1.0,0.5,0.25,0.25,2556
ASN16,5,2.0,4,49.5,0.0,0.0,0.00,0.00,3308
ASN16,5,2.0,5,50.5,1.0,0.2,0.00,0.00,4076
ASN16,5,3.0,1,52.6,3.1,1.0,0.00,0.00,5068
ASN16,5,3.0,2,53.6,4.1,2.0,0.00,0.00,4666
ASN16,5,3.0,3,52.6,3.1,1.5,0.00,0.00,4730
ASN16,5,3.0,4,53.6,4.1,1.8,0.00,0.00,5771
ASN16,5,3.0,5,55.7,6.2,2.2,0.00,0.00,6247
ASN16,5,4.0,1,51.5,2.1,1.2,0.00,0.00,6660
ASN16,5,4.0,2,55.7,6.2,2.5,0.00,0.00,6294
ASN16,5,4.0,3,52.6,3.1,1.5,0.00,0.00,7960
ASN16,5,4.0,4,54.6,5.2,2.8,0.00,0.00,6838
ASN16,5,4.0,5,57.7,8.2,2.5,0.00,0.00,9192
ASN16,5,5.0,1,53.6,4.1,2.2,0.00,0.25,7644
ASN16,5,5.0,2,56.7,7.2,3.0,0.00,0.25,7632
ASN16,5,5.0,3,57.7,8.2,3.8,0.00,0.25,7730
ASN16,5,5.0,4,54.6,5.2,2.0,0.00,0.00,10100
ASN16,5,5.0,5,54.6,5.2,2.5,0.00,0.00,10045
ASN16,6,2.0,1,49.5,1.0,0.8,0.00,0.00,2696
