detector,deconvolution,k_fwhm,i_min_pct,recall_pct,vs_baseline_pp,library_peaks,phantom_lines,finder_peaks_lost,ms
ASN16,off,,,51.5,,,,,
ASN16,off,0.50,0.50,73.7,+22.1,10.31,12.25,2.00,756
ASN16,off,0.50,1.00,73.2,+21.7,8.75,9.00,1.62,492
ASN16,off,0.50,2.00,64.9,+13.4,5.38,5.69,0.94,232
ASN16,off,0.70,0.50,72.8,+21.3,8.44,10.81,1.38,416
ASN16,off,0.70,1.00,71.9,+20.4,7.31,8.44,1.19,303
ASN16,off,0.70,2.00,64.9,+13.4,5.38,5.19,0.94,217
ASN16,off,0.85,0.50,72.8,+21.3,8.12,10.31,1.12,323
ASN16,off,0.85,1.00,71.1,+19.5,6.94,8.50,0.94,261
ASN16,off,0.85,2.00,64.5,+12.9,5.25,4.88,0.88,206
ASN16,on,,,55.2,,,,,
ASN16,on,0.50,0.50,75.4,+20.3,9.94,11.81,1.97,6606
ASN16,on,0.50,1.00,75.2,+20.1,8.53,8.69,1.62,6633
ASN16,on,0.50,2.00,68.0,+12.8,5.16,5.53,0.88,5492
ASN16,on,0.70,0.50,74.8,+19.6,8.09,10.38,1.31,6404
ASN16,on,0.70,1.00,74.1,+19.0,7.09,8.12,1.12,6248
ASN16,on,0.70,2.00,68.0,+12.8,5.16,5.03,0.88,5654
ASN16,on,0.85,0.50,75.2,+20.1,7.88,9.91,1.06,5776
ASN16,on,0.85,1.00,73.5,+18.3,6.69,8.19,0.88,5897
ASN16,on,0.85,2.00,67.5,+12.4,5.03,4.72,0.81,5510
AS80x80,off,,,46.2,,,,,
AS80x80,off,0.50,0.50,83.2,+37.0,6.69,7.06,1.25,423
AS80x80,off,0.50,1.00,82.1,+36.0,5.56,5.44,1.12,421
AS80x80,off,0.50,2.00,70.5,+24.4,3.31,3.62,0.56,195
AS80x80,off,0.70,0.50,83.2,+37.0,5.50,7.00,0.81,260
AS80x80,off,0.70,1.00,82.1,+36.0,4.81,5.12,0.81,258
AS80x80,off,0.70,2.00,70.5,+24.4,3.31,3.62,0.56,221
AS80x80,off,0.85,0.50,81.1,+34.9,5.25,6.25,0.69,240
AS80x80,off,0.85,1.00,80.0,+33.8,4.56,5.06,0.69,213
AS80x80,off,0.85,2.00,69.5,+23.3,3.19,3.62,0.50,200
AS80x80,on,,,51.9,,,,,
AS80x80,on,0.50,0.50,83.2,+31.2,6.53,6.97,1.28,7258
AS80x80,on,0.50,1.00,82.1,+30.2,5.41,5.38,1.12,7263
AS80x80,on,0.50,2.00,72.1,+20.2,3.31,3.69,0.66,7518
AS80x80,on,0.70,0.50,83.2,+31.2,5.38,6.84,0.88,6866
AS80x80,on,0.70,1.00,82.1,+30.2,4.66,5.12,0.81,7063
AS80x80,on,0.70,2.00,72.1,+20.2,3.31,3.62,0.66,6886
AS80x80,on,0.85,0.50,81.6,+29.7,5.28,6.22,0.78,7078
AS80x80,on,0.85,1.00,80.5,+28.6,4.56,5.06,0.72,7019
AS80x80,on,0.85,2.00,71.1,+19.1,3.28,3.62,0.59,6600
RC103,off,,,45.0,,,,,
RC103,off,0.50,0.50,95.0,+50.0,4.50,5.00,1.00,74
RC103,off,0.50,1.00,95.0,+50.0,3.00,3.25,0.50,44
RC103,off,0.50,2.00,85.0,+40.0,2.50,1.75,0.50,40
RC103,off,0.70,0.50,95.0,+50.0,3.75,5.00,0.50,66
RC103,off,0.70,1.00,95.0,+50.0,3.00,3.25,0.50,46
RC103,off,0.70,2.00,85.0,+40.0,2.50,1.75,0.50,38
RC103,off,0.85,0.50,75.0,+30.0,2.50,4.50,0.25,22
RC103,off,0.85,1.00,75.0,+30.0,1.75,3.00,0.25,20
RC103,off,0.85,2.00,70.0,+25.0,1.50,1.75,0.25,25
RC103,on,,,52.5,,,,,
RC103,on,0.50,0.50,90.0,+37.5,6.25,6.75,1.38,523
RC103,on,0.50,1.00,90.0,+37.5,4.88,4.75,1.00,407
RC103,on,0.50,2.00,85.0,+32.5,4.00,2.62,0.75,301
RC103,on,0.70,0.50,90.0,+37.5,5.75,6.62,1.00,384
RC103,on,0.70,1.00,90.0,+37.5,4.88,4.88,1.00,410
RC103,on,0.70,2.00,85.0,+32.5,4.38,2.75,0.75,395
RC103,on,0.85,0.50,80.0,+27.5,5.62,6.25,1.00,422
RC103,on,0.85,1.00,80.0,+27.5,4.75,4.75,1.00,420
RC103,on,0.85,2.00,75.0,+22.5,3.75,2.88,0.62,352
