arm;line_kev;node_kev;bin;dep_kev;peak;compton;esc_se;esc_xray;esc_de;esc_lx;total
direct_peakw0_seed1;100.000;100.0000;33;66.00;0.000000E+000;3.914954E-005;0.000000E+000;9.818961E-005;0.000000E+000;0.000000E+000;1.373391E-004
direct_peakw0_seed1;100.000;100.0000;34;68.00;0.000000E+000;4.820446E-005;0.000000E+000;4.414695E-004;0.000000E+000;0.000000E+000;4.896739E-004
direct_peakw0_seed1;100.000;100.0000;35;70.00;0.000000E+000;4.327828E-005;0.000000E+000;4.836669E-004;0.000000E+000;0.000000E+000;5.269451E-004
direct_peakw0_seed1;100.000;100.0000;36;72.00;0.000000E+000;3.494968E-005;0.000000E+000;2.700484E-004;0.000000E+000;0.000000E+000;3.049980E-004
direct_peakw0_seed1;100.000;100.0000;37;74.00;0.000000E+000;5.094684E-005;0.000000E+000;8.938042E-007;0.000000E+000;0.000000E+000;5.184065E-005
direct_peakw0_seed1;100.000;100.0000;38;76.00;0.000000E+000;1.021787E-004;0.000000E+000;1.991063E-006;0.000000E+000;0.000000E+000;1.041698E-004
direct_peakw0_seed1;100.000;100.0000;39;78.00;0.000000E+000;1.375845E-004;0.000000E+000;2.681291E-006;0.000000E+000;0.000000E+000;1.402658E-004
direct_peakw0_seed1;100.000;100.0000;40;80.00;0.000000E+000;1.489664E-004;0.000000E+000;2.306919E-006;0.000000E+000;0.000000E+000;1.512734E-004
direct_peakw0_seed1;100.000;100.0000;41;82.00;0.000000E+000;1.596967E-004;0.000000E+000;1.808776E-006;0.000000E+000;0.000000E+000;1.615054E-004
direct_peakw0_seed1;100.000;100.0000;42;84.00;0.000000E+000;1.702905E-004;0.000000E+000;1.081007E-006;0.000000E+000;0.000000E+000;1.713715E-004
direct_peakw0_seed1;100.000;100.0000;43;86.00;0.000000E+000;1.894736E-004;0.000000E+000;1.667729E-006;0.000000E+000;0.000000E+000;1.911414E-004
direct_peakw0_seed1;100.000;100.0000;44;88.00;0.000000E+000;1.957174E-004;0.000000E+000;2.043946E-006;0.000000E+000;0.000000E+000;1.977614E-004
direct_peakw0_seed1;100.000;100.0000;45;90.00;0.000000E+000;2.251538E-004;0.000000E+000;2.049627E-006;0.000000E+000;0.000000E+000;2.272035E-004
direct_peakw0_seed1;100.000;100.0000;46;92.00;0.000000E+000;2.504177E-004;0.000000E+000;1.267598E-006;0.000000E+000;0.000000E+000;2.516853E-004
direct_peakw0_seed1;100.000;100.0000;47;94.00;0.000000E+000;3.083927E-004;0.000000E+000;3.667081E-006;0.000000E+000;0.000000E+000;3.120597E-004
direct_peakw0_seed1;100.000;100.0000;48;96.00;0.000000E+000;3.424691E-004;0.000000E+000;1.295981E-005;0.000000E+000;9.086820E-007;3.563376E-004
direct_peakw0_seed1;100.000;100.0000;49;98.00;0.000000E+000;3.554149E-004;0.000000E+000;3.136123E-005;0.000000E+000;9.131804E-008;3.868674E-004
direct_peakw0_seed1;100.000;100.0000;50;100.00;1.994092E-002;1.975147E-004;0.000000E+000;2.220122E-006;0.000000E+000;0.000000E+000;2.014065E-002
direct_peakw0_seed1;200.000;200.0000;0;0.00;0.000000E+000;8.840745E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;8.840745E-005
direct_peakw0_seed1;200.000;200.0000;1;2.00;0.000000E+000;1.053873E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.053873E-004
direct_peakw0_seed1;200.000;200.0000;2;4.00;0.000000E+000;1.255020E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.255020E-004
direct_peakw0_seed1;200.000;200.0000;3;6.00;0.000000E+000;1.430366E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.430366E-004
direct_peakw0_seed1;200.000;200.0000;4;8.00;0.000000E+000;1.122658E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.122658E-004
direct_peakw0_seed1;200.000;200.0000;5;10.00;0.000000E+000;1.293037E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.293037E-004
direct_peakw0_seed1;200.000;200.0000;6;12.00;0.000000E+000;1.226130E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.226130E-004
direct_peakw0_seed1;200.000;200.0000;7;14.00;0.000000E+000;1.348716E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.348716E-004
direct_peakw0_seed1;200.000;200.0000;8;16.00;0.000000E+000;1.429528E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.429528E-004
direct_peakw0_seed1;200.000;200.0000;9;18.00;0.000000E+000;1.587217E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.587217E-004
direct_peakw0_seed1;200.000;200.0000;10;20.00;0.000000E+000;1.733313E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.733313E-004
direct_peakw0_seed1;200.000;200.0000;11;22.00;0.000000E+000;2.478563E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.478563E-004
direct_peakw0_seed1;200.000;200.0000;12;24.00;0.000000E+000;4.307942E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;4.307942E-004
direct_peakw0_seed1;200.000;200.0000;13;26.00;0.000000E+000;3.532651E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;3.532651E-004
direct_peakw0_seed1;200.000;200.0000;14;28.00;0.000000E+000;1.850748E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.850748E-004
direct_peakw0_seed1;200.000;200.0000;15;30.00;0.000000E+000;1.322966E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.322966E-004
direct_peakw0_seed1;200.000;200.0000;16;32.00;0.000000E+000;1.856668E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.856668E-004
direct_peakw0_seed1;200.000;200.0000;17;34.00;0.000000E+000;1.898903E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.898903E-004
direct_peakw0_seed1;200.000;200.0000;18;36.00;0.000000E+000;1.399858E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.399858E-004
direct_peakw0_seed1;200.000;200.0000;19;38.00;0.000000E+000;9.858233E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;9.858233E-005
direct_peakw0_seed1;200.000;200.0000;20;40.00;0.000000E+000;9.864060E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;9.864060E-005
direct_peakw0_seed1;200.000;200.0000;21;42.00;0.000000E+000;1.153520E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.153520E-004
direct_peakw0_seed1;200.000;200.0000;22;44.00;0.000000E+000;1.020377E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.020377E-004
direct_peakw0_seed1;200.000;200.0000;23;46.00;0.000000E+000;1.159601E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.159601E-004
direct_peakw0_seed1;200.000;200.0000;24;48.00;0.000000E+000;1.629603E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.629603E-004
direct_peakw0_seed1;200.000;200.0000;25;50.00;0.000000E+000;1.785770E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.785770E-004
direct_peakw0_seed1;200.000;200.0000;26;52.00;0.000000E+000;2.286734E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.286734E-004
direct_peakw0_seed1;200.000;200.0000;27;54.00;0.000000E+000;7.671422E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;7.671422E-004
direct_peakw0_seed1;200.000;200.0000;28;56.00;0.000000E+000;3.107048E-003;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;3.107048E-003
direct_peakw0_seed1;200.000;200.0000;29;58.00;0.000000E+000;6.691391E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;6.691391E-004
direct_peakw0_seed1;200.000;200.0000;30;60.00;0.000000E+000;1.306637E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.306637E-004
direct_peakw0_seed1;200.000;200.0000;31;62.00;0.000000E+000;1.543256E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.543256E-004
direct_peakw0_seed1;200.000;200.0000;32;64.00;0.000000E+000;1.292157E-003;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.292157E-003
direct_peakw0_seed1;200.000;200.0000;33;66.00;0.000000E+000;6.417190E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;6.417190E-004
direct_peakw0_seed1;200.000;200.0000;34;68.00;0.000000E+000;1.084236E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.084236E-004
direct_peakw0_seed1;200.000;200.0000;35;70.00;0.000000E+000;1.031648E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.031648E-004
direct_peakw0_seed1;200.000;200.0000;36;72.00;0.000000E+000;9.421286E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;9.421286E-005
direct_peakw0_seed1;200.000;200.0000;37;74.00;0.000000E+000;1.024187E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.024187E-004
direct_peakw0_seed1;200.000;200.0000;38;76.00;0.000000E+000;1.068483E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.068483E-004
direct_peakw0_seed1;200.000;200.0000;39;78.00;0.000000E+000;1.150301E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.150301E-004
direct_peakw0_seed1;200.000;200.0000;40;80.00;0.000000E+000;1.094188E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.094188E-004
direct_peakw0_seed1;200.000;200.0000;41;82.00;0.000000E+000;1.096777E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.096777E-004
direct_peakw0_seed1;200.000;200.0000;42;84.00;0.000000E+000;1.293909E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.293909E-004
direct_peakw0_seed1;200.000;200.0000;43;86.00;0.000000E+000;1.354258E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.354258E-004
direct_peakw0_seed1;200.000;200.0000;44;88.00;0.000000E+000;1.197611E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.197611E-004
direct_peakw0_seed1;200.000;200.0000;45;90.00;0.000000E+000;9.797563E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;9.797563E-005
direct_peakw0_seed1;200.000;200.0000;46;92.00;0.000000E+000;8.518591E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;8.518591E-005
direct_peakw0_seed1;200.000;200.0000;47;94.00;0.000000E+000;7.703814E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;7.703814E-005
direct_peakw0_seed1;200.000;200.0000;48;96.00;0.000000E+000;6.707211E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;6.707211E-005
direct_peakw0_seed1;200.000;200.0000;49;98.00;0.000000E+000;6.845438E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;6.845438E-005
direct_peakw0_seed1;200.000;200.0000;50;100.00;0.000000E+000;6.923644E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;6.923644E-005
direct_peakw0_seed1;200.000;200.0000;51;102.00;0.000000E+000;7.698286E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;7.698286E-005
direct_peakw0_seed1;200.000;200.0000;52;104.00;0.000000E+000;6.530992E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;6.530992E-005
direct_peakw0_seed1;200.000;200.0000;53;106.00;0.000000E+000;7.642442E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;7.642442E-005
direct_peakw0_seed1;200.000;200.0000;54;108.00;0.000000E+000;7.375859E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;7.375859E-005
direct_peakw0_seed1;200.000;200.0000;55;110.00;0.000000E+000;9.045764E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;9.045764E-005
direct_peakw0_seed1;200.000;200.0000;56;112.00;0.000000E+000;8.469626E-005;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;8.469626E-005
direct_peakw0_seed1;200.000;200.0000;57;114.00;0.000000E+000;1.352634E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.352634E-004
direct_peakw0_seed1;200.000;200.0000;58;116.00;0.000000E+000;1.616088E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;1.616088E-004
direct_peakw0_seed1;200.000;200.0000;59;118.00;0.000000E+000;2.005445E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.005445E-004
direct_peakw0_seed1;200.000;200.0000;60;120.00;0.000000E+000;2.043976E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.043976E-004
direct_peakw0_seed1;200.000;200.0000;61;122.00;0.000000E+000;2.349709E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.349709E-004
direct_peakw0_seed1;200.000;200.0000;62;124.00;0.000000E+000;2.227624E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.227624E-004
direct_peakw0_seed1;200.000;200.0000;63;126.00;0.000000E+000;2.509777E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.509777E-004
direct_peakw0_seed1;200.000;200.0000;64;128.00;0.000000E+000;2.441744E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.441744E-004
direct_peakw0_seed1;200.000;200.0000;65;130.00;0.000000E+000;2.472721E-004;0.000000E+000;7.983630E-008;0.000000E+000;0.000000E+000;2.473520E-004
direct_peakw0_seed1;200.000;200.0000;66;132.00;0.000000E+000;2.273436E-004;0.000000E+000;2.534970E-007;0.000000E+000;0.000000E+000;2.275971E-004
direct_peakw0_seed1;200.000;200.0000;67;134.00;0.000000E+000;2.356871E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;2.356871E-004
direct_peakw0_seed1;200.000;200.0000;68;136.00;0.000000E+000;2.414999E-004;0.000000E+000;2.947308E-007;0.000000E+000;0.000000E+000;2.417947E-004
direct_peakw0_seed1;200.000;200.0000;69;138.00;0.000000E+000;2.420476E-004;0.000000E+000;1.540655E-006;0.000000E+000;0.000000E+000;2.435882E-004
direct_peakw0_seed1;200.000;200.0000;70;140.00;0.000000E+000;2.395125E-004;0.000000E+000;4.179820E-006;0.000000E+000;0.000000E+000;2.436923E-004
direct_peakw0_seed1;200.000;200.0000;71;142.00;0.000000E+000;2.323468E-004;0.000000E+000;6.741169E-006;0.000000E+000;0.000000E+000;2.390880E-004
direct_peakw0_seed1;200.000;200.0000;72;144.00;0.000000E+000;2.483265E-004;0.000000E+000;7.684794E-006;0.000000E+000;0.000000E+000;2.560113E-004
direct_peakw0_seed1;200.000;200.0000;73;146.00;0.000000E+000;2.558884E-004;0.000000E+000;1.088662E-005;0.000000E+000;0.000000E+000;2.667750E-004
direct_peakw0_seed1;200.000;200.0000;74;148.00;0.000000E+000;2.247926E-004;0.000000E+000;8.860447E-006;0.000000E+000;0.000000E+000;2.336531E-004
direct_peakw0_seed1;200.000;200.0000;75;150.00;0.000000E+000;2.501414E-004;0.000000E+000;7.282590E-006;0.000000E+000;0.000000E+000;2.574240E-004
direct_peakw0_seed1;200.000;200.0000;76;152.00;0.000000E+000;2.628770E-004;0.000000E+000;1.001638E-005;0.000000E+000;0.000000E+000;2.728934E-004
direct_peakw0_seed1;200.000;200.0000;77;154.00;0.000000E+000;2.398864E-004;0.000000E+000;9.618607E-006;0.000000E+000;0.000000E+000;2.495051E-004
direct_peakw0_seed1;200.000;200.0000;78;156.00;0.000000E+000;2.492282E-004;0.000000E+000;1.014469E-005;0.000000E+000;0.000000E+000;2.593729E-004
direct_peakw0_seed1;200.000;200.0000;79;158.00;0.000000E+000;2.591408E-004;0.000000E+000;9.288511E-006;0.000000E+000;0.000000E+000;2.684293E-004
direct_peakw0_seed1;200.000;200.0000;80;160.00;0.000000E+000;2.544592E-004;0.000000E+000;9.026023E-006;0.000000E+000;0.000000E+000;2.634852E-004
direct_peakw0_seed1;200.000;200.0000;81;162.00;0.000000E+000;2.933374E-004;0.000000E+000;9.586353E-006;0.000000E+000;0.000000E+000;3.029238E-004
direct_peakw0_seed1;200.000;200.0000;82;164.00;0.000000E+000;3.263985E-004;0.000000E+000;5.066220E-005;0.000000E+000;0.000000E+000;3.770607E-004
direct_peakw0_seed1;200.000;200.0000;83;166.00;0.000000E+000;2.661341E-004;0.000000E+000;3.393816E-005;0.000000E+000;0.000000E+000;3.000723E-004
direct_peakw0_seed1;200.000;200.0000;84;168.00;0.000000E+000;5.278179E-004;0.000000E+000;3.756185E-004;0.000000E+000;0.000000E+000;9.034364E-004
direct_peakw0_seed1;200.000;200.0000;85;170.00;0.000000E+000;2.798946E-004;0.000000E+000;3.851817E-004;0.000000E+000;0.000000E+000;6.650763E-004
direct_peakw0_seed1;200.000;200.0000;86;172.00;0.000000E+000;1.900346E-004;0.000000E+000;2.204481E-004;0.000000E+000;0.000000E+000;4.104827E-004
direct_peakw0_seed1;200.000;200.0000;87;174.00;0.000000E+000;2.072560E-004;0.000000E+000;1.594277E-006;0.000000E+000;0.000000E+000;2.088502E-004
direct_peakw0_seed1;200.000;200.0000;88;176.00;0.000000E+000;3.279450E-004;0.000000E+000;1.456173E-006;0.000000E+000;0.000000E+000;3.294011E-004
direct_peakw0_seed1;200.000;200.0000;89;178.00;0.000000E+000;3.456731E-004;0.000000E+000;5.325962E-007;0.000000E+000;0.000000E+000;3.462057E-004
direct_peakw0_seed1;200.000;200.0000;90;180.00;0.000000E+000;3.477696E-004;0.000000E+000;8.530844E-007;0.000000E+000;0.000000E+000;3.486226E-004
direct_peakw0_seed1;200.000;200.0000;91;182.00;0.000000E+000;3.302193E-004;0.000000E+000;7.281220E-007;0.000000E+000;0.000000E+000;3.309474E-004
direct_peakw0_seed1;200.000;200.0000;92;184.00;0.000000E+000;3.764065E-004;0.000000E+000;7.164677E-007;0.000000E+000;0.000000E+000;3.771229E-004
direct_peakw0_seed1;200.000;200.0000;93;186.00;0.000000E+000;3.450796E-004;0.000000E+000;3.930238E-007;0.000000E+000;0.000000E+000;3.454726E-004
direct_peakw0_seed1;200.000;200.0000;94;188.00;0.000000E+000;3.713409E-004;0.000000E+000;1.220725E-006;0.000000E+000;0.000000E+000;3.725616E-004
direct_peakw0_seed1;200.000;200.0000;95;190.00;0.000000E+000;3.872607E-004;0.000000E+000;1.721983E-007;0.000000E+000;0.000000E+000;3.874329E-004
direct_peakw0_seed1;200.000;200.0000;96;192.00;0.000000E+000;3.757670E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;3.757670E-004
direct_peakw0_seed1;200.000;200.0000;97;194.00;0.000000E+000;3.991798E-004;0.000000E+000;9.516668E-007;0.000000E+000;0.000000E+000;4.001315E-004
direct_peakw0_seed1;200.000;200.0000;98;196.00;0.000000E+000;4.048025E-004;0.000000E+000;1.287097E-005;0.000000E+000;6.345299E-007;4.183080E-004
direct_peakw0_seed1;200.000;200.0000;99;198.00;8.304805E-016;3.726336E-004;0.000000E+000;2.451069E-005;0.000000E+000;3.213676E-008;3.971764E-004
direct_peakw0_seed1;200.000;200.0000;100;200.00;5.843987E-002;1.589796E-004;0.000000E+000;0.000000E+000;0.000000E+000;0.000000E+000;5.859885E-002
