SETUP correlatedGamma=0 twoJmax=10 vacuum=0 seed=7 killesc=0 killcarry=0 fullcarry=0 histbin=0.000 histbins=0 iontag=1
RESULT decays=5000000
RESULT any=0 eps_total=0.000000e+00
EMITBEGIN events=5000000 bin_kev=0.01
EMIT 7.67 506
EMIT 7.68 759
EMIT 7.78 415
EMIT 7.89 3
EMIT 8.04 37
EMIT 8.07 53
EMIT 8.19 1
EMIT 8.31 4
EMIT 8.32 12
EMIT 39.56 1056943
EMIT 40.17 1912642
EMIT 42.36 12331
EMIT 43.06 22546
EMIT 45.34 191582
EMIT 45.47 371692
EMIT 45.76 2707
EMIT 45.79 3553
EMIT 46.60 41092
EMIT 46.63 80439
EMIT 46.73 607
EMIT 46.74 799
EMIT 46.85 25486
EMIT 48.62 2335
EMIT 48.76 4478
EMIT 49.07 31
EMIT 49.10 55
EMIT 49.99 481
EMIT 50.02 983
EMIT 50.14 11
EMIT 50.15 5
EMIT 50.27 311
EMIT 117.25 2
EMIT 119.48 30
EMIT 121.78 1424047
EMIT 125.70 246
EMIT 137.87 36
EMIT 148.02 1021
EMIT 150.09 44
EMIT 152.90 1
EMIT 159.06 19
EMIT 173.04 15
EMIT 175.15 51
EMIT 178.66 44
EMIT 192.64 325
EMIT 195.23 97
EMIT 206.93 55
EMIT 207.69 356
EMIT 209.21 6
EMIT 209.40 58
EMIT 209.93 216
EMIT 210.89 172
EMIT 212.52 1084
EMIT 237.03 313
EMIT 239.33 223
EMIT 241.16 27
EMIT 244.70 376207
EMIT 251.65 3304
EMIT 266.81 1
EMIT 269.80 394
EMIT 271.11 3949
EMIT 272.39 32
EMIT 275.39 1746
EMIT 285.89 429
EMIT 286.66 59
EMIT 287.19 52
EMIT 295.94 21993
EMIT 315.16 1997
EMIT 316.04 480
EMIT 320.13 98
EMIT 324.82 3458
EMIT 325.00 233
EMIT 328.80 181
EMIT 329.41 6013
EMIT 330.61 457
EMIT 340.45 1417
EMIT 344.28 1330839
EMIT 345.57 497
EMIT 348.76 84
EMIT 351.70 501
EMIT 353.81 54
EMIT 357.06 278
EMIT 358.47 92
EMIT 367.79 42961
EMIT 379.04 8
EMIT 385.27 256
EMIT 387.87 109
EMIT 391.26 66
EMIT 397.40 17
EMIT 401.09 26
EMIT 411.12 112640
EMIT 415.97 5365
EMIT 423.41 141
EMIT 440.96 351
EMIT 443.96 140953
EMIT 443.97 14479
EMIT 464.23 15
EMIT 476.36 86
EMIT 482.32 1255
EMIT 482.42 117
EMIT 488.68 20655
EMIT 493.59 1449
EMIT 493.82 517
EMIT 496.34 288
EMIT 496.41 275
EMIT 503.47 7747
EMIT 514.71 22
EMIT 520.23 2590
