E_keV,eff,eff_err_pct
28.0,8.63200E-04,2.15
40.0,1.97600E-03,1.42
60.0,3.83100E-03,1.02
100.0,4.94800E-03,0.90
200.0,3.52300E-03,1.07
662.0,4.21600E-04,3.08
1400.0,1.46800E-04,5.22
2600.0,4.96000E-05,8.98
