E_keV,eff,eff_err_pct
28.0,2.65400E-03,1.23
40.0,3.16500E-03,1.12
60.0,4.22300E-03,0.97
100.0,4.81200E-03,0.91
200.0,4.20500E-03,0.98
662.0,1.24500E-03,1.79
1400.0,4.98000E-04,2.83
2600.0,2.80000E-04,3.78
