E_keV,eff,eff_err_pct
28.0,2.65700E-03,1.23
40.0,3.18600E-03,1.12
60.0,4.18000E-03,0.98
100.0,4.82900E-03,0.91
200.0,4.27200E-03,0.97
662.0,1.19600E-03,1.83
1400.0,4.68800E-04,2.92
2600.0,2.16000E-04,4.30
