E_keV,eff,eff_err_pct
28.0,2.63200E-03,1.23
40.0,3.20600E-03,1.12
60.0,4.27800E-03,0.97
100.0,4.78000E-03,0.91
200.0,4.27600E-03,0.97
662.0,1.22900E-03,1.80
1400.0,5.00400E-04,2.83
2600.0,2.51600E-04,3.99
