E_keV,eff,eff_err_pct
28.0,8.81200E-04,2.13
40.0,2.01000E-03,1.41
60.0,3.81500E-03,1.02
100.0,4.84100E-03,0.91
200.0,3.43100E-03,1.08
662.0,4.02400E-04,3.15
1400.0,1.36400E-04,5.42
2600.0,6.48000E-05,7.86
