E_keV,eff,eff_err_pct
28.0,2.96000E-03,1.16
40.0,3.45000E-03,1.08
60.0,4.38000E-03,0.96
100.0,4.78000E-03,0.92
200.0,4.31000E-03,0.96
662.0,1.21000E-03,1.82
1400.0,5.22000E-04,2.77
2600.0,3.07000E-04,3.61
