E_keV,eff,eff_err_pct
28.0,2.63300E-03,1.23
40.0,3.18700E-03,1.12
60.0,4.25300E-03,0.97
100.0,4.74000E-03,0.92
200.0,4.22200E-03,0.97
662.0,1.18400E-03,1.84
1400.0,4.81200E-04,2.88
2600.0,2.05200E-04,4.42
