E_keV,eff,eff_err_pct
28.0,1.32000E-03,1.74
40.0,2.33000E-03,1.31
60.0,4.15000E-03,0.98
100.0,5.08000E-03,0.89
200.0,3.36000E-03,1.09
662.0,4.11000E-04,3.12
1400.0,1.35000E-04,5.45
2600.0,7.40000E-05,7.35
