E_keV,eff,eff_err_pct
28.0,9.22200E-04,2.08
40.0,1.99800E-03,1.41
60.0,3.78500E-03,1.03
100.0,4.94400E-03,0.90
200.0,3.44100E-03,1.08
662.0,3.88800E-04,3.21
1400.0,9.80000E-05,6.39
2600.0,2.40000E-05,12.91
