ch,keV,net,fit,model,continuum_raw,Tl-208,Ac-228,Ra-224,Pb-212,Th-228,Bi-212,Rn-220
29,-3.938,0.000,-6988.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,-3.549,0.000,-7090.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,-3.160,0.000,-7251.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,-2.771,0.000,-7359.331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,-2.382,0.000,-7434.886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,-1.994,0.000,-7562.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,-1.605,0.000,-7699.208,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,-1.217,0.000,-7779.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,-0.828,0.000,-7907.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,-0.439,0.000,-8026.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,-0.051,0.000,-8194.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0.337,0.000,-8301.912,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,0.726,0.000,-8431.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,1.114,0.000,-8522.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,1.502,0.000,-8711.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,1.891,0.000,-8792.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,2.279,0.000,-8931.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,2.667,0.000,-8988.971,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,3.055,0.000,-9188.787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,3.443,0.000,-9263.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,3.831,0.000,-9375.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,4.219,0.000,-9556.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,4.607,0.000,-9623.674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,4.995,0.000,-9768.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,5.383,0.000,-9897.852,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,5.771,0.000,-9783.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55,6.159,0.000,-9381.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,6.546,0.000,-8840.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,6.934,0.000,-7982.209,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,7.322,0.000,-7051.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,7.709,0.000,-6128.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,8.097,0.000,-5303.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,8.484,0.000,-4212.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
62,8.872,0.000,-3945.914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,9.259,0.000,-3331.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,9.647,0.000,-2788.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,10.034,0.000,-2723.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,10.421,0.000,-2510.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,10.809,0.000,-2411.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,11.196,0.000,-2454.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
69,11.583,0.000,-2501.915,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,11.970,0.000,-2287.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71,12.357,0.000,-2422.392,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
72,12.744,0.000,-2487.695,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000
73,13.131,0.000,-2324.642,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000
74,13.518,0.000,-2295.609,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.000
75,13.905,0.000,-2427.930,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.000
76,14.292,0.000,-2181.224,0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.163,0.000
77,14.679,0.000,-2401.817,0.371,0.000,0.000,0.000,0.000,0.000,0.000,0.371,0.000
78,15.066,0.000,-2347.918,0.795,0.000,0.000,0.000,0.000,0.000,0.000,0.795,0.000
79,15.453,0.000,-1907.805,1.612,0.000,0.000,0.000,0.000,0.000,0.000,1.612,0.000
80,15.839,0.000,-2159.190,3.085,0.000,0.000,0.000,0.000,0.000,0.000,3.085,0.000
81,16.226,0.000,-2056.899,5.582,0.000,0.000,0.000,0.000,0.000,0.000,5.582,0.000
82,16.613,0.000,-2223.193,9.557,0.000,0.000,0.000,0.000,0.000,0.000,9.557,0.000
83,16.999,0.000,-2058.834,15.498,0.000,0.000,0.000,0.000,0.000,0.000,15.498,0.000
84,17.386,0.000,-2085.201,23.838,0.000,0.000,0.000,0.000,0.000,0.000,23.838,0.000
85,17.772,0.000,-2172.321,34.840,0.000,0.000,0.000,0.000,0.000,0.000,34.840,0.000
86,18.159,0.000,-1922.923,48.492,0.000,0.000,0.000,0.000,0.000,0.000,48.492,0.000
87,18.545,0.000,-1798.196,64.451,0.000,0.000,0.000,0.000,0.000,0.000,64.451,0.000
88,18.931,0.000,-1798.212,82.064,0.000,0.000,0.000,0.000,0.000,0.000,82.064,0.000
89,19.318,0.000,-1885.015,100.472,0.000,0.000,0.000,0.000,0.000,0.000,100.472,0.000
90,19.704,0.000,-1909.384,118.755,0.000,0.000,0.000,0.000,0.000,0.000,118.755,0.000
91,20.090,0.000,-1824.263,136.075,0.000,0.000,0.000,0.000,0.000,0.000,136.075,0.000
92,20.477,0.000,-1953.322,151.764,0.000,0.000,0.000,0.000,0.000,0.000,151.764,0.000
93,20.863,0.000,-1932.204,165.344,0.000,0.000,0.000,0.000,0.000,0.000,165.344,0.000
94,21.249,0.000,-1644.467,176.503,0.000,0.000,0.000,0.000,0.000,0.000,176.503,0.000
95,21.635,0.000,-1552.693,185.064,0.000,0.000,0.000,0.000,0.000,0.000,185.064,0.000
96,22.021,0.000,-1501.456,190.968,0.000,0.000,0.000,0.000,0.000,0.000,190.968,0.000
97,22.407,0.000,-1753.683,194.291,0.000,0.000,0.000,0.000,0.000,0.000,194.291,0.000
98,22.793,0.000,-1416.211,195.245,0.000,0.000,0.000,0.000,0.000,0.000,195.245,0.000
99,23.179,0.000,-1227.449,194.176,0.000,0.000,0.000,0.000,0.000,0.000,194.176,0.000
100,23.565,0.000,-1316.770,191.525,0.000,0.000,0.000,0.000,0.000,0.000,191.525,0.000
101,23.951,0.000,-1261.371,187.771,0.000,0.000,0.000,0.000,0.000,0.000,187.771,0.000
102,24.336,0.000,-1091.989,183.387,0.000,0.000,0.000,0.000,0.000,0.000,183.387,0.000
103,24.722,0.000,-1319.570,178.811,0.000,0.000,0.000,0.000,0.000,0.000,178.810,0.000
104,25.108,0.000,-1158.756,174.426,0.000,0.000,0.001,0.000,0.000,0.000,174.425,0.000
105,25.494,0.000,-1080.561,170.565,0.000,0.000,0.002,0.000,0.000,0.000,170.563,0.000
106,25.879,0.000,-1312.719,167.503,0.000,0.000,0.004,0.000,0.000,0.000,167.498,0.000
107,26.265,0.000,-1113.398,165.448,0.000,0.000,0.010,0.000,0.000,0.000,165.438,0.000
108,26.650,0.000,-1041.805,164.534,0.000,0.000,0.023,0.000,0.000,0.000,164.512,0.000
109,27.036,0.000,-1017.438,164.812,0.000,0.000,0.048,0.000,0.000,0.000,164.763,0.000
110,27.421,0.000,-1008.363,166.243,0.000,0.000,0.101,0.000,0.000,0.000,166.142,0.000
111,27.807,0.000,-991.555,168.710,0.000,0.000,0.204,0.000,0.000,0.000,168.506,0.000
112,28.192,0.000,-1049.298,172.024,0.000,0.000,0.399,0.000,0.000,0.000,171.625,0.000
113,28.578,0.000,-939.075,175.953,0.000,0.000,0.759,0.000,0.000,0.000,175.194,0.000
114,28.963,0.000,-1145.481,180.256,0.000,0.000,1.400,0.000,0.000,0.000,178.856,0.000
115,29.348,0.000,-906.309,184.739,0.000,0.000,2.507,0.000,0.000,0.000,182.233,0.000
116,29.733,0.000,-829.526,189.317,0.000,0.000,4.355,0.000,0.000,0.000,184.962,0.000
117,30.119,0.000,-816.603,194.080,0.000,0.000,7.344,0.000,0.000,0.000,186.736,0.000
118,30.504,0.000,-476.254,199.360,0.000,0.000,12.025,0.000,0.000,0.000,187.334,0.000
119,30.889,0.000,-294.216,205.765,0.000,0.000,19.119,0.000,0.000,0.000,186.645,0.000
120,31.274,0.000,-275.857,214.195,0.000,0.000,29.525,0.000,0.000,0.000,184.671,0.000
121,31.659,3.034,3.034,225.811,0.000,0.000,44.294,0.000,0.000,0.000,181.517,0.000
122,32.044,67.807,67.807,241.948,0.000,0.000,64.578,0.000,0.000,0.000,177.370,0.000
123,32.429,216.696,216.696,264.000,0.000,0.000,91.530,0.000,0.000,0.000,172.470,0.000
124,32.814,301.674,301.674,293.250,0.000,0.000,126.171,0.000,0.000,0.000,167.078,0.000
125,33.199,848.303,848.303,330.688,0.000,0.000,169.236,0.000,0.000,0.000,161.452,0.000
126,33.584,893.053,893.053,376.833,0.000,0.000,221.009,0.000,0.000,0.000,155.823,0.000
127,33.968,1267.492,1267.492,661.445,229.867,63.534,345.003,34.997,32.373,21.322,157.171,7.046
128,34.353,1352.872,1352.872,953.846,459.733,127.072,476.442,69.996,64.747,42.645,158.852,14.092
129,34.738,1740.499,1740.499,1252.517,689.600,190.614,613.708,104.997,97.124,63.970,160.963,21.139
130,35.122,1706.873,1706.873,1555.330,919.467,254.163,754.625,140.002,129.505,85.297,163.550,28.187
131,35.507,1934.788,1934.788,1859.738,1149.333,317.719,896.647,175.011,161.888,106.626,166.610,35.236
132,35.892,2416.148,2416.148,2163.026,1379.200,381.283,1037.102,210.025,194.276,127.958,170.097,42.285
133,36.276,2534.454,2534.454,2462.589,1609.067,444.856,1173.464,245.043,226.669,149.294,173.928,49.335
134,36.661,3005.093,3005.093,2756.187,1838.933,508.439,1303.606,280.067,259.067,170.632,177.989,56.387
135,37.045,3264.332,3264.332,3042.136,2068.800,572.033,1425.979,315.097,291.470,191.974,182.143,63.439
136,37.430,3502.437,3502.437,3319.416,2298.667,635.639,1539.711,350.133,323.879,213.320,186.241,70.493
137,37.814,3619.769,3619.769,3587.672,2528.533,699.258,1644.603,385.175,356.294,234.670,190.124,77.549
138,38.198,3743.749,3743.749,3847.143,2758.400,762.889,1741.045,420.224,388.715,256.023,193.641,84.605
139,38.583,3821.573,3821.573,4098.527,2988.266,826.535,1829.872,455.280,421.142,277.381,196.654,91.663
140,38.967,3818.557,3818.557,4342.822,3218.133,890.198,1912.195,490.342,453.575,298.743,199.048,98.722
141,39.351,4057.047,4057.047,4581.179,3448.000,953.882,1989.235,525.410,486.014,320.108,200.747,105.783
142,39.736,3952.096,3952.096,4814.775,3677.866,1017.592,2062.196,560.484,518.460,341.477,201.721,112.844
143,40.120,3799.846,3799.846,5044.733,3907.733,1081.339,2132.167,595.565,550.912,362.850,201.993,119.907
144,40.504,3551.352,3551.352,5272.078,4137.600,1145.140,2200.074,630.651,583.372,384.227,201.642,126.971
145,40.888,3630.415,3630.415,5497.722,4367.466,1209.021,2266.670,665.744,615.841,405.607,200.802,134.036
146,41.272,3310.747,3310.747,5722.473,4597.333,1273.024,2332.540,700.842,648.321,426.991,199.654,141.103
147,41.656,3142.010,3142.010,5947.053,4827.200,1337.208,2398.126,735.945,680.816,448.378,198.409,148.170
148,42.040,2946.720,2946.720,6172.119,5057.066,1401.663,2463.764,771.055,713.332,469.768,197.298,155.239
149,42.424,3332.288,3332.288,6398.285,5286.933,1466.513,2529.703,806.170,745.881,491.162,196.547,162.309
150,42.808,2795.902,2795.902,6626.137,5516.800,1531.928,2596.136,841.291,778.478,512.559,196.365,169.380
151,43.192,2942.995,2942.995,6856.256,5746.666,1598.139,2663.211,876.418,811.147,533.960,196.930,176.452
152,43.575,3026.753,3026.753,7089.232,5976.533,1665.440,2731.054,911.552,843.922,555.364,198.375,183.525
153,43.959,3083.368,3083.368,7325.687,6206.400,1734.204,2799.769,946.693,876.854,576.772,200.795,190.599
154,44.343,3140.461,3140.461,7566.286,6436.266,1804.884,2869.446,981.844,910.013,598.184,204.241,197.675
155,44.727,3318.973,3318.973,7811.754,6666.133,1878.007,2940.164,1017.006,943.493,619.599,208.734,204.752
156,45.110,3728.918,3728.918,8062.875,6896.000,1954.169,3011.988,1052.182,977.419,641.020,214.266,211.830
157,45.494,3680.176,3680.176,8320.482,7125.866,2034.011,3084.966,1087.380,1011.951,662.445,220.819,218.910
158,45.878,3947.133,3947.133,8585.432,7355.733,2118.183,3159.120,1122.606,1047.290,683.875,228.365,225.992
159,46.261,4450.820,4450.820,8858.556,7585.600,2207.305,3234.439,1157.872,1083.680,705.312,236.873,233.076
160,46.645,4490.548,4490.548,9140.604,7815.466,2301.910,3310.865,1193.198,1121.405,726.755,246.310,240.161
161,47.028,5143.988,5143.988,9432.167,8045.333,2402.386,3388.290,1228.607,1160.786,748.206,256.642,247.249
162,47.412,5496.743,5496.743,9733.605,8275.199,2508.922,3466.543,1264.137,1202.174,769.668,267.822,254.340
163,47.795,5880.886,5880.886,10044.977,8505.066,2621.456,3545.389,1299.835,1245.929,791.141,279.793,261.433
164,48.178,6192.559,6192.559,10365.984,8734.933,2739.638,3624.534,1335.769,1292.406,812.631,292.476,268.530
165,48.562,6437.436,6437.436,10695.945,8964.799,2862.822,3703.631,1372.025,1341.925,834.140,305.772,275.630
166,48.945,7298.560,7298.560,11033.793,9194.666,2990.072,3782.298,1408.714,1394.745,855.676,319.556,282.734
167,49.328,7741.641,7741.641,11378.119,9424.533,3120.204,3860.138,1445.973,1451.034,877.248,333.681,289.842
168,49.711,7851.541,7851.541,11727.236,9654.399,3251.847,3936.764,1483.970,1510.845,898.871,347.984,296.954
169,50.094,8457.990,8457.990,12079.286,9884.266,3383.532,4011.828,1522.902,1574.091,920.566,362.295,304.071
170,50.478,8715.738,8715.738,12432.347,10114.133,3513.778,4085.044,1562.995,1640.535,942.360,376.442,311.194
171,50.861,9332.608,9332.608,12784.560,10343.999,3641.194,4156.206,1604.494,1709.787,964.294,390.263,318.321
172,51.244,9926.805,9926.805,13134.241,10573.866,3764.564,4225.203,1647.659,1781.318,986.423,403.620,325.454
173,51.627,10303.127,10303.127,13479.976,10803.733,3882.913,4292.021,1692.749,1854.480,1008.822,416.399,332.593
174,52.010,10743.895,10743.895,13820.688,11033.599,3995.555,4356.737,1740.006,1928.542,1031.592,428.520,339.737
175,52.393,11299.714,11299.714,14155.672,11263.466,4102.109,4419.507,1789.637,2002.735,1054.860,439.937,346.887
176,52.776,11436.225,11436.225,14484.597,11493.333,4202.488,4480.545,1841.791,2076.298,1078.793,450.640,354.042
177,53.159,11932.590,11932.590,14807.481,11723.199,4296.869,4540.102,1896.537,2148.525,1103.594,460.650,361.204
178,53.541,12568.731,12568.731,15124.645,11953.066,4385.646,4598.441,1953.852,2218.813,1129.512,470.011,368.371
179,53.924,12740.275,12740.275,15436.658,12182.933,4469.373,4655.819,2013.597,2286.695,1156.842,478.788,375.544
180,54.307,12955.323,12955.323,15744.278,12412.799,4548.707,4712.473,2075.523,2351.870,1185.922,487.061,382.722
181,54.690,13469.191,13469.191,16048.397,12642.666,4624.356,4768.609,2139.261,2414.219,1217.132,494.913,389.907
182,55.072,13892.829,13892.829,16350.004,12872.533,4697.037,4824.400,2204.345,2473.811,1250.883,502.430,397.097
183,55.455,14537.975,14537.975,16650.156,13102.399,4767.444,4879.993,2270.226,2530.905,1287.601,509.695,404.293
184,55.838,14705.541,14705.541,16949.969,13332.266,4836.228,4935.507,2336.303,2585.936,1327.715,516.785,411.495
185,56.220,14612.969,14612.969,17250.617,13562.133,4903.995,4991.049,2401.962,2639.510,1371.630,523.769,418.703
186,56.603,15237.036,15237.036,17553.341,13791.999,4971.302,5046.717,2466.608,2692.389,1419.701,530.708,425.917
187,56.985,15844.496,15844.496,17859.461,14021.866,5038.663,5102.611,2529.705,2745.482,1472.208,537.655,433.137
188,57.368,15949.013,15949.013,18170.392,14251.732,5106.565,5158.830,2590.810,2799.840,1529.328,544.655,440.364
189,57.750,16648.771,16648.771,18487.647,14481.599,5175.468,5215.481,2649.592,2856.648,1591.116,551.745,447.598
190,58.132,16327.654,16327.654,18763.348,14661.975,5232.111,5259.067,2698.266,2910.238,1652.854,557.503,453.309
191,58.515,17093.359,17093.359,19048.689,14842.350,5290.629,5303.299,2744.350,2969.051,1718.926,563.407,459.027
192,58.897,17809.720,17809.720,19345.448,15022.726,5351.434,5348.276,2787.904,3034.666,1788.940,569.476,464.751
193,59.279,18337.189,18337.189,19655.442,15203.101,5414.911,5394.083,2829.099,3108.779,1862.365,575.722,470.484
194,59.662,18401.833,18401.833,19980.495,15383.476,5481.401,5440.789,2868.193,3193.186,1938.552,582.150,476.225
195,60.044,19061.670,19061.670,20322.383,15563.852,5551.188,5488.440,2905.505,3289.749,2016.767,588.760,481.974
196,60.426,19463.773,19463.773,20682.782,15744.227,5624.472,5537.061,2941.388,3400.354,2096.233,595.541,487.734
197,60.808,20064.542,20064.542,21063.201,15924.603,5701.347,5586.651,2976.202,3526.849,2176.173,602.475,493.505
198,61.190,20286.434,20286.434,21464.909,16104.978,5781.779,5637.189,3010.292,3670.971,2255.855,609.536,499.287
199,61.572,21173.784,21173.784,21888.860,16285.354,5865.583,5688.634,3043.974,3834.255,2334.641,616.690,505.082
200,61.954,21587.872,21587.872,22335.619,16465.729,5952.408,5740.932,3077.524,4017.943,2412.029,623.892,510.891
201,62.336,22886.481,22886.481,22805.293,16646.105,6041.730,5794.018,3111.171,4222.882,2487.683,631.093,516.716
202,62.718,23549.834,23549.834,23297.470,16826.480,6132.853,5847.821,3145.107,4449.428,2561.467,638.238,522.557
203,63.100,24534.242,24534.242,23811.194,17006.856,6224.920,5902.267,3179.484,4697.370,2633.468,645.269,528.415
204,63.482,25568.764,25568.764,24344.948,17187.231,6316.940,5957.286,3214.432,4965.855,2704.013,652.130,534.293
205,63.864,26729.606,26729.606,24896.693,17367.607,6407.820,6012.808,3250.064,5253.358,2773.686,658.767,540.191
206,64.246,28017.618,28017.618,25463.932,17547.982,6496.414,6068.768,3286.496,5557.664,2843.347,665.132,546.111
207,64.627,29195.839,29195.839,26043.827,17728.357,6581.573,6125.108,3323.853,5875.895,2914.155,671.188,552.054
208,65.009,30622.620,30622.620,26633.349,17908.733,6662.207,6181.772,3362.287,6204.555,2987.598,676.911,558.020
209,65.391,32738.031,32738.031,27229.469,18089.108,6737.339,6238.709,3401.980,6539.610,3065.532,682.287,564.012
210,65.773,35145.037,35145.037,27829.364,18269.484,6806.165,6295.873,3443.161,6876.587,3150.228,687.322,570.029
211,66.154,36916.970,36916.970,28430.639,18449.859,6868.101,6353.220,3486.104,7210.678,3244.430,692.032,576.073
212,66.536,38699.918,38699.918,29031.548,18630.235,6922.821,6410.712,3531.139,7536.865,3351.415,696.452,582.144
213,66.917,41564.103,41564.103,29631.188,18810.610,6970.277,6468.317,3578.645,7850.033,3475.050,700.623,588.243
214,67.299,43222.774,43222.774,30229.665,18990.986,7010.709,6526.008,3629.056,8145.081,3619.839,704.601,594.370
215,67.680,45884.496,45884.496,30828.214,19171.361,7044.633,6583.773,3682.850,8417.035,3790.953,708.443,600.527
216,68.062,48542.131,48542.131,31429.264,19351.737,7072.818,6641.608,3740.540,8661.149,3994.222,712.213,606.713
217,68.443,50527.487,50527.487,32036.431,19532.112,7096.245,6699.529,3802.665,8873.004,4236.087,715.970,612.930
218,68.825,53517.374,53517.374,32654.455,19712.488,7116.056,6757.571,3869.767,9048.619,4523.491,719.773,619.178
219,69.206,56170.621,56170.621,33289.055,19892.863,7133.500,6815.793,3942.372,9184.559,4863.700,723.672,625.460
220,69.587,59343.495,59343.495,33946.715,20073.239,7149.869,6874.280,4020.963,9278.062,5264.056,727.710,631.775
221,69.969,61714.845,61714.845,34634.392,20253.614,7166.442,6933.150,4105.948,9327.162,5731.640,731.923,638.126
222,70.350,63870.489,63870.489,35359.160,20433.989,7184.432,6992.553,4197.633,9330.829,6272.863,736.334,644.516
223,70.731,65723.793,65723.793,36127.782,20614.365,7204.936,7052.674,4296.183,9289.091,6892.992,740.958,650.947
224,71.112,67885.713,67885.713,36946.225,20794.740,7228.903,7113.740,4401.594,9203.140,7595.622,745.804,657.423
225,71.493,69535.535,69535.535,37819.143,20975.116,7257.110,7176.014,4513.661,9075.411,8382.130,750.871,663.946
226,71.874,70918.603,70918.603,38749.336,21155.491,7290.147,7239.804,4631.959,8909.608,9251.143,756.153,670.522
227,72.255,71915.240,71915.240,39737.228,21335.867,7328.414,7305.463,4755.829,8710.667,10198.060,761.641,677.153
228,72.636,72296.728,72296.728,40780.392,21516.242,7372.136,7373.388,4884.373,8484.659,11214.670,767.321,683.845
229,73.017,72998.910,72998.910,41873.180,21696.618,7421.369,7444.019,5016.467,8238.622,12288.922,773.178,690.603
230,73.398,72851.936,72851.936,43006.484,21876.993,7476.029,7517.847,5150.783,7980.325,13404.876,779.194,697.430
231,73.779,71717.981,71717.981,44167.686,22057.369,7535.914,7595.401,5285.834,7717.980,14542.874,785.350,704.332
232,74.160,70864.655,70864.655,45340.819,22237.744,7600.729,7677.255,5420.022,7459.918,15679.954,791.629,711.312
233,74.541,69192.827,69192.827,46506.963,22418.120,7670.114,7764.014,5551.704,7214.248,16790.502,798.008,718.372
234,74.922,68047.090,68047.090,47644.882,22598.495,7743.670,7856.312,5679.264,6988.518,17847.137,804.465,725.517
235,75.303,65896.223,65896.223,48731.878,22778.871,7820.978,7954.797,5801.189,6789.410,18821.782,810.975,732.746
236,75.683,63298.488,63298.488,49744.810,22959.246,7901.620,8060.119,5916.148,6622.470,19686.880,817.511,740.061
237,76.064,60988.642,60988.642,50661.245,23139.621,7985.190,8172.910,6023.057,6491.909,20416.675,824.041,747.462
238,76.445,58676.674,58676.674,51460.636,23319.997,8071.311,8293.764,6121.139,6400.467,20988.477,830.533,754.946
239,76.826,55737.398,55737.398,52125.453,23500.372,8159.633,8423.209,6209.966,6349.351,21383.832,836.949,762.512
240,77.206,53762.097,53762.097,52642.182,23680.748,8249.841,8561.687,6289.486,6338.250,21589.509,843.251,770.157
241,77.587,51275.822,51275.822,53002.108,23861.123,8341.653,8709.518,6360.020,6365.409,21598.233,849.397,777.879
242,77.967,49116.887,49116.887,53201.820,24041.499,8434.811,8866.875,6422.245,6427.766,21409.102,855.346,785.674
243,78.348,46587.860,46587.860,53243.393,24221.874,8529.080,9033.757,6477.152,6521.135,21027.671,861.058,793.541
244,78.728,44970.443,44970.443,53134.241,24402.250,8624.235,9209.960,6525.986,6640.414,20465.669,866.498,801.479
245,79.109,43696.397,43696.397,52886.634,24582.625,8720.052,9395.057,6570.171,6779.831,19740.401,871.632,809.489
246,79.489,42097.104,42097.104,52516.946,24763.001,8816.297,9588.385,6611.227,6933.179,18873.845,876.438,817.575
247,79.869,40971.311,40971.311,52044.671,24943.376,8912.715,9789.029,6650.676,7094.069,17891.537,880.901,825.743
248,80.250,40629.829,40629.829,51491.296,25123.752,9009.026,9995.825,6689.958,7256.161,16821.306,885.017,834.003
249,80.630,40270.362,40270.362,50879.123,25304.127,9104.913,10207.368,6730.346,7413.382,15691.952,888.795,842.366
250,81.010,39657.283,39657.283,50230.109,25484.502,9200.021,10422.025,6772.879,7560.118,14531.958,892.259,850.850
251,81.391,39955.708,39955.708,49564.824,25664.878,9293.956,10637.959,6818.304,7691.382,13368.308,895.444,859.473
