scene,E_keV,material,rho,eps,err_pct,eps_air,err_air_pct,F_mc,Cs_mc,Cs_mc_err_pct,Cs_deb_total,Cs_deb_nocoh,Cs_formula,d_mc_deb_total_pct,d_mc_formula_pct,mu_rho_total,mu_rho_nocoh
J,238.6,H2O,1,4.331939E-003,0.131,4.852089E-003,0.129,0.89280,1.12007,0.184,1.14046,1.13935,,-1.787,,0.128694,0.127715
J,238.6,SiO2,1.6,4.127501E-003,0.132,4.852089E-003,0.129,0.85066,1.17555,0.185,1.20874,1.20510,1.20561,-2.746,-2.493,0.117328,0.115394
J,238.6,SiO2,2.8,3.683259E-003,0.136,4.852089E-003,0.129,0.75911,1.31734,0.187,1.38116,1.37429,1.38711,-4.621,-5.030,0.117328,0.115394
J,911.2,H2O,1,4.763361E-004,0.415,5.138337E-004,0.410,0.92702,1.07872,0.583,1.07927,1.07919,,-0.051,,0.073926,0.073858
J,911.2,SiO2,1.6,4.630154E-004,0.417,5.138337E-004,0.410,0.90110,1.10976,0.584,1.11542,1.11517,1.11347,-0.508,-0.334,0.066566,0.066431
J,911.2,SiO2,2.8,4.314513E-004,0.423,5.138337E-004,0.410,0.83967,1.19094,0.589,1.20716,1.20672,1.20695,-1.344,-1.326,0.066566,0.066431
J,2614.5,H2O,1,9.187611E-005,0.964,9.705851E-005,0.951,0.94661,1.05641,1.354,1.04537,1.04536,,1.056,,0.042747,0.042739
J,2614.5,SiO2,1.6,8.891338E-005,0.976,9.705851E-005,0.951,0.91608,1.09161,1.363,1.06663,1.06660,1.06596,2.342,2.406,0.038983,0.038967
J,2614.5,SiO2,2.8,8.487840E-005,0.981,9.705851E-005,0.951,0.87451,1.14350,1.367,1.11839,1.11834,1.11827,2.246,2.257,0.038983,0.038967
