E_keV;icrp74_loglinear;icrp74_spline;old_RToSv_spline;loglin_over_spline_percent;new_over_old_percent
40;1.47;1.47;1.4726;0;-0.1767
40.4341;1.47967;1.48122;1.48369;-0.1047;-0.2705
40.8729;1.48935;1.49246;1.49475;-0.2088;-0.3616
41.3164;1.49902;1.5037;1.50578;-0.311;-0.4487
41.7648;1.5087;1.51491;1.51675;-0.4098;-0.5307
42.2181;1.51837;1.52606;1.52763;-0.5038;-0.6064
42.6762;1.52805;1.53714;1.53842;-0.5915;-0.6743
43.1393;1.53772;1.54811;1.54908;-0.6713;-0.7333
43.6075;1.54739;1.55895;1.55959;-0.7416;-0.7819
44.0807;1.55707;1.56964;1.56992;-0.8006;-0.8187
44.5591;1.56674;1.58012;1.58005;-0.8468;-0.8422
45.0427;1.57642;1.59038;1.58994;-0.8783;-0.8508
45.5315;1.58609;1.60038;1.59957;-0.8931;-0.8429
46.0256;1.59577;1.61009;1.60891;-0.8894;-0.8168
46.5251;1.60544;1.61945;1.61791;-0.8651;-0.7708
47.03;1.61511;1.62843;1.62655;-0.8179;-0.7029
47.5404;1.62479;1.637;1.63478;-0.7457;-0.6111
48.0563;1.63446;1.64509;1.64257;-0.646;-0.4934
48.5778;1.64414;1.65267;1.64987;-0.5162;-0.3474
49.105;1.65381;1.65968;1.65664;-0.3536;-0.1709
49.6379;1.66348;1.66607;1.66284;-0.1553;0.03876
50.1765;1.67135;1.67183;1.66845;-0.0286;0.1737
50.7211;1.6755;1.67748;1.67397;-0.118;0.09126
51.2715;1.67964;1.68315;1.67952;-0.2086;0.007506
51.8279;1.68379;1.68882;1.68506;-0.2982;-0.07537
52.3904;1.68793;1.69444;1.69055;-0.3843;-0.1551
52.9589;1.69207;1.69997;1.69596;-0.4646;-0.2292
53.5336;1.69622;1.70537;1.70124;-0.5365;-0.2952
54.1146;1.70036;1.71058;1.70634;-0.5974;-0.3505
54.7018;1.70451;1.71556;1.71122;-0.6443;-0.3922
55.2955;1.70865;1.72025;1.71581;-0.6745;-0.4174
55.8956;1.71279;1.7246;1.72007;-0.6847;-0.4231
56.5021;1.71694;1.72855;1.72394;-0.6716;-0.406
57.1153;1.72108;1.73203;1.72734;-0.6318;-0.3625
57.7351;1.72523;1.73497;1.73023;-0.5615;-0.2891
58.3617;1.72937;1.73731;1.73252;-0.4568;-0.1817
58.995;1.73351;1.73896;1.73414;-0.3133;-0.03625
59.6353;1.73766;1.73986;1.73502;-0.1265;0.1519
60.2824;1.73967;1.73999;1.73516;-0.01843;0.2603
60.9366;1.73892;1.73994;1.73513;-0.0583;0.2187
61.5979;1.73817;1.73982;1.73507;-0.09469;0.1788
62.2664;1.73742;1.73964;1.73498;-0.1276;0.1407
62.9421;1.73667;1.7394;1.73486;-0.157;0.1044
63.6252;1.73592;1.7391;1.73471;-0.183;0.06996
64.3157;1.73517;1.73874;1.73452;-0.2055;0.03731
65.0136;1.73442;1.73832;1.73431;-0.2246;0.006498
65.7192;1.73367;1.73785;1.73406;-0.2403;-0.02245
66.4324;1.73292;1.73731;1.73378;-0.2525;-0.04953
67.1533;1.73217;1.73671;1.73346;-0.2615;-0.07473
67.8821;1.73142;1.73606;1.73312;-0.2672;-0.09803
68.6187;1.73067;1.73535;1.73274;-0.2696;-0.1194
69.3634;1.72992;1.73458;1.73233;-0.2688;-0.1389
70.1161;1.72917;1.73376;1.73188;-0.2648;-0.1565
70.877;1.72842;1.73289;1.7314;-0.2578;-0.1722
71.6462;1.72767;1.73196;1.73088;-0.2478;-0.1859
72.4237;1.72692;1.73098;1.73034;-0.2349;-0.1977
73.2097;1.72617;1.72996;1.72976;-0.2192;-0.2076
74.0042;1.72542;1.72889;1.72914;-0.2008;-0.2156
74.8073;1.72467;1.72777;1.7285;-0.1798;-0.2216
75.6191;1.72392;1.72661;1.72782;-0.1563;-0.2258
76.4397;1.72316;1.72542;1.7271;-0.1306;-0.228
77.2693;1.72241;1.72418;1.72636;-0.1026;-0.2284
78.1078;1.72166;1.72292;1.72558;-0.07266;-0.227
78.9555;1.72091;1.72162;1.72477;-0.04088;-0.2237
79.8123;1.72016;1.72029;1.72393;-0.007468;-0.2186
80.6784;1.71735;1.71885;1.72292;-0.08743;-0.3232
81.554;1.71396;1.71712;1.72144;-0.1835;-0.4342
82.439;1.71058;1.71508;1.7195;-0.2627;-0.5188
83.3337;1.70719;1.71277;1.71712;-0.3257;-0.5783
84.238;1.70381;1.71019;1.71433;-0.3732;-0.6141
85.1522;1.70042;1.70736;1.71116;-0.4062;-0.6276
86.0763;1.69704;1.70429;1.70763;-0.4254;-0.6204
87.0104;1.69365;1.701;1.70377;-0.432;-0.5942
87.9546;1.69026;1.69751;1.69962;-0.427;-0.5508
88.9091;1.68688;1.69385;1.69522;-0.4115;-0.4923
89.874;1.68349;1.69003;1.6906;-0.3869;-0.4207
