
=== СТОРОЖ ОСНАСТКИ (T63) ===
  оснастка : C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\scripts\wd_p23
  сборка   : C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\BecquerelMonitor\bin\Release_P23
  пробы    : C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\effmaker\probes\build_p23
  собрана  : 2026-09-06 20:57:15 из C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\BecquerelMonitor\bin\Release_P23
  наборы   : приложение 185939a11972 (549 файлов), пробы 0eecde73ccac (155)
  сверено  : 396 файлов по sha256 за 2,62 с
  библиотека: 152 записей, sha 7aaa0b01c9bd
  перекладка: клейма склада и оснастки сошлись
  ОСНАСТКА СВЕЖАЯ: 396 файлов сошлись

запуск: CorpusFsaProbe.exe --corpus=C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\corpus --out=C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\pie\out_p23_full2 --lib=sample
BecqMoni: main config: C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\scripts\wd_p23\config\BecquerelMonitor.xml
BecqMoni: device configs: C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\scripts\wd_p23\config\device: 24 loaded
корпус: C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\corpus
спектров под отбор: 121 (часть: all, режим: spline)
библиотека: --lib=sample — состав из manifest.csv, линии из nucdb/matdb; поставочный config\NuclideDefinition.xml в РАЗБОРЕ НЕ УЧАСТВУЕТ: проба его не читает и спектру не предъявляет (правило Amber 01.09.2026)
матрица по спектру, суммирование вкл, наложения вкл, рассеяние вкл, вылеты вкл, фон вычитается, если есть
библиотека: ПО ОБЪЯВЛЕННОЙ ПРОБЕ (S56, manifest.csv + materials.csv); атомные образы вкл, равновесие ряда вкл
⚠ мерки сменили смысл: recall и фантомы считаются относительно ПРЕДЪЯВЛЕННОГО списка — с прежней базой напрямую не сравнивать
изомеры по sandia_symbol: вкл
атомные партнёры каскада: рентген вкл, аннигиляция вкл; окно совпадения 1.000E-006 с (умолчание)
сетка дрейфа: ноль ±8.00 кэВ, узлов 1 (один узел, дрейф не ищется); усиление ±2.00 %, узлов 1 (один узел, дрейф не ищется)
полоса ОБОИХ концов: анализатор LibraryToFitByCurve/10.00 кэВ, библиотека LibraryToFitByCurve/10.00 кэВ — СОШЛИСЬ
доля пола по кривой: 1.000 % (поставочная)
SETUP	против поставочного разбора изменено: НИЧЕГО (все настройки анализатора — умолчания приложения)

BecqMoni: nuclide library: C:\Users\moroz\source\repos\BQ Eng res .NET 4.8\tools\CORPUS\scripts\wd_p23\config\NuclideDefinition.xml: 152 entries
полоса ПЕРВОГО разбора (ASN16_Th232): пол по кривой НАЗНАЧИТЬ НЕЧЕМ (кривой нет), библиотека от 30.0 кэВ — запасная ветвь (умолчание); фит 0…8190 (-15.1…3542.9 кэВ)
ASN16_Th232            ASN16      unknown  chi2/ndf   32.680  пиков  20  комп. 12  матрица: кривой нет                                              541 мс
ASN16_Charoite         ASN16      unknown  chi2/ndf    4.734  пиков  18  комп. 12  матрица: кривой нет                                              199 мс
ASN16_UGlass           ASN16      unknown  chi2/ndf    4.953  пиков  10  комп.  5  матрица: кривой нет                                              227 мс
ASN16_Granite          ASN16      unknown  chi2/ndf    1.747  пиков  16  комп. 12  матрица: кривой нет                                              227 мс
AS80_Th232_v2          AS80x80    unknown  chi2/ndf    7.862  пиков  21  комп. 10  матрица: кривой нет                                              123 мс
AS80_UGlass            AS80x80    unknown  chi2/ndf    3.875  пиков  14  комп.  5  матрица: кривой нет                                              127 мс
AS80_Charoite          AS80x80    unknown  chi2/ndf    1.938  пиков  14  комп. 13  матрица: кривой нет                                               76 мс
GS4000_Ra226           GS4000     unknown  chi2/ndf    7.018  пиков  16  комп. 10  матрица: кривой нет                                               68 мс
GS4000_Th232           GS4000     unknown  chi2/ndf    5.009  пиков  18  комп. 10  матрица: кривой нет                                               76 мс
GS4000_U               GS4000     unknown  chi2/ndf    3.039  пиков  11  комп.  5  матрица: кривой нет                                               94 мс
GS4000_Lu176           GS4000     unknown  chi2/ndf    2.896  пиков  11  комп.  3  матрица: кривой нет                                               46 мс
ASN3_Tile              ASN3       unknown  chi2/ndf    5.249  пиков  14  комп. 12  матрица: кривой нет                                               88 мс
ASN8_Th232_1024        ASN8_1024  unknown  chi2/ndf   30.870  пиков  18  комп. 10  матрица: кривой нет                                               30 мс
ASN8_Th232_2048        ASN8_2048  unknown  chi2/ndf   24.963  пиков  17  комп. 10  матрица: кривой нет                                               42 мс
ASN8_Th232_3000        ASN8_3000  unknown  chi2/ndf   33.090  пиков  18  комп. 10  матрица: кривой нет                                               56 мс
ASN8_Th232_4096        ASN8_4096  unknown  chi2/ndf   27.751  пиков  17  комп. 10  матрица: кривой нет                                               78 мс
ASN8_Th232_8192        ASN8_8192  unknown  chi2/ndf   25.003  пиков  18  комп. 10  матрица: кривой нет                                              151 мс
ASN8_UGlass            ASN8_8192  unknown  chi2/ndf   19.304  пиков   8  комп.  9  матрица: кривой нет                                              212 мс
ASN8_Am241             ASN8_8192  unknown  chi2/ndf    5.731  пиков   3  комп.  3  матрица: кривой нет                                               63 мс
OBS_UGlass             OBS        unknown  chi2/ndf    3.914  пиков   3  комп.  5  матрица: кривой нет                                               36 мс
⚠ RC101_I131: сборка не знает узлов SpectrumName, Comment — они ПРОПУЩЕНЫ молча (T41: сборка старше исходников?)
RC101_I131             RC101      unknown  chi2/ndf   17.295  пиков   5  комп.  3  матрица: кривой нет                                               14 мс
AS1Pro_Ra226           AS1PRO     unknown  chi2/ndf   19.382  пиков  18  комп. 10  матрица: кривой нет                                              105 мс
ASN16_Charoite_v2      ASN16      unknown  chi2/ndf    2.330  пиков  16  комп. 13  матрица: кривой нет                                              184 мс
ASN16_Th232_Am241      ASN16      unknown  chi2/ndf   21.610  пиков  22  комп. 11  матрица: кривой нет                                              165 мс
ASN16_Am241            ASN16      unknown  chi2/ndf    9.444  пиков  13  комп.  3  матрица: кривой нет                                               61 мс
ASN16_Cs137            ASN16      unknown  chi2/ndf   59.358  пиков  12  комп.  3  матрица: файла нет                                               125 мс
ASN16_Cs137_10cm       ASN16      unknown  chi2/ndf    0.541  пиков   5  комп.  2  матрица: кривой нет                                               72 мс
ASN16_BrazilNuts       ASN16      unknown  chi2/ndf    2.207  пиков  14  комп. 12  матрица: кривой нет                                              154 мс
RC103_Th232WT20        RC103      unknown  chi2/ndf   26.220  пиков  13  комп. 12  матрица: кривой нет                                               27 мс
AS80_Th232Medal        AS80x80    unknown  chi2/ndf   21.160  пиков  21  комп. 10  матрица: кривой нет                                              129 мс
