ch,keV,net,fit,model,continuum_raw,Am-241,Esc-NaI,continuum
66,9.204,1114.347,1114.347,0.000,0.000,0.000,0.000,0.000
67,9.549,1142.621,1142.621,0.000,0.000,0.000,0.000,0.000
68,9.895,1224.020,1224.020,0.000,0.000,0.000,0.000,0.000
69,10.240,1302.044,1302.044,0.000,0.000,0.000,0.000,0.000
70,10.585,1445.086,1445.086,1019.496,35.366,1013.481,6.014,0.000
71,10.930,1376.047,1376.047,1134.946,40.419,1126.991,7.955,0.000
72,11.275,1487.520,1487.520,1267.966,45.471,1257.305,10.660,0.000
73,11.620,1578.517,1578.517,1420.674,50.523,1406.270,14.404,0.000
74,11.966,1647.685,1647.685,1595.024,55.576,1575.487,19.537,0.000
75,12.311,1711.695,1711.695,1792.670,60.628,1766.169,26.500,0.000
76,12.656,1712.414,1712.414,2014.839,65.680,1979.005,35.834,0.000
77,13.002,1918.709,1918.709,2262.218,70.733,2214.032,48.186,0.000
78,13.347,1954.044,1954.044,2534.862,75.785,2470.551,64.311,0.000
79,13.692,2291.909,2291.909,2832.146,80.837,2747.081,85.065,0.000
80,14.038,2455.259,2455.259,3152.758,85.890,3041.367,111.391,0.000
81,14.383,2873.315,2873.315,3494.738,90.942,3350.458,144.281,0.000
82,14.728,3007.372,3007.372,3855.563,95.994,3670.827,184.736,0.000
83,15.074,3453.298,3453.298,4232.261,101.047,3998.553,233.708,0.000
84,15.419,3965.441,3965.441,4621.541,106.099,4329.518,292.023,0.000
85,15.765,4294.490,4294.490,5019.925,111.151,4659.628,360.297,0.000
86,16.110,4898.544,4898.544,5423.847,116.204,4984.999,438.848,0.000
87,16.456,5370.968,5370.968,5829.724,121.256,5302.117,527.607,0.000
88,16.801,5874.993,5874.993,6233.965,126.308,5607.931,626.034,0.000
89,17.147,6104.690,6104.690,6632.934,131.361,5899.874,733.061,0.000
90,17.493,6543.330,6543.330,7022.863,136.413,6175.812,847.052,0.000
91,17.838,6963.630,6963.630,7399.734,141.465,6433.926,965.809,0.000
92,18.184,7399.239,7399.239,7759.159,146.518,6672.548,1086.611,0.000
93,18.529,7775.473,7775.473,8096.279,151.570,6889.978,1206.301,0.000
94,18.875,8268.263,8268.263,8405.715,156.622,7084.301,1321.414,0.000
95,19.221,8720.956,8720.956,8681.593,161.675,7253.256,1428.337,0.000
96,19.567,9147.401,9147.401,8917.658,166.727,7394.155,1523.503,0.000
97,19.912,9725.805,9725.805,9107.482,171.779,7503.894,1603.588,0.000
98,20.258,10493.658,10493.658,9244.754,176.832,7579.046,1665.708,0.000
