ch,keV,net,fit,model,continuum_raw,Lu-176,Esc-NaI
0,-9.377,0.000,0.000,0.000,0.000,0.000,0.000
1,-9.035,0.000,0.000,0.000,0.000,0.000,0.000
2,-8.693,0.000,0.000,0.000,0.000,0.000,0.000
3,-8.351,0.000,0.000,0.000,0.000,0.000,0.000
4,-8.009,0.000,0.000,0.000,0.000,0.000,0.000
5,-7.667,0.000,0.000,0.000,0.000,0.000,0.000
6,-7.325,0.000,0.000,0.000,0.000,0.000,0.000
7,-6.983,0.000,0.000,0.000,0.000,0.000,0.000
8,-6.641,0.000,0.000,0.000,0.000,0.000,0.000
9,-6.299,0.000,0.000,0.000,0.000,0.000,0.000
10,-5.957,0.000,0.000,0.000,0.000,0.000,0.000
11,-5.615,0.000,0.000,0.000,0.000,0.000,0.000
12,-5.273,0.000,0.000,0.000,0.000,0.000,0.000
13,-4.930,0.000,0.000,0.000,0.000,0.000,0.000
14,-4.588,0.000,0.000,0.000,0.000,0.000,0.000
15,-4.246,0.000,0.000,0.000,0.000,0.000,0.000
16,-3.904,0.000,0.000,0.000,0.000,0.000,0.000
17,-3.562,0.000,0.000,0.000,0.000,0.000,0.000
18,-3.220,0.000,0.000,0.000,0.000,0.000,0.000
19,-2.878,0.000,0.000,0.000,0.000,0.000,0.000
20,-2.536,0.000,0.000,0.000,0.000,0.000,0.000
21,-2.194,0.000,0.000,0.000,0.000,0.000,0.000
22,-1.852,0.000,0.000,0.000,0.000,0.000,0.000
23,-1.510,0.000,0.000,0.000,0.000,0.000,0.000
24,-1.168,0.000,0.000,0.000,0.000,0.000,0.000
25,-0.826,0.000,0.000,0.000,0.000,0.000,0.000
26,-0.484,0.000,0.000,0.000,0.000,0.000,0.000
27,-0.142,0.000,0.000,0.000,0.000,0.000,0.000
28,0.201,0.000,0.000,0.000,0.000,0.000,0.000
29,0.543,0.000,0.000,0.000,0.000,0.000,0.000
30,0.885,0.000,0.000,0.000,0.000,0.000,0.000
31,1.227,0.000,0.000,0.000,0.000,0.000,0.000
32,1.569,0.000,0.000,0.000,0.000,0.000,0.000
33,1.911,0.000,0.000,0.000,0.000,0.000,0.000
34,2.253,0.000,0.000,0.000,0.000,0.000,0.000
35,2.595,0.000,0.000,0.000,0.000,0.000,0.000
36,2.938,0.000,0.000,0.000,0.000,0.000,0.000
37,3.280,0.000,0.000,0.000,0.000,0.000,0.000
38,3.622,0.000,0.000,0.000,0.000,0.000,0.000
39,3.964,0.000,0.000,0.000,0.000,0.000,0.000
40,4.306,0.000,0.000,0.000,0.000,0.000,0.000
41,4.648,0.000,0.000,0.000,0.000,0.000,0.000
42,4.991,0.000,0.000,0.000,0.000,0.000,0.000
43,5.333,0.000,0.000,0.000,0.000,0.000,0.000
44,5.675,0.000,0.000,0.000,0.000,0.000,0.000
45,6.017,0.000,0.000,0.000,0.000,0.000,0.000
46,6.359,0.737,0.737,0.000,0.000,0.000,0.000
47,6.702,0.000,-0.526,0.000,0.000,0.000,0.000
48,7.044,0.000,-0.263,0.000,0.000,0.000,0.000
49,7.386,0.000,-1.052,0.000,0.000,0.000,0.000
50,7.728,1.474,1.474,0.000,0.000,0.000,0.000
51,8.070,0.000,-0.526,0.000,0.000,0.000,0.000
52,8.413,0.000,-0.052,0.000,0.000,0.000,0.000
