ch,keV,net,fit,model,continuum_raw,Eu-152,Cs-137,Am-241,Ti-44
0,-20.728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-17.768,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-14.808,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-11.848,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-8.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,-5.927,11.400,11.400,0.000,0.000,0.000,0.000,0.000,0.000
6,-2.967,58.200,58.200,0.000,0.000,0.000,0.000,0.000,0.000
7,-0.006,318.867,318.867,0.000,0.000,0.000,0.000,0.000,0.000
8,2.955,794.067,794.067,953.236,951.689,354.435,147.605,260.026,191.171
9,5.916,1596.867,1596.867,1551.807,1528.631,569.309,237.551,437.881,307.066
10,8.878,2588.733,2588.733,2223.597,2105.574,784.304,332.843,683.450,423.000
11,11.839,3490.867,3490.867,2993.755,2682.517,1000.818,450.415,1003.363,539.160
12,14.801,3910.067,3910.067,3817.895,3259.460,1228.327,589.181,1344.447,655.941
13,17.763,4712.467,4712.467,4778.170,3836.403,1493.038,709.093,1802.255,773.784
14,20.725,6121.467,6121.467,6035.600,4413.345,1797.367,827.687,2517.004,893.543
15,23.687,7289.667,7289.667,7011.368,4506.555,1939.668,933.079,3220.176,918.445
16,26.649,7560.933,7560.933,7735.677,4599.765,2211.462,1098.643,3478.465,947.107
17,29.612,7105.400,7105.400,7880.550,4692.975,2920.654,1175.353,2805.550,978.993
18,32.574,6028.133,6028.133,8399.531,4786.185,4363.585,1099.314,1923.781,1012.850
19,35.537,6072.467,6072.467,9569.305,4879.394,5931.342,988.395,1591.891,1057.676
20,38.500,6747.200,6747.200,10030.330,4972.604,6177.951,941.471,1760.214,1150.694
21,41.463,9512.400,9512.400,9538.257,5065.814,5002.240,946.944,2221.818,1367.254
22,44.427,13586.933,13586.933,9401.006,5159.024,3714.247,968.476,2965.767,1752.516
23,47.390,17142.533,17142.533,9648.582,4761.131,2671.357,903.040,3987.572,2086.613
24,50.354,17956.266,17956.266,11081.610,4363.239,2005.349,824.522,5926.313,2325.426
25,53.318,18381.400,18381.400,14300.656,3965.346,1685.927,744.026,9355.190,2515.513
26,56.282,17468.066,17468.066,18025.163,3567.454,1547.233,681.947,12908.373,2887.611
27,59.246,16028.533,16028.533,18850.930,3169.561,1448.835,644.426,13070.229,3687.438
28,62.210,15433.066,15433.066,15708.984,2771.669,1337.153,615.090,8870.183,4886.558
29,65.175,15031.533,15031.533,11529.898,2373.776,1197.594,571.917,3865.240,5895.147
30,68.140,14951.133,14951.133,8735.779,1975.884,1035.340,507.056,1057.644,6135.740
31,71.105,13430.200,13430.200,7375.014,1577.992,858.945,425.430,179.448,5911.191
32,74.070,8743.066,8743.066,6734.827,1180.099,670.488,332.601,18.740,5712.999
33,77.035,4495.733,4495.733,5845.715,782.207,470.985,230.593,1.200,5142.938
34,80.000,2252.066,2252.066,4537.906,813.906,531.273,250.875,0.047,3755.712
35,82.966,1653.000,1653.000,2907.218,845.605,619.478,271.379,0.001,2016.360
36,85.931,1555.333,1555.333,1811.194,877.304,744.605,292.990,0.000,773.600
37,88.897,1528.666,1528.666,1434.709,909.003,897.519,319.453,0.000,217.737
38,91.863,1588.333,1588.333,1453.651,940.702,1044.950,353.389,0.000,55.312
39,94.830,1590.467,1590.467,1569.528,972.401,1153.498,392.095,0.000,23.935
40,97.796,1662.933,1662.933,1668.712,1004.100,1219.515,428.836,0.000,20.360
41,100.763,1915.733,1915.733,1749.670,1035.799,1270.588,458.367,0.000,20.715
42,103.729,2201.000,2201.000,1853.673,1067.498,1351.899,480.311,0.000,21.463
43,106.696,3084.866,3084.866,2045.566,1099.197,1525.672,497.633,0.000,22.262
44,109.663,4179.066,4179.066,2402.661,1130.896,1866.044,513.508,0.000,23.109
45,112.631,4788.066,4788.066,2957.614,1162.595,2403.586,529.982,0.000,24.046
46,115.598,4907.466,4907.466,3604.587,1194.294,3031.219,548.229,0.000,25.139
47,118.566,4163.600,4163.600,4081.960,1225.993,3486.627,568.875,0.000,26.457
48,121.533,2925.000,2925.000,4129.410,1257.692,3509.574,591.730,0.000,28.106
49,124.501,2177.200,2177.200,3677.285,1256.573,3044.208,603.386,0.000,29.692
50,127.469,1760.733,1760.733,2987.189,1255.454,2340.670,613.276,0.000,33.243
51,130.438,1640.600,1640.600,2361.659,1254.336,1699.175,620.111,0.000,42.373
52,133.406,1813.666,1813.666,1970.145,1253.217,1281.984,624.029,0.000,64.133
53,136.375,1896.600,1896.600,1813.695,1252.099,1079.959,626.057,0.000,107.680
54,139.343,2040.866,2040.866,1813.698,1250.980,1008.661,627.140,0.000,177.897
55,142.312,2165.666,2165.666,1888.635,1249.862,995.151,627.760,0.000,265.724
56,145.281,2365.733,2365.733,1974.597,1248.743,1002.122,628.221,0.000,344.254
57,148.251,2171.533,2171.533,2025.641,1247.624,1016.813,628.917,0.000,379.911
58,151.220,2084.866,2084.866,2021.080,1246.506,1036.517,630.145,0.000,354.418
59,154.190,1905.066,1905.066,1970.564,1245.387,1060.160,631.807,0.000,278.596
60,157.159,1720.066,1720.066,1902.420,1244.269,1084.612,633.520,0.000,184.289
61,160.129,1671.800,1671.800,1841.776,1243.150,1104.211,635.021,0.000,102.544
62,163.099,1706.400,1706.400,1797.390,1242.032,1112.942,636.451,0.000,47.996
63,166.070,1652.933,1652.933,1765.036,1240.913,1107.823,638.313,0.000,18.900
64,169.040,1621.333,1621.333,1738.350,1239.794,1090.819,641.268,0.000,6.263
65,172.011,1782.533,1782.533,1715.280,1238.676,1067.623,645.911,0.000,1.747
66,174.982,1737.066,1737.066,1697.373,1237.557,1044.401,652.562,0.000,0.410
67,177.953,1686.333,1686.333,1686.312,1236.439,1025.153,661.078,0.000,0.081
68,180.924,1648.400,1648.400,1665.249,1218.739,1001.144,664.091,0.000,0.013
69,183.895,1638.333,1638.333,1648.648,1201.038,981.558,667.088,0.000,0.002
70,186.866,1590.200,1590.200,1633.768,1183.338,964.948,668.820,0.000,0.000
71,189.838,1634.933,1634.933,1618.498,1165.638,950.084,668.413,0.000,0.000
72,192.810,1595.266,1595.266,1601.977,1147.938,936.349,665.628,0.000,0.000
73,195.782,1624.533,1624.533,1584.382,1130.237,923.647,660.735,0.000,0.000
74,198.754,1606.200,1606.200,1566.247,1112.537,912.059,654.188,0.000,0.000
75,201.726,1559.733,1559.733,1547.893,1094.837,901.523,646.371,0.000,0.000
76,204.699,1587.466,1587.466,1529.303,1077.137,891.740,637.563,0.000,0.000
77,207.671,1522.066,1522.066,1510.313,1059.436,882.303,628.010,0.000,0.000
78,210.644,1432.266,1432.266,1490.929,1041.736,872.950,617.979,0.000,0.000
79,213.617,1468.733,1468.733,1471.650,1024.036,863.915,607.735,0.000,0.000
80,216.590,1540.933,1540.933,1453.794,1006.336,856.300,597.493,0.000,0.000
81,219.564,1430.266,1430.266,1439.765,988.636,852.376,587.389,0.000,0.000
82,222.537,1487.466,1487.466,1433.035,970.935,855.560,577.475,0.000,0.000
83,225.511,1486.533,1486.533,1437.494,953.235,869.735,567.759,0.000,0.000
84,228.485,1513.466,1513.466,1455.902,935.535,897.655,558.247,0.000,0.000
85,231.459,1646.000,1646.000,1487.639,917.835,938.659,548.980,0.000,0.000
86,234.433,1538.800,1538.800,1526.760,900.134,986.734,540.026,0.000,0.000
87,237.407,1679.000,1679.000,1561.936,882.434,1030.487,531.449,0.000,0.000
88,240.382,1550.800,1550.800,1579.324,864.734,1056.069,523.256,0.000,0.000
89,243.356,1576.933,1576.933,1567.717,847.034,1052.351,515.366,0.000,0.000
90,246.331,1468.800,1468.800,1523.441,829.333,1015.819,507.622,0.000,0.000
91,249.306,1408.066,1408.066,1452.127,811.633,952.299,499.828,0.000,0.000
92,252.281,1283.266,1283.266,1372.439,800.158,878.095,494.345,0.000,0.000
93,255.257,1202.867,1202.867,1292.163,788.684,803.625,488.538,0.000,0.000
94,258.232,1117.266,1117.266,1221.936,777.209,739.555,482.381,0.000,0.000
95,261.208,1136.467,1136.467,1166.693,765.734,690.757,475.936,0.000,0.000
96,264.184,1047.867,1047.867,1126.276,754.259,656.949,469.327,0.000,0.000
97,267.160,992.333,992.333,1097.675,742.784,634.974,462.701,0.000,0.000
98,270.136,1062.400,1062.400,1077.258,731.309,621.072,456.186,0.000,0.000
99,273.112,1030.200,1030.200,1062.059,719.835,612.198,449.861,0.000,0.000
100,276.089,1076.866,1076.866,1050.065,708.360,606.320,443.746,0.000,0.000
101,279.065,1023.600,1023.600,1039.940,696.885,602.137,437.803,0.000,0.000
102,282.042,1036.133,1036.133,1030.633,685.410,598.676,431.957,0.000,0.000
103,285.019,1045.933,1045.933,1021.164,673.935,595.049,426.115,0.000,0.000
104,287.996,992.133,992.133,1010.636,662.461,590.434,420.202,0.000,0.000
105,290.974,1056.733,1056.733,998.394,650.986,584.211,414.183,0.000,0.000
106,293.951,1070.200,1070.200,984.190,639.511,576.121,408.069,0.000,0.000
107,296.929,978.733,978.733,968.253,628.036,566.349,401.905,0.000,0.000
108,299.907,947.133,947.133,951.251,616.561,555.502,395.748,0.000,0.000
109,302.885,1032.933,1032.933,934.190,605.086,544.546,389.644,0.000,0.000
110,305.863,954.267,954.267,918.389,593.612,534.777,383.612,0.000,0.000
111,308.842,931.200,931.200,905.594,582.137,527.942,377.652,0.000,0.000
112,311.820,986.800,986.800,898.242,570.662,526.485,371.757,0.000,0.000
113,314.799,945.067,945.067,899.736,559.187,533.807,365.930,0.000,0.000
114,317.778,1089.200,1089.200,914.474,547.712,554.280,360.194,0.000,0.000
115,320.757,1140.733,1140.733,947.326,536.237,592.725,354.601,0.000,0.000
116,323.736,1204.867,1204.867,1002.366,524.763,653.140,349.226,0.000,0.000
117,326.715,1361.467,1361.467,1080.947,513.288,736.790,344.157,0.000,0.000
118,329.695,1415.200,1415.200,1179.655,501.813,840.171,339.483,0.000,0.000
119,332.675,1551.133,1551.133,1289.029,490.338,953.756,335.273,0.000,0.000
120,335.655,1568.667,1568.667,1394.005,478.863,1062.450,331.555,0.000,0.000
121,338.635,1703.333,1703.333,1476.527,467.389,1148.223,328.304,0.000,0.000
122,341.615,1709.933,1709.933,1528.003,464.025,1199.118,328.884,0.000,0.000
123,344.595,1708.333,1708.333,1529.661,460.662,1199.866,329.795,0.000,0.000
124,347.576,1620.800,1620.800,1480.109,457.298,1149.255,330.854,0.000,0.000
125,350.557,1397.067,1397.067,1387.659,453.935,1055.801,331.858,0.000,0.000
126,353.537,1255.000,1255.000,1267.755,450.571,935.142,332.613,0.000,0.000
127,356.519,1177.200,1177.200,1138.493,447.208,805.515,332.978,0.000,0.000
128,359.500,1044.800,1044.800,1015.979,443.845,683.098,332.881,0.000,0.000
129,362.481,812.333,812.333,911.138,440.481,578.814,332.324,0.000,0.000
130,365.463,782.800,782.800,828.727,437.118,497.360,331.367,0.000,0.000
131,368.445,697.200,697.200,768.289,433.754,438.189,330.100,0.000,0.000
132,371.426,664.200,664.200,726.171,430.391,397.556,328.615,0.000,0.000
133,374.409,636.067,636.067,697.614,427.027,370.623,326.992,0.000,0.000
134,377.391,624.467,624.467,678.262,423.664,352.979,325.283,0.000,0.000
135,380.373,595.800,595.800,664.887,420.301,341.367,323.520,0.000,0.000
136,383.356,578.600,578.600,655.475,416.937,333.755,321.720,0.000,0.000
137,386.339,558.200,558.200,648.946,413.574,329.056,319.890,0.000,0.000
138,389.322,594.267,594.267,644.778,410.210,326.740,318.038,0.000,0.000
139,392.305,593.133,593.133,642.665,406.847,326.489,316.176,0.000,0.000
140,395.288,568.867,568.867,642.286,403.483,327.965,314.321,0.000,0.000
141,398.271,623.800,623.800,643.180,400.120,330.690,312.490,0.000,0.000
142,401.255,556.200,556.200,644.723,396.756,334.024,310.699,0.000,0.000
143,404.239,607.200,607.200,646.182,393.393,337.225,308.956,0.000,0.000
144,407.223,596.533,596.533,646.839,390.030,339.577,307.262,0.000,0.000
145,410.207,557.333,557.333,646.146,386.666,340.537,305.609,0.000,0.000
146,413.191,559.867,559.867,643.866,383.303,339.876,303.990,0.000,0.000
147,416.176,565.933,565.933,640.136,379.939,337.738,302.398,0.000,0.000
148,419.160,545.200,545.200,635.447,376.576,334.614,300.834,0.000,0.000
149,422.145,556.333,556.333,630.502,373.212,331.197,299.305,0.000,0.000
150,425.130,559.867,559.867,626.012,369.849,328.190,297.822,0.000,0.000
151,428.115,604.133,604.133,622.482,366.486,326.090,296.392,0.000,0.000
152,431.100,551.800,551.800,620.050,363.122,325.041,295.010,0.000,0.000
153,434.086,590.067,590.067,618.438,359.759,324.787,293.652,0.000,0.000
154,437.071,590.467,590.467,617.013,356.395,324.746,292.267,0.000,0.000
155,440.057,588.333,588.333,614.952,353.032,324.175,290.777,0.000,0.000
156,443.043,593.667,593.667,611.451,349.668,322.376,289.075,0.000,0.000
157,446.029,537.067,537.067,605.917,346.305,318.880,287.037,0.000,0.000
158,449.016,586.600,586.600,597.514,342.366,313.253,284.261,0.000,0.000
159,452.002,560.800,560.800,586.920,338.427,306.039,280.881,0.000,0.000
160,454.989,540.867,540.867,574.538,334.488,297.755,276.783,0.000,0.000
161,457.976,499.333,499.333,560.954,330.549,289.062,271.891,0.000,0.000
162,460.963,576.467,576.467,546.796,326.611,280.614,266.182,0.000,0.000
163,463.950,563.067,563.067,532.626,322.672,272.935,259.691,0.000,0.000
164,466.937,548.533,548.533,518.865,318.733,266.345,252.519,0.000,0.000
165,469.925,611.000,611.000,505.771,314.794,260.946,244.825,0.000,0.000
166,472.912,685.533,685.533,493.461,310.855,256.653,236.809,0.000,0.000
167,475.900,791.800,791.800,481.947,306.916,253.251,228.696,0.000,0.000
168,478.888,929.200,929.200,471.173,302.977,250.466,220.707,0.000,0.000
169,481.876,1148.533,1148.533,461.054,299.038,248.018,213.036,0.000,0.000
170,484.865,1456.533,1456.533,451.501,295.099,245.665,205.836,0.000,0.000
171,487.853,1681.333,1681.333,442.431,291.161,243.233,199.199,0.000,0.000
172,490.842,1895.733,1895.733,433.780,287.222,240.616,193.165,0.000,0.000
173,493.831,2389.800,2389.800,425.503,283.283,237.780,187.723,0.000,0.000
174,496.820,2773.867,2773.867,417.573,279.344,234.747,182.826,0.000,0.000
175,499.809,3124.467,3124.467,409.979,275.405,231.573,178.406,0.000,0.000
176,502.798,3319.667,3319.667,402.718,271.466,228.333,174.385,0.000,0.000
177,505.788,3778.867,3778.867,395.791,267.527,225.102,170.689,0.000,0.000
178,508.777,3858.200,3858.200,389.195,263.588,221.942,167.252,0.000,0.000
179,511.767,3822.933,3822.933,382.922,259.649,218.898,164.024,0.000,0.000
180,514.757,3515.067,3515.067,376.957,255.711,215.995,160.963,0.000,0.000
181,517.747,3410.133,3410.133,371.280,251.772,213.241,158.039,0.000,0.000
182,520.738,3305.333,3305.333,365.869,247.833,210.638,155.232,0.000,0.000
183,523.728,2930.067,2930.067,360.702,243.894,208.177,152.525,0.000,0.000
184,526.719,2377.000,2377.000,355.763,239.955,205.855,149.908,0.000,0.000
185,529.710,2004.200,2004.200,351.042,236.016,203.669,147.373,0.000,0.000
186,532.701,1526.667,1526.667,346.535,232.077,201.618,144.916,0.000,0.000
187,535.692,1309.867,1309.867,342.243,228.138,199.706,142.537,0.000,0.000
188,538.683,1010.733,1010.733,338.169,224.200,197.935,140.234,0.000,0.000
189,541.675,740.467,740.467,334.309,220.261,196.299,138.009,0.000,0.000
190,544.667,540.667,540.667,330.648,216.322,194.787,135.861,0.000,0.000
191,547.659,460.000,460.000,327.158,212.383,193.369,133.788,0.000,0.000
192,550.651,365.467,365.467,323.790,208.444,192.005,131.785,0.000,0.000
193,553.643,311.000,311.000,320.483,204.505,190.638,129.844,0.000,0.000
194,556.635,308.600,308.600,317.159,200.566,189.205,127.954,0.000,0.000
195,559.628,290.133,290.133,313.740,196.627,187.640,126.100,0.000,0.000
196,562.621,265.200,265.200,310.151,192.688,185.883,124.268,0.000,0.000
197,565.613,272.667,272.667,306.328,188.750,183.887,122.441,0.000,0.000
198,568.606,292.000,292.000,302.226,184.811,181.622,120.604,0.000,0.000
199,571.600,246.000,246.000,297.821,180.872,179.078,118.743,0.000,0.000
200,574.593,255.933,255.933,293.109,176.933,176.262,116.847,0.000,0.000
201,577.587,266.733,266.733,291.745,176.630,175.134,116.611,0.000,0.000
202,580.580,237.400,237.400,290.124,176.328,173.785,116.339,0.000,0.000
203,583.574,255.067,255.067,288.297,176.025,172.257,116.040,0.000,0.000
204,586.568,293.667,293.667,286.329,175.722,170.593,115.736,0.000,0.000
205,589.563,242.200,242.200,284.305,175.419,168.840,115.465,0.000,0.000
206,592.557,268.667,268.667,282.333,175.117,167.045,115.289,0.000,0.000
207,595.552,242.867,242.867,280.555,174.814,165.254,115.301,0.000,0.000
208,598.546,241.000,241.000,279.162,174.511,163.513,115.649,0.000,0.000
209,601.541,253.200,253.200,278.412,174.209,161.862,116.550,0.000,0.000
210,604.536,283.200,283.200,278.665,173.906,160.335,118.330,0.000,0.000
211,607.532,253.067,253.067,280.421,173.603,158.959,121.462,0.000,0.000
212,610.527,303.267,303.267,284.364,173.300,157.750,126.613,0.000,0.000
213,613.523,269.533,269.533,291.407,172.998,156.719,134.688,0.000,0.000
214,616.518,277.400,277.400,302.728,172.695,155.867,146.861,0.000,0.000
215,619.514,318.067,318.067,319.770,172.392,155.195,164.575,0.000,0.000
216,622.510,346.267,346.267,344.195,172.090,154.702,189.493,0.000,0.000
217,625.507,384.733,384.733,377.764,171.787,154.390,223.374,0.000,0.000
218,628.503,434.333,434.333,422.148,171.484,154.271,267.877,0.000,0.000
219,631.500,540.000,540.000,478.643,171.182,154.362,324.281,0.000,0.000
220,634.497,617.000,617.000,547.847,170.879,154.693,393.154,0.000,0.000
221,637.493,653.133,653.133,629.313,170.576,155.307,474.006,0.000,0.000
222,640.491,775.600,775.600,721.260,170.273,156.254,565.006,0.000,0.000
223,643.488,859.800,859.800,820.417,169.971,157.596,662.821,0.000,0.000
224,646.485,892.133,892.133,922.055,169.668,159.401,762.654,0.000,0.000
225,649.483,975.800,975.800,1020.261,169.365,161.734,858.527,0.000,0.000
226,652.481,1106.000,1106.000,1108.451,169.063,164.655,943.796,0.000,0.000
227,655.479,1165.600,1165.600,1180.072,168.760,168.211,1011.861,0.000,0.000
228,658.477,1313.267,1313.267,1229.386,168.457,172.420,1056.966,0.000,0.000
229,661.475,1202.400,1202.400,1252.218,168.155,177.266,1074.952,0.000,0.000
230,664.474,1305.133,1305.133,1246.527,167.852,182.688,1063.839,0.000,0.000
231,667.472,1182.667,1182.667,1212.690,167.549,188.577,1024.113,0.000,0.000
232,670.471,1113.067,1113.067,1153.449,167.246,194.768,958.681,0.000,0.000
233,673.470,1094.533,1094.533,1073.525,166.944,201.052,872.473,0.000,0.000
234,676.469,980.933,980.933,978.986,166.641,207.191,771.795,0.000,0.000
235,679.468,891.200,891.200,876.471,166.338,212.936,663.535,0.000,0.000
236,682.468,806.133,806.133,772.421,166.036,218.061,554.360,0.000,0.000
237,685.468,677.467,677.467,672.430,165.733,222.387,450.043,0.000,0.000
238,688.467,549.133,549.133,580.806,165.430,225.805,355.001,0.000,0.000
239,691.467,480.533,480.533,500.370,165.128,228.284,272.086,0.000,0.000
240,694.467,399.200,399.200,432.488,164.825,229.870,202.618,0.000,0.000
241,697.468,374.733,374.733,377.272,164.522,230.669,146.604,0.000,0.000
242,700.468,325.267,325.267,333.890,164.219,230.826,103.064,0.000,0.000
243,703.469,293.333,293.333,300.904,163.917,230.504,70.399,0.000,0.000
244,706.470,280.267,280.267,276.589,163.614,229.866,46.723,0.000,0.000
245,709.471,265.333,265.333,259.190,163.311,229.061,30.129,0.000,0.000
246,712.472,242.600,242.600,247.093,163.009,228.215,18.878,0.000,0.000
247,715.473,215.000,215.000,238.932,162.706,227.440,11.492,0.000,0.000
248,718.475,227.333,227.333,233.626,162.403,226.829,6.798,0.000,0.000
249,721.476,201.733,201.733,230.374,162.100,226.467,3.907,0.000,0.000
250,724.478,216.667,216.667,228.622,161.798,226.441,2.181,0.000,0.000
251,727.480,216.133,216.133,227.592,161.061,226.408,1.183,0.000,0.000
252,730.482,217.933,217.933,227.531,160.325,226.907,0.624,0.000,0.000
253,733.485,224.267,224.267,228.372,159.589,228.052,0.319,0.000,0.000
254,736.487,211.400,211.400,230.125,158.852,229.966,0.159,0.000,0.000
255,739.490,222.333,222.333,232.845,158.116,232.768,0.077,0.000,0.000
256,742.493,225.600,225.600,236.598,157.380,236.562,0.036,0.000,0.000
257,745.496,257.600,257.600,241.430,156.643,241.413,0.016,0.000,0.000
258,748.499,239.133,239.133,247.337,155.907,247.330,0.007,0.000,0.000
259,751.502,259.000,259.000,254.245,155.171,254.242,0.003,0.000,0.000
260,754.506,253.600,253.600,261.985,154.435,261.984,0.001,0.000,0.000
261,757.510,271.533,271.533,270.288,153.698,270.287,0.001,0.000,0.000
262,760.513,293.867,293.867,278.784,152.962,278.784,0.000,0.000,0.000
263,763.517,350.333,350.333,287.025,152.226,287.025,0.000,0.000,0.000
264,766.522,265.000,265.000,294.509,151.489,294.509,0.000,0.000,0.000
265,769.526,298.667,298.667,300.724,150.753,300.724,0.000,0.000,0.000
266,772.531,319.800,319.800,305.203,150.017,305.203,0.000,0.000,0.000
267,775.535,305.200,305.200,307.564,149.280,307.564,0.000,0.000,0.000
268,778.540,321.267,321.267,307.560,148.544,307.560,0.000,0.000,0.000
269,781.545,300.200,300.200,305.106,147.808,305.106,0.000,0.000,0.000
270,784.550,304.667,304.667,300.287,147.071,300.287,0.000,0.000,0.000
271,787.556,299.267,299.267,293.354,146.335,293.354,0.000,0.000,0.000
272,790.561,313.467,313.467,284.690,145.599,284.690,0.000,0.000,0.000
273,793.567,309.600,309.600,274.774,144.862,274.774,0.000,0.000,0.000
274,796.573,285.533,285.533,264.126,144.126,264.126,0.000,0.000,0.000
275,799.579,272.933,272.933,253.262,143.390,253.262,0.000,0.000,0.000
276,802.585,275.200,275.200,242.649,142.653,242.649,0.000,0.000,0.000
277,805.592,243.600,243.600,232.671,141.917,232.671,0.000,0.000,0.000
278,808.598,228.533,228.533,223.614,141.181,223.614,0.000,0.000,0.000
279,811.605,201.400,201.400,215.663,140.444,215.663,0.000,0.000,0.000
280,814.612,220.800,220.800,208.906,139.708,208.906,0.000,0.000,0.000
281,817.619,238.733,238.733,203.354,138.972,203.354,0.000,0.000,0.000
282,820.626,167.000,167.000,198.961,138.235,198.961,0.000,0.000,0.000
283,823.634,187.467,187.467,195.643,137.499,195.643,0.000,0.000,0.000
284,826.641,222.067,222.067,193.295,136.763,193.295,0.000,0.000,0.000
285,829.649,184.200,184.200,191.806,136.026,191.806,0.000,0.000,0.000
286,832.657,189.333,189.333,191.065,135.290,191.065,0.000,0.000,0.000
287,835.665,185.933,185.933,190.963,134.554,190.963,0.000,0.000,0.000
288,838.673,205.867,205.867,191.394,133.817,191.394,0.000,0.000,0.000
289,841.681,210.267,210.267,192.249,133.081,192.249,0.000,0.000,0.000
290,844.690,229.667,229.667,193.414,132.345,193.414,0.000,0.000,0.000
291,847.699,228.400,228.400,194.765,131.608,194.765,0.000,0.000,0.000
292,850.708,196.000,196.000,196.172,130.872,196.172,0.000,0.000,0.000
293,853.717,243.000,243.000,197.497,130.136,197.497,0.000,0.000,0.000
294,856.726,198.600,198.600,198.604,129.399,198.604,0.000,0.000,0.000
