spectrum,peak_kev,peak_counts,fwhm_kev,has_curve,nuclide,line_kev,intensity_pct,is_xray,low_yield,rivals,rival_factor,coeff_ok,bq_coeff,verdict
AS80_Charoite,2751.746,0.0,331.091,0,Tl-208,2614.000,35.8516,0,0,0,1.000,0,0,кривой нет
AS80_Cs137_0cm,33.277,435.0,18.955,1,,,,0,0,0,1.000,0,0,нет подписи
AS80_Cs137_0cm,64.589,10.0,21.696,1,W x-ray,67.244,22,1,0,7,4.545,1,14.5858,ОТКАЗ рентген
AS80_Cs137_0cm,82.955,6.0,33.884,1,Pb x-ray,84.936,23,1,0,6,4.348,1,12.8521,ОТКАЗ рентген
AS80_Cs137_0cm,130.554,1.0,44.700,1,Ac-228,129.065,2.42,0,0,4,2688.889,1,115.714,ПОКАЗАНО со спором
AS80_Cs137_0cm,203.654,4.0,65.976,1,Lu-176,202.000,77.9688,0,0,5,21.420,1,3.79155,ПОКАЗАНО со спором
AS80_Cs137_0cm,446.914,1.0,113.146,1,Ag-108m,433.000,90.5,0,0,2,47.135,1,5.31693,ПОКАЗАНО со спором
AS80_Cs137_0cm,655.435,22.0,138.595,1,Cs-137,662.000,85.1,0,0,4,48.117,1,7.86331,ПОКАЗАНО со спором
AS80_Cs137_0cm,904.298,0.0,201.788,1,Ac-228,911.000,25.8,0,0,4,30.641,1,34.3145,ПОКАЗАНО со спором
AS80_Cs137_0cm,1104.800,0.0,189.927,1,Eu-152,1111.000,13.67,0,0,2,7.304,1,76.7783,ПОКАЗАНО со спором
AS80_Cs137_0cm,1456.909,0.0,246.035,1,K-40,1460.000,10.66,0,0,1,2.675,1,124.079,ПОКАЗАНО со спором
AS80_Cs137_0cm,1793.108,0.0,268.260,1,Bi-214,1764.000,15.29,0,0,0,1.000,1,104.918,ПОКАЗАНО голым числом
AS80_Cs137_0cm,2224.638,0.0,492.140,1,Bi-214,2204.000,4.92,0,0,1,3.184,1,397.51,ПОКАЗАНО со спором
AS80_Cs137_0cm,2618.201,0.0,386.216,1,Tl-208,2614.000,35.8516,0,0,1,23.205,1,62.9891,ПОКАЗАНО со спором
AS80_K40,84.350,151.0,34.882,0,Pb x-ray,84.936,23,0,0,0,1.000,0,0,кривой нет
AS80_K40,99.545,71.0,51.162,0,Np-239,106.000,25.34,0,0,0,1.000,0,0,кривой нет
AS80_K40,115.778,14.0,54.168,0,Th-234,112.810,0.21,0,0,0,1.000,0,0,кривой нет
AS80_K40,241.494,11.0,57.188,0,Pb-214,241.000,7.2615,0,0,0,1.000,0,0,кривой нет
AS80_K40,295.347,1.0,38.730,0,Pb-214,295.000,18.4672,0,0,0,1.000,0,0,кривой нет
AS80_K40,349.110,5.0,74.612,0,Pb-214,353.000,35.7166,0,0,0,1.000,0,0,кривой нет
AS80_K40,504.826,0.0,61.681,0,Tl-208,510.000,8.1224,0,0,0,1.000,0,0,кривой нет
AS80_K40,594.036,2.0,130.988,0,Tl-208,583.000,30.549,0,0,0,1.000,0,0,кривой нет
AS80_K40,765.427,0.0,128.527,0,Pa-234m,766.000,0.317,0,0,0,1.000,0,0,кривой нет
AS80_K40,939.519,0.0,250.429,0,Ac-228,964.000,4.99,0,0,0,1.000,0,0,кривой нет
AS80_K40,1117.786,0.0,235.416,0,Bi-214,1120.000,14.9,0,0,0,1.000,0,0,кривой нет
AS80_K40,1483.641,3.0,259.187,0,K-40,1460.000,10.66,0,0,0,1.000,0,0,кривой нет
AS80_K40,1805.829,0.0,280.083,0,Bi-214,1764.000,15.29,0,0,0,1.000,0,0,кривой нет
AS80_K40,2231.948,0.0,495.980,0,Bi-214,2204.000,4.92,0,0,0,1.000,0,0,кривой нет
AS80_K40,2614.120,0.0,400.552,0,Tl-208,2614.000,35.8516,0,0,0,1.000,0,0,кривой нет
AS80_Lu176,52.123,26.0,27.131,1,,,,0,0,0,1.000,0,0,нет подписи
AS80_Lu176,86.819,3.0,33.833,1,Pb x-ray,87.300,8,1,0,4,12.500,1,441.132,ОТКАЗ рентген
AS80_Lu176,200.486,15.0,57.325,1,Lu-176,202.000,77.9688,0,0,5,21.420,1,9.47478,ПОКАЗАНО со спором
AS80_Lu176,304.486,8.0,78.780,1,Lu-176,307.000,93.6,0,0,6,58.500,1,7.33184,ПОКАЗАНО со спором
AS80_Lu176,519.436,0.0,97.913,1,Annihilation,511.000,0,0,0,0,1.000,0,0,у подписи нет выхода
AS80_Lu176,598.126,0.0,99.481,1,Bi-214,609.000,45.44,0,0,3,6.350,1,23.2379,ПОКАЗАНО со спором
AS80_Lu176,901.945,0.0,144.025,1,Ac-228,911.000,25.8,0,0,3,16.025,1,56.3783,ПОКАЗАНО со спором
AS80_Lu176,1108.092,0.0,191.194,1,Eu-152,1111.000,13.67,0,0,2,7.304,1,127.773,ПОКАЗАНО со спором
AS80_Lu176,1454.857,0.0,211.984,1,K-40,1460.000,10.66,0,0,1,2.675,1,201.056,ПОКАЗАНО со спором
AS80_Lu176,1772.757,0.0,229.155,1,Bi-214,1764.000,15.29,0,0,0,1.000,1,168.606,ПОКАЗАНО голым числом
AS80_Lu176,2686.554,0.0,313.737,1,Tl-208,2614.000,35.8516,0,0,0,1.000,1,104.892,ПОКАЗАНО голым числом
AS80_Onyx,75.057,188.0,32.963,0,Pb x-ray,74.969,100,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,89.093,90.0,39.600,0,Pb x-ray,87.300,8,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,107.126,20.0,39.926,0,Np-239,106.000,25.34,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,121.793,11.0,44.842,0,Eu-152,125.000,28.53,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,234.514,13.0,54.300,0,Pb-212,238.000,43.6,0,0,0,1.000,0,0,кривой нет
AS80_Onyx,291.848,3.0,46.849,0,Pb-214,295.000,18.4672,0,0,0,1.000,0,0,кривой нет
